K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   1   1       0   1.0000 55:08:10 -1.64599022003E+05 -1.64599022003E+05  0.00566 -0.00639 -0.14042 -0.18965
2   1   1     100   1.0000 55:08:10 -1.64583350083E+05 -1.64583350083E+05  0.00566 -0.00639 -0.14042 -0.18965
2   1   1     200  22.5000 55:08:10 -1.63263076888E+05 -1.63168369591E+05  0.00566 -0.00639 -0.14042 -0.18965
2   1   1     400  34.0000 55:08:10 -1.63724992241E+05 -1.62604095014E+05 -0.00639  0.00566 -0.18965 -0.14042
2   1   1     800  42.0000 55:08:10 -1.62792689356E+05 -1.62236564517E+05 -0.00639  0.00566 -0.18965 -0.14042
2   1   1    1600  39.9375 55:08:10 -1.63484205575E+05 -1.59969693505E+05 -0.03424  0.13997 -0.15987 -0.44890
2   1   2    3200  51.9643 55:08:10 -1.62239485094E+05 -1.59969693505E+05  0.02202 -0.00354 -0.17138 -0.17911
2   1   3    6400  19.2436 56:08:10 -1.62858982556E+05 -1.59969693505E+05  0.07491 -0.01766 -0.28381 -0.16483
2   1   6   12800  22.2603 56:08:10 -1.61019215124E+05 -1.59969693505E+05  0.01850  0.02217 -0.16418 -0.22891
2   1   7   16000  16.7245 57:08:10 -1.61564715097E+05 -1.59969693505E+05  0.01272  0.02068 -0.15128 -0.24786
2   1  11   25600   4.5403 58:08:10 -1.60681098969E+05 -1.59969693505E+05  0.01077  0.03677 -0.15498 -0.26473
2   1  15   36000   1.7106 59:08:10 -1.60670119166E+05 -1.59969693505E+05  0.01796  0.03131 -0.15546 -0.25695
2   1 200   45506   0.0000 59:08:10 -1.59969693505E+05 -1.59969693505E+05  0.03131  0.01796 -0.25695 -0.15546
