K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   7   1       0   1.0000 13:09:10 -1.64556078541E+05 -1.64556078541E+05 -0.00389  0.00355 -0.17459 -0.15617
2   7   1     100   1.0000 13:09:10 -1.63668733977E+05 -1.63668733977E+05 -0.00389  0.00355 -0.17459 -0.15617
2   7   1     200  12.5000 13:09:10 -1.61187270466E+05 -1.61187270466E+05  0.00355 -0.00389 -0.15617 -0.17459
2   7   1     400  11.0000 13:09:10 -1.61683118518E+05 -1.60576834105E+05  0.00355 -0.00389 -0.15617 -0.17459
2   7   1     800  29.1250 13:09:10 -1.63717440785E+05 -1.60576834105E+05  0.00355 -0.00389 -0.15617 -0.17459
2   7   1    1600  41.0000 13:09:10 -1.62566169398E+05 -1.60576834105E+05  0.01922 -0.00450 -0.17529 -0.17279
2   7   2    3200  46.9066 13:09:10 -1.62715690906E+05 -1.60576834105E+05  0.00529  0.01813 -0.19061 -0.16915
2   7   3    6400  24.9074 13:09:10 -1.60427632451E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
2   7   6   12800  16.5625 14:09:10 -1.60679808920E+05 -1.59969693505E+05  0.00148  0.00340 -0.18447 -0.12751
2   7 200   14056   0.0000 14:09:10 -1.59969693505E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
