K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   8   1       0   1.0000 15:09:10 -1.64522515925E+05 -1.64522515925E+05 -0.00060  0.00087 -0.14856 -0.18301
2   8   1     100   1.0000 15:09:10 -1.63496144767E+05 -1.63496144767E+05 -0.00060  0.00087 -0.14856 -0.18301
2   8   1     200   5.0000 15:09:10 -1.60840066529E+05 -1.60840066529E+05 -0.00060  0.00087 -0.14856 -0.18301
2   8   1     400   4.2500 16:09:10 -1.59969693505E+05 -1.59969693505E+05 -0.00060  0.00087 -0.14856 -0.18301
2   8   1     800  29.2500 16:09:10 -1.61877549770E+05 -1.59969693505E+05  0.00087 -0.00060 -0.18301 -0.14856
2   8   1    1600  41.3750 16:09:10 -1.63811521352E+05 -1.59969693505E+05  0.02618 -0.00753 -0.18172 -0.17247
2   8   2    3200  64.6526 16:09:10 -1.62442383535E+05 -1.59969693505E+05 -0.00972  0.03708 -0.16561 -0.21909
2   8   4    6400  21.2005 16:09:10 -1.59969693505E+05 -1.59969693505E+05 -0.01426  0.04645 -0.16729 -0.22097
2   8   6   12000  18.1507 17:09:10 -1.61554295053E+05 -1.59969693505E+05  0.03030  0.01363 -0.25004 -0.15631
2   8   6   12800  19.5122 17:09:10 -1.60848339749E+05 -1.59969693505E+05  0.03030  0.01363 -0.25004 -0.15631
2   8 200   14427   0.0000 17:09:10 -1.59969693505E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
