K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7   5  15  260000   2.2769 22:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05903  0.03158  0.06358  0.01338  0.06523  0.33715  0.28158 -0.09865 -0.25707 -0.12616 -0.23986 -0.15562 -0.89373 -0.75006
7   5  16  262797   1.6000 22:29:10 -1.61277619008E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  16  280000   1.5374 24:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05939  0.03329  0.14622  0.01375  0.05459  0.33833  0.28285 -0.09251 -0.25707 -0.26293 -0.25530 -0.14940 -0.89373 -0.75006
7   5  17  285485   2.7000 24:29:10 -1.61267003819E+05 -1.61234322867E+05  0.05888  0.03277  0.14576  0.02170  0.05642  0.33797  0.28246 -0.09251 -0.25707 -0.26293 -0.23399 -0.16380 -0.89373 -0.75006
7   5  17  300000   1.4267 26:29:10 -1.61368435232E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  18  306194   0.5000 26:29:10 -1.61277143600E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  18  320000   1.0863 28:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05896  0.03886  0.14584  0.01263  0.05812  0.33803  0.28252 -0.09251 -0.26374 -0.26293 -0.22938 -0.15376 -0.89373 -0.75006
7   5  19  329368   0.6000 29:29:10 -1.61292351802E+05 -1.61234322867E+05  0.05906  0.03896  0.14593  0.00387  0.06656  0.33810  0.28260 -0.09251 -0.26374 -0.26293 -0.22768 -0.15562 -0.89373 -0.75006
7   5  19  340000   0.7610 30:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05920  0.03310  0.14606  0.02532  0.05272  0.33820  0.28271 -0.09251 -0.25707 -0.26293 -0.24267 -0.16342 -0.89373 -0.75006
7   5  20  360000   0.7355 32:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05917  0.03307  0.14603  0.01665  0.06138  0.33817  0.28268 -0.09251 -0.25707 -0.26293 -0.24759 -0.15539 -0.89373 -0.75006
7   5  21  361314   0.6000 32:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05917  0.03307  0.14603  0.01665  0.06138  0.33817  0.28268 -0.09251 -0.25707 -0.26293 -0.24759 -0.15539 -0.89373 -0.75006
7   5  21  376000   0.4736 34:29:10 -1.61245455782E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  22  384552   0.5000 35:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  22  396000   0.4903 36:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  23  407774   0.0000 37:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  24  408668   0.4000 37:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  24  416000   0.3546 38:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  25  418526   0.2000 38:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  26  420284   0.2000 38:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  27  423852   0.0000 39:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  29  425648   0.0000 39:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5  31  427456   0.0000 39:29:10 -1.61245488541E+05 -1.61234322867E+05  0.05879  0.03268  0.14568  0.01450  0.06629  0.33791  0.28239 -0.09251 -0.25707 -0.26293 -0.23986 -0.15562 -0.89373 -0.75006
7   5 200  427458   0.0000 39:29:10 -1.61234322867E+05 -1.61234322867E+05  0.14568  0.03268  0.05879  0.06629  0.33791  0.28239  0.01450 -0.26293 -0.25707 -0.09251 -0.15562 -0.89373 -0.75006 -0.23986
