Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
   1  1.1132E-02    0.645109    0.233015  0.2300 -0.2472  0.3378  0.0976  0.1653  0.2284  0.2804  0.1874  0.1007  0.1859  0.1238  0.1248  0.1529  0.0601  0.0666  0.0900  0.0854  0.1500  0.0581  0.0883
   2  4.2977E-03    0.460017    0.248638  0.2747 -0.2252  0.3833  0.1901  0.2729  0.3042  0.3881  0.2015  0.1890  0.2411  0.1386  0.1185  0.1764  0.0487  0.0609  0.0929  0.0895  0.1375  0.0472  0.0899
   3  1.0609E-03    0.348603    0.273995  0.2839 -0.2202  0.3923  0.1987  0.3084  0.3224  0.4101  0.2090  0.2604  0.2530  0.1451  0.1175  0.1867  0.0402  0.0575  0.0935  0.0882  0.1362  0.0451  0.0901
   4  1.9924E-04    0.300315    0.281259  0.2857 -0.2167  0.3955  0.1979  0.3136  0.3265  0.4128  0.2131  0.2784  0.2544  0.1489  0.1172  0.1930  0.0362  0.0536  0.0927  0.0859  0.1398  0.0430  0.0898
   5  7.4710E-05    0.274255    0.280113  0.2857 -0.2145  0.3969  0.1996  0.3124  0.3273  0.4123  0.2148  0.2803  0.2541  0.1511  0.1170  0.1973  0.0346  0.0507  0.0915  0.0838  0.1438  0.0410  0.0892
   6  4.0607E-05    0.257412    0.276701  0.2854 -0.2132  0.3975  0.2019  0.3104  0.3273  0.4115  0.2155  0.2784  0.2536  0.1523  0.1170  0.2003  0.0339  0.0487  0.0903  0.0821  0.1474  0.0393  0.0887
   7  2.6165E-05    0.244944    0.273259  0.2850 -0.2123  0.3979  0.2038  0.3085  0.3270  0.4108  0.2158  0.2761  0.2531  0.1528  0.1169  0.2027  0.0336  0.0472  0.0892  0.0808  0.1505  0.0380  0.0881
   8  1.8026E-05    0.234932    0.270510  0.2848 -0.2117  0.3982  0.2054  0.3071  0.3268  0.4102  0.2160  0.2741  0.2527  0.1531  0.1169  0.2044  0.0335  0.0461  0.0882  0.0798  0.1531  0.0370  0.0877
   9  1.2700E-05    0.226893    0.268160  0.2846 -0.2112  0.3984  0.2066  0.3060  0.3265  0.4097  0.2161  0.2724  0.2523  0.1532  0.1170  0.2058  0.0334  0.0453  0.0875  0.0790  0.1553  0.0362  0.0874
  10  9.2472E-06    0.219896    0.265484  0.2845 -0.2107  0.3986  0.2073  0.3050  0.3262  0.4091  0.2163  0.2706  0.2520  0.1531  0.1170  0.2072  0.0333  0.0446  0.0867  0.0782  0.1575  0.0355  0.0870
