 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   3   1       0   1.0000 05:19:13 -4.44875806628E+05 -4.44875806628E+05  0.03304  0.04160  0.03507 -0.08845  0.04436  0.04499 -0.06237  0.06916 -0.14823 -0.03932 -0.12277 -0.12666 -0.13698 -0.10603 -0.07049 -0.22071 -0.12170 -0.08631 -0.16680 -0.04292
10   3   1     100   2.9126 05:19:13 -4.42805292772E+05 -4.42805292772E+05  0.04160  0.03304  0.03507 -0.08845  0.04436  0.04499 -0.06237  0.06916 -0.14823 -0.03932 -0.12666 -0.12277 -0.13698 -0.10603 -0.07049 -0.22071 -0.12170 -0.08631 -0.16680 -0.04292
10   3   1     200  38.7255 05:19:13 -4.17042199341E+05 -4.17042199341E+05  0.04436 -0.08845  0.04160  0.03507  0.06916 -0.14823  0.04499 -0.06237  0.03304 -0.03932 -0.07049 -0.10603 -0.12666 -0.13698 -0.08631 -0.16680 -0.22071 -0.12170 -0.12277 -0.04292
10   3   1     400  46.7822 05:19:13 -3.75265866024E+05 -3.75265866024E+05  0.04436  0.03507  0.04160 -0.08845  0.06916 -0.14823  0.04499 -0.06237  0.03304 -0.03932 -0.07049 -0.13698 -0.12666 -0.10603 -0.08631 -0.16680 -0.22071 -0.12170 -0.12277 -0.04292
10   3   1     800  39.6766 05:19:13 -3.75708588574E+05 -3.69753564890E+05  0.04436  0.04160  0.03507  0.03304 -0.08845 -0.06237  0.04499 -0.14823  0.06916 -0.03932 -0.07049 -0.12666 -0.13698 -0.12277 -0.10603 -0.12170 -0.22071 -0.16680 -0.08631 -0.04292
10   3   1    1600  41.7706 05:19:13 -3.74891078078E+05 -3.69753564890E+05  0.03507  0.04436  0.04499 -0.08845  0.06916 -0.06237 -0.14823  0.04160  0.03304 -0.03932 -0.13698 -0.07049 -0.22071 -0.10603 -0.08631 -0.12170 -0.16680 -0.12666 -0.12277 -0.04292
10   3   1    3200  42.0100 05:19:13 -3.75135635843E+05 -3.69335260494E+05  0.04160  0.03507 -0.06237  0.04499 -0.08845  0.06916  0.04436 -0.14823 -0.03932  0.03304 -0.12666 -0.13698 -0.12170 -0.22071 -0.10603 -0.08631 -0.07049 -0.16680 -0.04292 -0.12277
10   3   2    6400  38.6771 05:19:13 -3.66257362963E+05 -3.66171863134E+05  0.03507 -0.06237  0.04160  0.04499  0.06916  0.04436 -0.08845 -0.14823  0.03304 -0.03932 -0.13698 -0.12170 -0.12666 -0.22071 -0.08631 -0.07049 -0.10603 -0.16680 -0.12277 -0.04292
10   3   2   12800  33.7414 09:19:13 -3.66215559371E+05 -3.61426055249E+05  0.38908  0.29896  0.57927  1.00000  1.00000 -0.07840 -0.08901  1.00000  0.38213  0.53450 -0.21988 -0.21768 -0.90634  0.00000  0.00000 -0.92625 -0.86758  0.00000 -0.24826 -0.88116
10   3   2   15000  32.3374 11:19:13 -3.69947632669E+05 -3.61426055249E+05  0.29896  0.38908  0.57927 -0.07840 -0.08901  1.00000  0.38213  1.00000  1.00000  0.53450 -0.21768 -0.21988 -0.90634 -0.92625 -0.86758  0.00000 -0.24826  0.00000  0.00000 -0.88116
