Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  1.1650E-02    0.748228    0.108223  0.1928 -0.3067  0.2389  0.1070  0.1361  0.1386  0.2147  0.1397  0.2007  0.1419  0.1505  0.1525
   2  7.2733E-03    0.596338    0.232269  0.2432 -0.2070  0.3414  0.1773  0.1969  0.2025  0.2656  0.1261  0.2451  0.1065  0.1258  0.1309
   3  3.3311E-03    0.489620    0.247318  0.2659 -0.1928  0.3748  0.2050  0.2348  0.2559  0.2886  0.1244  0.2705  0.0861  0.1097  0.1207
   4  3.5073E-03    0.386521    0.245620  0.2772 -0.1857  0.3836  0.2596  0.2995  0.3164  0.2944  0.1225  0.2799  0.0766  0.1075  0.1191
   5  1.4328E-03    0.307983    0.256275  0.2856 -0.1747  0.3888  0.2812  0.3359  0.3473  0.3005  0.1192  0.2880  0.0688  0.1065  0.1170
   6  3.5636E-04    0.262455    0.261080  0.2899 -0.1667  0.3919  0.2772  0.3486  0.3585  0.3080  0.1182  0.3002  0.0563  0.1038  0.1136
   7  1.3120E-04    0.237352    0.260318  0.2927 -0.1617  0.3937  0.2618  0.3520  0.3624  0.3128  0.1177  0.3109  0.0484  0.1004  0.1098
   8  6.1339E-05    0.222386    0.258757  0.2942 -0.1597  0.3942  0.2556  0.3516  0.3632  0.3156  0.1173  0.3192  0.0443  0.0972  0.1064
   9  2.9446E-05    0.213542    0.257375  0.2954 -0.1588  0.3942  0.2539  0.3503  0.3631  0.3171  0.1172  0.3254  0.0422  0.0944  0.1037
  10  1.6174E-05    0.207980    0.256062  0.2965 -0.1583  0.3941  0.2534  0.3490  0.3628  0.3181  0.1172  0.3300  0.0411  0.0921  0.1015
  11  9.3370E-06    0.204145    0.254828  0.2973 -0.1580  0.3941  0.2533  0.3479  0.3626  0.3187  0.1172  0.3335  0.0406  0.0902  0.0998
  12  5.6554E-06    0.201503    0.253610  0.2980 -0.1577  0.3940  0.2533  0.3470  0.3624  0.3192  0.1172  0.3361  0.0403  0.0887  0.0985
  13  3.5676E-06    0.199649    0.252448  0.2986 -0.1575  0.3939  0.2533  0.3463  0.3622  0.3196  0.1172  0.3382  0.0402  0.0874  0.0975
  14  2.2763E-06    0.198273    0.251385  0.2990 -0.1574  0.3939  0.2533  0.3457  0.3621  0.3199  0.1172  0.3397  0.0401  0.0864  0.0967
  15  1.4612E-06    0.197313    0.250376  0.2993 -0.1573  0.3939  0.2533  0.3452  0.3620  0.3202  0.1172  0.3409  0.0400  0.0856  0.0960
  16  9.6962E-07    0.196555    0.249524  0.2995 -0.1573  0.3938  0.2532  0.3448  0.3619  0.3206  0.1172  0.3417  0.0400  0.0849  0.0956
  17  5.7111E-07    0.195995    0.248901  0.2997 -0.1572  0.3938  0.2532  0.3445  0.3619  0.3208  0.1172  0.3423  0.0400  0.0844  0.0952
  18  3.4703E-07    0.195586    0.248561  0.2998 -0.1572  0.3938  0.2531  0.3443  0.3618  0.3210  0.1172  0.3427  0.0400  0.0841  0.0950
  19  1.8359E-07    0.195375    0.248288  0.2998 -0.1572  0.3937  0.2530  0.3441  0.3618  0.3211  0.1172  0.3429  0.0400  0.0839  0.0948
  20  1.2611E-07    0.195152    0.248206  0.2999 -0.1572  0.3937  0.2529  0.3440  0.3618  0.3212  0.1173  0.3431  0.0400  0.0837  0.0947
  21  8.1728E-08    0.195046    0.248073  0.2999 -0.1572  0.3936  0.2529  0.3439  0.3618  0.3212  0.1172  0.3432  0.0401  0.0836  0.0946
  22  9.3278E-08    0.194868    0.248003  0.2999 -0.1573  0.3936  0.2528  0.3438  0.3618  0.3213  0.1173  0.3433  0.0401  0.0835  0.0945
  23  8.8019E-08    0.194702    0.247923  0.2999 -0.1573  0.3936  0.2527  0.3438  0.3618  0.3214  0.1173  0.3434  0.0401  0.0834  0.0944
  24  7.6250E-08    0.194588    0.247814  0.2999 -0.1573  0.3935  0.2526  0.3437  0.3617  0.3214  0.1173  0.3435  0.0401  0.0833  0.0944
  25  7.3109E-08    0.194474    0.247704  0.2999 -0.1573  0.3935  0.2525  0.3436  0.3617  0.3215  0.1172  0.3436  0.0401  0.0832  0.0943
  26  8.7436E-08    0.194300    0.247644  0.2999 -0.1573  0.3934  0.2523  0.3435  0.3617  0.3216  0.1173  0.3437  0.0402  0.0831  0.0942
  27  7.3643E-08    0.194180    0.247549  0.2999 -0.1573  0.3934  0.2522  0.3435  0.3617  0.3216  0.1173  0.3437  0.0402  0.0830  0.0942
