Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2   QPop1   QPop2
   1  3.1735E-02    0.412805    0.113460  0.2039 -0.1490  0.5789  0.4211
   2  9.3575E-02    0.042309    0.102369  0.3659 -0.0284  0.8525  0.1475
   3  2.7972E-03    0.016715    0.070512  0.3809  0.0109  0.8723  0.1277
   4  8.0309E-05    0.014817    0.061543  0.3811  0.0049  0.8740  0.1260
   5  1.4469E-06    0.014466    0.060325  0.3813  0.0054  0.8743  0.1257
   6  6.2384E-08    0.014434    0.060175  0.3813  0.0056  0.8743  0.1257
   7  2.4541E-07    0.014326    0.059776  0.3814  0.0056  0.8744  0.1256
   8  3.1129E-08    0.014294    0.059741  0.3815  0.0057  0.8744  0.1256
   9  2.5854E-08    0.014292    0.059720  0.3815  0.0057  0.8744  0.1256
