Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  3.8166E-03    0.847973    0.069572  0.1240 -0.3155  0.1855  0.0669  0.1028  0.1093  0.1149  0.1503  0.1007  0.1180  0.0973  0.1263  0.0971  0.1057  0.1087  0.1069  0.1324  0.1076
   2  3.9063E-03    0.743077    0.262130  0.1823 -0.2552  0.3016  0.1084  0.1358  0.1470  0.1722  0.1638  0.1350  0.1300  0.1255  0.1476  0.0755  0.0934  0.1004  0.0966  0.1316  0.0995
   3  2.7866E-03    0.661355    0.279354  0.2349 -0.2449  0.3672  0.1036  0.1567  0.1974  0.2513  0.1647  0.1544  0.1539  0.1266  0.1804  0.0613  0.0822  0.0960  0.0920  0.1137  0.0939
   4  3.3037E-03    0.549211    0.299356  0.2656 -0.2394  0.3850  0.0863  0.2291  0.2736  0.3556  0.1689  0.1974  0.1703  0.1256  0.1864  0.0474  0.0789  0.1020  0.0968  0.0986  0.0938
   5  2.1834E-03    0.439411    0.322092  0.2794 -0.2335  0.3885  0.0822  0.2939  0.3127  0.4032  0.1857  0.2384  0.1747  0.1251  0.1829  0.0368  0.0867  0.1071  0.0972  0.0935  0.0960
   6  9.1178E-04    0.371666    0.331865  0.2806 -0.2353  0.3878  0.1633  0.3106  0.3222  0.4138  0.1976  0.2517  0.1745  0.1248  0.1824  0.0349  0.0896  0.1060  0.0942  0.0958  0.0978
   7  1.0560E-03    0.324622    0.323182  0.2749 -0.2425  0.3825  0.2947  0.3079  0.3197  0.4098  0.1990  0.2483  0.1716  0.1252  0.1805  0.0460  0.0881  0.1024  0.0899  0.0994  0.0969
   8  3.1102E-04    0.291926    0.318117  0.2761 -0.2374  0.3839  0.2735  0.3111  0.3233  0.4122  0.2055  0.2508  0.1697  0.1232  0.1792  0.0505  0.0874  0.1008  0.0872  0.1047  0.0973
   9  1.4186E-04    0.269026    0.317857  0.2774 -0.2322  0.3860  0.2416  0.3136  0.3261  0.4145  0.2096  0.2527  0.1679  0.1205  0.1807  0.0514  0.0869  0.0996  0.0859  0.1095  0.0975
  10  4.0058E-05    0.255862    0.316153  0.2767 -0.2309  0.3865  0.2356  0.3137  0.3263  0.4147  0.2100  0.2521  0.1661  0.1198  0.1831  0.0497  0.0864  0.0986  0.0851  0.1136  0.0976
  11  2.2210E-05    0.247311    0.314532  0.2761 -0.2304  0.3867  0.2351  0.3134  0.3262  0.4145  0.2097  0.2513  0.1645  0.1195  0.1850  0.0486  0.0858  0.0978  0.0845  0.1168  0.0975
  12  1.4082E-05    0.241198    0.313184  0.2757 -0.2300  0.3868  0.2350  0.3131  0.3260  0.4143  0.2094  0.2507  0.1633  0.1193  0.1864  0.0479  0.0852  0.0971  0.0841  0.1194  0.0973
  13  1.0022E-05    0.236150    0.312306  0.2755 -0.2296  0.3871  0.2347  0.3129  0.3259  0.4140  0.2092  0.2502  0.1622  0.1192  0.1876  0.0474  0.0847  0.0965  0.0837  0.1216  0.0972
  14  6.5126E-06    0.232302    0.311580  0.2754 -0.2292  0.3873  0.2347  0.3128  0.3259  0.4139  0.2092  0.2498  0.1614  0.1191  0.1885  0.0470  0.0843  0.0960  0.0833  0.1234  0.0970
  15  4.4059E-06    0.229204    0.310994  0.2754 -0.2289  0.3875  0.2345  0.3126  0.3258  0.4137  0.2094  0.2495  0.1609  0.1189  0.1892  0.0467  0.0839  0.0955  0.0830  0.1249  0.0968
  16  3.1242E-06    0.226605    0.310483  0.2755 -0.2285  0.3877  0.2343  0.3125  0.3257  0.4135  0.2095  0.2492  0.1605  0.1188  0.1899  0.0465  0.0836  0.0951  0.0827  0.1262  0.0966
  17  2.2292E-06    0.224485    0.310037  0.2756 -0.2282  0.3879  0.2339  0.3124  0.3256  0.4133  0.2098  0.2490  0.1603  0.1187  0.1904  0.0462  0.0833  0.0948  0.0825  0.1274  0.0964
  18  1.6437E-06    0.222689    0.309680  0.2756 -0.2279  0.3882  0.2336  0.3123  0.3256  0.4131  0.2100  0.2488  0.1600  0.1186  0.1909  0.0459  0.0830  0.0945  0.0823  0.1284  0.0963
  19  1.2148E-06    0.221194    0.309321  0.2758 -0.2275  0.3884  0.2333  0.3122  0.3256  0.4130  0.2103  0.2486  0.1599  0.1185  0.1913  0.0457  0.0828  0.0943  0.0820  0.1294  0.0961
  20  9.4658E-07    0.219948    0.308860  0.2759 -0.2272  0.3886  0.2329  0.3121  0.3255  0.4128  0.2106  0.2485  0.1598  0.1184  0.1918  0.0454  0.0826  0.0940  0.0818  0.1303  0.0959
  21  3.1916E-06    0.218661    0.308157  0.2761 -0.2267  0.3889  0.2319  0.3118  0.3254  0.4126  0.2110  0.2484  0.1600  0.1183  0.1922  0.0450  0.0822  0.0937  0.0817  0.1313  0.0956
  22  1.7353E-06    0.217585    0.307478  0.2763 -0.2264  0.3892  0.2313  0.3117  0.3253  0.4124  0.2113  0.2482  0.1601  0.1182  0.1927  0.0446  0.0820  0.0934  0.0815  0.1322  0.0953
  23  2.2875E-06    0.216492    0.306724  0.2765 -0.2259  0.3895  0.2302  0.3114  0.3253  0.4122  0.2117  0.2481  0.1603  0.1181  0.1933  0.0441  0.0817  0.0932  0.0812  0.1331  0.0950
  24  1.4683E-06    0.215694    0.305976  0.2767 -0.2254  0.3898  0.2297  0.3113  0.3253  0.4120  0.2120  0.2480  0.1603  0.1180  0.1939  0.0438  0.0814  0.0930  0.0810  0.1339  0.0947
  25  1.1158E-06    0.214777    0.305408  0.2769 -0.2250  0.3901  0.2293  0.3111  0.3252  0.4117  0.2124  0.2480  0.1604  0.1180  0.1945  0.0435  0.0811  0.0928  0.0808  0.1346  0.0944
  26  7.3714E-07    0.214017    0.304845  0.2771 -0.2246  0.3904  0.2289  0.3109  0.3252  0.4115  0.2127  0.2479  0.1603  0.1179  0.1950  0.0432  0.0809  0.0926  0.0806  0.1354  0.0942
  27  5.9369E-07    0.213362    0.304241  0.2773 -0.2242  0.3907  0.2286  0.3108  0.3252  0.4113  0.2129  0.2479  0.1603  0.1178  0.1954  0.0429  0.0807  0.0924  0.0804  0.1361  0.0940
  28  2.2149E-06    0.212708    0.303294  0.2776 -0.2237  0.3911  0.2276  0.3105  0.3251  0.4112  0.2134  0.2479  0.1604  0.1177  0.1961  0.0424  0.0804  0.0921  0.0803  0.1369  0.0937
  29  1.3384E-06    0.212055    0.302401  0.2778 -0.2232  0.3915  0.2269  0.3103  0.3250  0.4111  0.2137  0.2478  0.1605  0.1177  0.1968  0.0420  0.0801  0.0918  0.0801  0.1376  0.0934
  30  4.9373E-07    0.211382    0.301767  0.2780 -0.2227  0.3918  0.2266  0.3102  0.3250  0.4109  0.2139  0.2479  0.1604  0.1176  0.1973  0.0418  0.0799  0.0916  0.0799  0.1383  0.0932
  31  4.1803E-07    0.210966    0.300951  0.2782 -0.2223  0.3921  0.2263  0.3100  0.3250  0.4107  0.2142  0.2479  0.1604  0.1176  0.1979  0.0415  0.0797  0.0914  0.0798  0.1389  0.0930
  32  4.5290E-07    0.210383    0.300140  0.2784 -0.2218  0.3924  0.2259  0.3099  0.3249  0.4105  0.2145  0.2479  0.1604  0.1175  0.1984  0.0412  0.0795  0.0912  0.0796  0.1395  0.0927
  33  4.1602E-07    0.209847    0.299265  0.2786 -0.2214  0.3927  0.2253  0.3098  0.3249  0.4103  0.2148  0.2479  0.1603  0.1174  0.1989  0.0409  0.0793  0.0910  0.0794  0.1402  0.0925
  34  6.1345E-07    0.209194    0.298172  0.2788 -0.2209  0.3931  0.2249  0.3096  0.3249  0.4101  0.2150  0.2479  0.1602  0.1174  0.1995  0.0407  0.0790  0.0907  0.0792  0.1410  0.0922
  35  4.1307E-07    0.208469    0.297148  0.2790 -0.2204  0.3933  0.2243  0.3094  0.3248  0.4098  0.2153  0.2479  0.1602  0.1174  0.2001  0.0404  0.0788  0.0905  0.0790  0.1418  0.0920
  36  4.3648E-07    0.207753    0.296146  0.2792 -0.2199  0.3936  0.2237  0.3092  0.3248  0.4096  0.2155  0.2480  0.1602  0.1173  0.2006  0.0400  0.0785  0.0903  0.0788  0.1425  0.0917
  37  4.9418E-07    0.207057    0.295047  0.2794 -0.2194  0.3939  0.2231  0.3090  0.3247  0.4094  0.2158  0.2480  0.1601  0.1173  0.2011  0.0397  0.0783  0.0900  0.0786  0.1433  0.0915
  38  4.0068E-07    0.206444    0.294043  0.2796 -0.2189  0.3942  0.2225  0.3089  0.3247  0.4092  0.2160  0.2480  0.1600  0.1172  0.2017  0.0395  0.0781  0.0898  0.0785  0.1440  0.0913
  39  5.1618E-07    0.205658    0.292696  0.2798 -0.2184  0.3945  0.2219  0.3087  0.3247  0.4089  0.2162  0.2480  0.1600  0.1172  0.2023  0.0392  0.0778  0.0895  0.0782  0.1449  0.0909
  40  3.9423E-07    0.205006    0.291689  0.2800 -0.2180  0.3948  0.2214  0.3085  0.3247  0.4087  0.2164  0.2481  0.1598  0.1171  0.2029  0.0389  0.0775  0.0893  0.0781  0.1456  0.0907
  41  4.4432E-07    0.204285    0.290420  0.2802 -0.2175  0.3950  0.2207  0.3084  0.3246  0.4084  0.2166  0.2481  0.1597  0.1171  0.2036  0.0386  0.0773  0.0890  0.0778  0.1464  0.0905
  42  4.5185E-07    0.203505    0.289224  0.2804 -0.2170  0.3953  0.2199  0.3082  0.3246  0.4082  0.2168  0.2481  0.1595  0.1171  0.2043  0.0383  0.0770  0.0887  0.0776  0.1471  0.0902
  43  3.7040E-07    0.202733    0.288051  0.2806 -0.2166  0.3956  0.2192  0.3081  0.3246  0.4079  0.2170  0.2482  0.1593  0.1171  0.2050  0.0381  0.0768  0.0885  0.0774  0.1479  0.0900
  44  1.2370E-06    0.201857    0.286620  0.2809 -0.2161  0.3958  0.2184  0.3079  0.3245  0.4077  0.2172  0.2483  0.1592  0.1170  0.2058  0.0377  0.0765  0.0882  0.0772  0.1487  0.0897
  45  5.5614E-07    0.200975    0.285182  0.2811 -0.2156  0.3961  0.2175  0.3077  0.3244  0.4073  0.2174  0.2483  0.1591  0.1170  0.2066  0.0374  0.0762  0.0878  0.0769  0.1495  0.0894
  46  3.4663E-07    0.200090    0.283928  0.2813 -0.2152  0.3963  0.2169  0.3076  0.3244  0.4071  0.2176  0.2484  0.1588  0.1170  0.2072  0.0372  0.0759  0.0876  0.0767  0.1503  0.0892
  47  2.6815E-07    0.199222    0.282536  0.2814 -0.2148  0.3965  0.2161  0.3074  0.3244  0.4068  0.2177  0.2484  0.1586  0.1170  0.2079  0.0369  0.0757  0.0874  0.0765  0.1511  0.0890
  48  4.9966E-07    0.198193    0.281059  0.2817 -0.2144  0.3967  0.2153  0.3073  0.3243  0.4065  0.2178  0.2484  0.1584  0.1171  0.2087  0.0366  0.0754  0.0871  0.0762  0.1519  0.0887
  49  2.9557E-07    0.197351    0.279583  0.2818 -0.2141  0.3969  0.2146  0.3072  0.3243  0.4062  0.2179  0.2485  0.1582  0.1170  0.2094  0.0364  0.0751  0.0868  0.0759  0.1527  0.0884
  50  2.8963E-07    0.196359    0.278026  0.2820 -0.2137  0.3970  0.2139  0.3070  0.3243  0.4059  0.2180  0.2485  0.1579  0.1170  0.2102  0.0361  0.0748  0.0866  0.0757  0.1535  0.0882
  51  2.6659E-07    0.195502    0.276601  0.2821 -0.2134  0.3971  0.2132  0.3069  0.3242  0.4056  0.2180  0.2486  0.1577  0.1170  0.2108  0.0359  0.0746  0.0863  0.0755  0.1542  0.0880
  52  6.8349E-07    0.194380    0.274823  0.2823 -0.2130  0.3973  0.2125  0.3068  0.3241  0.4053  0.2181  0.2486  0.1576  0.1170  0.2117  0.0356  0.0743  0.0860  0.0751  0.1550  0.0877
