Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
  34  5.8655E-08    0.198292    0.252553  0.2828 -0.1809  0.4104  0.2273  0.3253  0.3436  0.4212  0.3369  0.1169  0.2687  0.0330  0.0768  0.0889  0.0789
  35  6.3060E-08    0.198101    0.252296  0.2828 -0.1808  0.4104  0.2273  0.3252  0.3436  0.4211  0.3370  0.1169  0.2688  0.0330  0.0767  0.0889  0.0788
  36  7.0668E-08    0.197819    0.252124  0.2828 -0.1808  0.4104  0.2273  0.3252  0.3436  0.4211  0.3371  0.1169  0.2689  0.0329  0.0766  0.0888  0.0787
  37  6.0048E-08    0.197618    0.251893  0.2829 -0.1807  0.4104  0.2272  0.3251  0.3435  0.4210  0.3372  0.1169  0.2690  0.0329  0.0766  0.0887  0.0787
  38  5.5810E-08    0.197466    0.251630  0.2829 -0.1807  0.4104  0.2272  0.3251  0.3435  0.4210  0.3373  0.1169  0.2692  0.0329  0.0765  0.0887  0.0786
  39  5.8844E-08    0.197283    0.251398  0.2829 -0.1807  0.4104  0.2272  0.3250  0.3435  0.4209  0.3374  0.1169  0.2693  0.0329  0.0764  0.0886  0.0785
  40  6.5962E-08    0.197078    0.251181  0.2829 -0.1806  0.4104  0.2272  0.3249  0.3435  0.4209  0.3375  0.1169  0.2694  0.0328  0.0763  0.0886  0.0785
  41  6.9183E-08    0.196828    0.251010  0.2829 -0.1806  0.4104  0.2271  0.3249  0.3435  0.4208  0.3377  0.1169  0.2695  0.0328  0.0762  0.0885  0.0784
  42  6.5427E-08    0.196635    0.250806  0.2830 -0.1806  0.4104  0.2271  0.3248  0.3434  0.4208  0.3378  0.1169  0.2696  0.0328  0.0762  0.0884  0.0783
  43  5.3181E-08    0.196492    0.250566  0.2830 -0.1805  0.4104  0.2271  0.3248  0.3434  0.4207  0.3379  0.1169  0.2697  0.0328  0.0761  0.0884  0.0783
  44  6.2925E-08    0.196296    0.250386  0.2830 -0.1805  0.4104  0.2271  0.3247  0.3434  0.4207  0.3380  0.1169  0.2698  0.0327  0.0760  0.0883  0.0782
  45  5.9038E-08    0.196104    0.250192  0.2830 -0.1805  0.4104  0.2271  0.3246  0.3434  0.4207  0.3381  0.1169  0.2699  0.0327  0.0759  0.0883  0.0781
  46  4.9187E-08    0.196006    0.249943  0.2830 -0.1805  0.4104  0.2270  0.3246  0.3434  0.4206  0.3382  0.1169  0.2700  0.0327  0.0759  0.0882  0.0781
  47  5.8156E-08    0.195826    0.249753  0.2830 -0.1805  0.4104  0.2270  0.3245  0.3434  0.4206  0.3383  0.1169  0.2701  0.0327  0.0758  0.0882  0.0780
  48  7.2057E-08    0.195605    0.249597  0.2830 -0.1804  0.4104  0.2270  0.3245  0.3434  0.4206  0.3384  0.1169  0.2702  0.0327  0.0757  0.0881  0.0780
  49  5.7782E-08    0.195453    0.249404  0.2831 -0.1804  0.4104  0.2270  0.3244  0.3433  0.4205  0.3385  0.1169  0.2703  0.0326  0.0757  0.0881  0.0779
  50  7.2521E-08    0.195244    0.249258  0.2831 -0.1804  0.4104  0.2270  0.3244  0.3433  0.4205  0.3386  0.1169  0.2704  0.0326  0.0756  0.0881  0.0779
  51  6.7615E-08    0.195068    0.249096  0.2831 -0.1804  0.4104  0.2270  0.3243  0.3433  0.4205  0.3387  0.1170  0.2705  0.0326  0.0755  0.0880  0.0778
