K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8  10   1       0   1.0000 59:02:13 -4.35069417328E+05 -4.35069417328E+05  0.09350  0.07124 -0.01286  0.04915 -0.09113 -0.16027  0.08541 -0.01644 -0.12315 -0.16865 -0.07151 -0.06682 -0.13524 -0.13276 -0.14591 -0.20364
8  10   1     100   1.0000 59:02:13 -4.33518356699E+05 -4.33518356699E+05  0.09350  0.07124 -0.01286  0.04915 -0.09113 -0.16027  0.08541 -0.01644 -0.12315 -0.16865 -0.07151 -0.06682 -0.13524 -0.13276 -0.14591 -0.20364
8  10   1     200  35.8209 59:02:13 -3.91816430407E+05 -3.91816430407E+05  0.08541  0.09350 -0.01644  0.07124 -0.01286 -0.16027  0.04915 -0.09113 -0.14591 -0.12315 -0.20364 -0.16865 -0.07151 -0.13276 -0.06682 -0.13524
8  10   1     400  41.6459 59:02:13 -3.68949030366E+05 -3.67349433130E+05 -0.01286  0.08541  0.07124 -0.01644  0.09350 -0.16027  0.04915 -0.09113 -0.07151 -0.14591 -0.16865 -0.20364 -0.12315 -0.13276 -0.06682 -0.13524
8  10   1     800  40.4494 59:02:13 -3.63032614487E+05 -3.62152100671E+05 -0.01286 -0.01644  0.07124 -0.16027 -0.09113  0.09350  0.04915  0.08541 -0.07151 -0.20364 -0.16865 -0.13276 -0.13524 -0.12315 -0.06682 -0.14591
8  10   1    1600  38.4135 59:02:13 -3.62949447890E+05 -3.60217903583E+05 -0.01286 -0.01644  0.09350 -0.09113 -0.16027  0.04915  0.07124  0.08541 -0.07151 -0.20364 -0.12315 -0.13524 -0.13276 -0.06682 -0.16865 -0.14591
8  10   1    3200  40.2999 59:02:13 -3.63727638395E+05 -3.60217903583E+05  0.09350 -0.01286 -0.09113  0.07124  0.04915 -0.16027 -0.01644  0.08541 -0.12315 -0.07151 -0.13524 -0.16865 -0.06682 -0.13276 -0.20364 -0.14591
8  10   1    6400  40.1031 00:03:13 -3.65537106351E+05 -3.57796416169E+05 -0.01644  0.09350 -0.01286  0.07124 -0.16027  0.04915 -0.09113  0.08541 -0.20364 -0.12315 -0.07151 -0.16865 -0.13276 -0.06682 -0.13524 -0.14591
8  10   2   10000  33.4840 01:03:13 -3.58257589707E+05 -3.57720419131E+05  0.31084  0.49345  0.26901 -0.11970  0.33857 -0.12593  0.39759  0.38649 -0.17143 -0.28504 -0.21729 -0.89733 -0.27207 -0.88168 -0.36356 -0.47352
8  10   2   12800  30.1309 03:03:13 -3.56128328886E+05 -3.52705255350E+05  0.31084  0.49345  0.26901 -0.11970  0.33857 -0.12593  0.39759  0.38649 -0.17143 -0.28504 -0.21729 -0.89733 -0.27207 -0.88168 -0.36356 -0.47352
8  10   2   15000  30.2963 03:03:13 -3.60257379659E+05 -3.52705255350E+05  0.38468  0.32478  0.27470  0.56726  0.29930 -0.11206 -0.11234  0.42266 -0.18709 -0.21119 -0.20252 -0.90634 -0.15161 -0.81962 -0.90031 -0.55358
8  10   2   20000  31.1914 06:03:13 -3.58036524515E+05 -3.52705255350E+05  0.29930  0.38468  0.56726 -0.11234  0.27470 -0.11206  0.32478  0.42266 -0.15161 -0.18709 -0.90634 -0.90031 -0.20252 -0.81962 -0.21119 -0.55358
8  10   2   25600  31.4698 06:03:13 -3.55510637045E+05 -3.52705255350E+05  0.38311  0.32921  0.56815 -0.10719  0.55919  0.27675 -0.12861  0.39340 -0.21095 -0.25787 -0.90634 -0.89422 -0.87119 -0.20554 -0.85938 -0.47352
8  10   3   35000  21.0831 11:03:13 -3.57007963260E+05 -3.51603756485E+05  0.32589  0.53011  0.21838 -0.20662  0.38591  1.00000  1.00000  0.34068 -0.19877 -0.90203 -0.24428 -0.88937 -0.34148  0.00000  0.00000 -0.47352
8  10   3   50000  18.2636 16:03:13 -3.51453794016E+05 -3.50797076216E+05  0.29471  0.18814  0.45701 -0.25262  0.37023  0.50105  0.29025  0.31554 -0.20136 -0.23494 -0.70552 -0.88937 -0.39855 -0.87135 -0.43532 -0.47352
8  10   3   55000  17.8743 18:03:13 -3.53834115517E+05 -3.50008617562E+05  0.29471  0.18814  0.45701 -0.25262  0.37023  0.50105  0.29025  0.31554 -0.20136 -0.23494 -0.70552 -0.88937 -0.39855 -0.87135 -0.43532 -0.47352
8  10   4   65000  20.0000 22:03:13 -3.55430478212E+05 -3.50002057584E+05  0.33696  0.17996  0.36712  0.51019 -0.25910  0.36697  0.31200  0.22439 -0.20821 -0.27730 -0.40984 -0.90634 -0.88937 -0.39855 -0.47352 -0.21639
