K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   7   1       0   1.0000 02:15:12 -4.17959506380E+05 -4.17959506380E+05 -0.03522  0.03405 -0.11876 -0.13742
2   7   1     100   1.0000 02:15:12 -4.17013479952E+05 -4.17013479952E+05 -0.03522  0.03405 -0.11876 -0.13742
2   7   1     200  33.5000 02:15:12 -3.82420839366E+05 -3.82420839366E+05  0.03405 -0.03522 -0.13742 -0.11876
2   7   1     400  22.0000 02:15:12 -3.58443871350E+05 -3.58443871350E+05  0.03405 -0.03522 -0.13742 -0.11876
2   7   1     800  31.1250 02:15:12 -4.07429569942E+05 -3.57287759049E+05 -0.03522  0.03405 -0.11876 -0.13742
2   7   1    1600  53.7500 02:15:12 -4.04479304316E+05 -3.57287759049E+05 -0.12913  0.15877 -0.13164 -0.16648
2   7   3    3200  46.3343 02:15:12 -4.02526787555E+05 -3.55330006907E+05  0.11454 -0.10231 -0.16033 -0.12203
2   7   5    6400  39.9610 02:15:12 -3.76459668788E+05 -3.55330006907E+05  0.35287 -0.05292 -0.14839 -0.60881
2   7   7   12800  22.6696 02:15:12 -3.55322083946E+05 -3.53963271449E+05  0.31735 -0.13292 -0.15246 -0.36749
2   7   9   20000   2.2876 04:15:12 -3.53963271449E+05 -3.53963271449E+05  0.36556  0.00253 -0.14844 -0.76955
2   7  10   25000   0.0000 06:15:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
2   7  11   25600   0.0000 06:15:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
2   7  14   30000   0.6598 08:15:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
2   7 200   31787   0.0000 09:15:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
