K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   1   1       0   1.0000 16:13:12 -4.18221121563E+05 -4.18221121563E+05  0.03022 -0.03142 -0.12242 -0.13277
2   1   1     100   1.0000 16:13:12 -4.18146487395E+05 -4.18146487395E+05  0.03022 -0.03142 -0.12242 -0.13277
2   1   1     200  22.5000 16:13:12 -3.85438175349E+05 -3.85438175349E+05  0.03022 -0.03142 -0.12242 -0.13277
2   1   1     400  14.2500 16:13:12 -3.53963271449E+05 -3.53963271449E+05  0.03022 -0.03142 -0.12242 -0.13277
2   1   1     800   7.2500 16:13:12 -3.57323958462E+05 -3.53963271449E+05  0.03022 -0.03142 -0.12242 -0.13277
2   1   1    1600  23.3750 16:13:12 -3.99857637938E+05 -3.53963271449E+05 -0.16208  0.26468 -0.23027 -0.15491
2   1   2    3200  37.5828 16:13:12 -4.03976534507E+05 -3.53963271449E+05  0.26274 -0.16495 -0.15019 -0.23139
2   1   5    6400  53.4296 17:13:12 -3.97343256011E+05 -3.53963271449E+05  0.19714 -0.15313 -0.16301 -0.14619
2   1   7   12800   1.5890 17:13:12 -3.55343702881E+05 -3.53963271449E+05  0.36163  0.04142 -0.14465 -0.88478
2   1 200   25158   0.0000 17:13:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
