Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  1.1683E-02    0.725939    0.088787  0.1969 -0.3040  0.2034  0.1090  0.1420  0.2672  0.1661  0.2116  0.1725  0.1825
   2  1.0149E-02    0.562464    0.222251  0.2525 -0.1937  0.3358  0.2098  0.2449  0.3414  0.1301  0.2352  0.1333  0.1599
   3  3.5821E-03    0.461734    0.236937  0.2664 -0.1799  0.3859  0.2286  0.2972  0.3779  0.1264  0.2457  0.1089  0.1411
   4  2.5709E-03    0.377043    0.251062  0.2688 -0.1803  0.4035  0.2553  0.3702  0.4118  0.1260  0.2393  0.0905  0.1324
   5  1.5088E-03    0.317263    0.251627  0.2685 -0.1808  0.4104  0.3128  0.4191  0.4360  0.1238  0.2328  0.0837  0.1237
   6  6.8369E-04    0.275612    0.245103  0.2715 -0.1737  0.4171  0.3241  0.4410  0.4570  0.1220  0.2297  0.0765  0.1148
   7  4.5671E-04    0.240827    0.235889  0.2764 -0.1618  0.4250  0.3024  0.4496  0.4745  0.1194  0.2337  0.0641  0.1083
   8  2.3168E-04    0.218416    0.223843  0.2805 -0.1517  0.4315  0.2776  0.4523  0.4872  0.1180  0.2408  0.0503  0.1037
   9  8.0726E-05    0.206130    0.216818  0.2831 -0.1457  0.4355  0.2609  0.4524  0.4934  0.1178  0.2471  0.0419  0.0998
  10  3.2517E-05    0.199970    0.213462  0.2848 -0.1425  0.4378  0.2529  0.4517  0.4957  0.1173  0.2521  0.0382  0.0968
  11  1.6006E-05    0.197165    0.211971  0.2857 -0.1413  0.4390  0.2526  0.4504  0.4962  0.1171  0.2561  0.0364  0.0943
  12  9.1806E-06    0.196176    0.211507  0.2865 -0.1405  0.4397  0.2535  0.4494  0.4959  0.1170  0.2593  0.0354  0.0923
  13  5.8687E-06    0.195980    0.211317  0.2872 -0.1398  0.4403  0.2544  0.4486  0.4953  0.1170  0.2620  0.0349  0.0908
  14  3.9086E-06    0.195966    0.211242  0.2879 -0.1393  0.4408  0.2552  0.4479  0.4948  0.1170  0.2641  0.0346  0.0896
  15  2.6569E-06    0.196034    0.211254  0.2885 -0.1388  0.4412  0.2559  0.4475  0.4943  0.1170  0.2658  0.0344  0.0886
  16  1.7496E-06    0.196139    0.211280  0.2890 -0.1385  0.4415  0.2564  0.4471  0.4938  0.1170  0.2671  0.0342  0.0878
  17  1.1001E-06    0.196265    0.211357  0.2894 -0.1382  0.4417  0.2568  0.4469  0.4935  0.1170  0.2682  0.0341  0.0872
  18  6.6046E-07    0.196383    0.211440  0.2897 -0.1379  0.4419  0.2572  0.4468  0.4932  0.1170  0.2689  0.0341  0.0868
  19  3.9247E-07    0.196490    0.211532  0.2899 -0.1377  0.4420  0.2575  0.4466  0.4930  0.1170  0.2695  0.0340  0.0865
  20  2.3375E-07    0.196602    0.211613  0.2901 -0.1376  0.4421  0.2577  0.4466  0.4928  0.1170  0.2700  0.0340  0.0863
  21  1.3747E-07    0.196706    0.211694  0.2903 -0.1375  0.4421  0.2580  0.4465  0.4927  0.1170  0.2703  0.0339  0.0861
  22  9.6288E-08    0.196800    0.211746  0.2904 -0.1374  0.4422  0.2581  0.4465  0.4925  0.1170  0.2706  0.0339  0.0860
  23  7.9759E-08    0.196860    0.211784  0.2905 -0.1373  0.4422  0.2583  0.4464  0.4924  0.1170  0.2708  0.0339  0.0859
  24  7.9953E-08    0.196870    0.211822  0.2905 -0.1372  0.4422  0.2584  0.4463  0.4923  0.1170  0.2710  0.0339  0.0857
