K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8   4   1       0   1.0000 13:56:12 -4.35260037924E+05 -4.35260037924E+05 -0.09373 -0.02798  0.14661  0.17808 -0.02434 -0.01007 -0.01414 -0.17474 -0.13068 -0.11049 -0.13700 -0.12737 -0.10262 -0.11311 -0.14010 -0.14254
8   4   1     100   2.9412 13:56:12 -4.31396456174E+05 -4.31396456174E+05 -0.09373 -0.02798  0.14661  0.17808 -0.02434 -0.01007 -0.01414 -0.17474 -0.13068 -0.11049 -0.13700 -0.12737 -0.10262 -0.11311 -0.14010 -0.14254
8   4   1     200  34.6535 13:56:12 -3.98455724948E+05 -3.98183071907E+05 -0.02434  0.17808  0.14661 -0.01007 -0.17474 -0.02798 -0.01414 -0.09373 -0.10262 -0.12737 -0.13700 -0.11311 -0.14254 -0.11049 -0.14010 -0.13068
8   4   1     400  46.2687 13:56:12 -3.73846634565E+05 -3.73846634565E+05  0.17808 -0.01007  0.14661 -0.02434 -0.02798 -0.17474 -0.01414 -0.09373 -0.12737 -0.11311 -0.13700 -0.10262 -0.11049 -0.14254 -0.14010 -0.13068
8   4   1     800  45.6359 13:56:12 -3.73988723000E+05 -3.66591571086E+05  0.14661  0.17808 -0.01007 -0.02434 -0.17474 -0.01414 -0.02798 -0.09373 -0.13700 -0.12737 -0.11311 -0.10262 -0.14254 -0.14010 -0.11049 -0.13068
8   4   1    1600  45.0062 13:56:12 -3.68345568274E+05 -3.64248247643E+05 -0.02434  0.14661  0.17808 -0.01414 -0.17474 -0.01007 -0.02798 -0.09373 -0.10262 -0.13700 -0.12737 -0.14010 -0.14254 -0.11311 -0.11049 -0.13068
8   4   2    3200  37.5000 13:56:12 -3.66382182157E+05 -3.64248247643E+05 -0.02434  0.14661  0.17808 -0.01007 -0.17474 -0.09373 -0.01414 -0.02798 -0.10262 -0.13700 -0.12737 -0.11311 -0.14254 -0.13068 -0.14010 -0.11049
8   4   2    6400  27.6379 14:56:12 -3.61663144273E+05 -3.58804720611E+05 -0.02434  0.14661 -0.01007 -0.01414 -0.17474 -0.02798  0.17808 -0.09373 -0.10262 -0.13700 -0.11311 -0.14010 -0.14254 -0.11049 -0.12737 -0.13068
8   4   2   12800  31.5325 17:56:12 -3.64214318194E+05 -3.58804720611E+05  0.44823  0.37497  0.41843  0.03815  0.03578  0.03880  0.49780  0.04109 -0.22096 -0.19807 -0.19204 -0.86139 -0.90707 -0.81446 -0.54674 -0.90687
8   4   2   15000  31.7862 19:56:12 -3.61554396711E+05 -3.58804720611E+05  0.35862  0.43198  0.32301  1.00000  0.30598 -0.04782  1.00000 -0.03648 -0.19889 -0.47352 -0.16632  0.00000 -0.09265 -0.85557  0.00000 -0.91614
8   4   3   25000  31.1390 25:56:12 -3.61269379822E+05 -3.58359468964E+05  0.28493  0.36453  0.01929  0.01601  0.39864  0.01437  0.57671  1.00000 -0.08044 -0.19980 -0.90825 -0.84918 -0.18507 -0.88963 -0.88116  0.00000
8   4   3   25600  29.5440 25:56:12 -3.64132430657E+05 -3.58359468964E+05  0.28493  0.36453  0.01929  0.01437  0.01601  0.39864  0.57671  1.00000 -0.08044 -0.19980 -0.90825 -0.88963 -0.84918 -0.18507 -0.88116  0.00000
8   4   3   40000  28.1632 27:56:12 -3.61550535304E+05 -3.56879936071E+05  0.32720  0.28793  1.00000  1.00000  1.00000  1.00000 -0.09967  0.52669 -0.16943 -0.20291  0.00000  0.00000  0.00000  0.00000 -0.88937 -0.88116
8   4   3   45000  27.6041 30:56:12 -3.61414539833E+05 -3.56879936071E+05  0.35119  0.28797  1.00000 -0.10198  1.00000  1.00000  1.00000  0.52569 -0.19727 -0.22486  0.00000 -0.88937  0.00000  0.00000  0.00000 -0.88116
8   4   4   50000  27.9188 33:56:12 -3.61169117663E+05 -3.56879936071E+05  0.45775  0.34881  0.00203 -0.00360  1.00000  1.00000  1.00000  0.47946 -0.23042 -0.21690 -0.95996 -0.87883  0.00000  0.00000  0.00000 -0.55358
8   4   4   51200  27.2473 33:56:12 -3.63807346639E+05 -3.56879936071E+05  0.45775  0.34881 -0.00360  1.00000  1.00000  1.00000  0.00203  0.47946 -0.23042 -0.21690 -0.87883  0.00000  0.00000  0.00000 -0.95996 -0.55358
8   4   4   60000  21.0199 39:56:12 -3.57714768569E+05 -3.54323946772E+05  0.42049  0.21648  1.00000  0.39462 -0.20409  1.00000  0.48174  0.38660 -0.25603 -0.20721  0.00000 -0.39855 -0.88937  0.00000 -0.88116 -0.56726
8   4   5   95000  15.2845 41:56:12 -3.56353400288E+05 -3.49701680656E+05  0.37958  1.00000  0.57838  0.30146  0.45513  0.40778 -0.08492 -0.07800 -0.20294  0.00000 -0.90634 -0.23062 -0.42208 -0.47352 -0.87308 -0.95733
8   4   5  102400  14.3300 41:56:12 -3.53675594828E+05 -3.49701680656E+05  0.26413  0.22505  1.00000  0.52956 -0.20931  0.51830  1.00000  0.36873 -0.15994 -0.24583  0.00000 -0.90634 -0.88937 -0.87135  0.00000 -0.54674
8   4   6  112279  11.5000 42:56:12 -3.54315879851E+05 -3.49701680656E+05  0.33305  0.18897  0.51426 -0.24871  0.44850  0.36391  1.00000  0.46257 -0.22267 -0.21592 -0.90634 -0.90477 -0.67994 -0.56726  0.00000 -0.88116
8   4   6  125000   8.6329 43:56:12 -3.50217310415E+05 -3.48800830621E+05  0.32546  0.18499  0.51027 -0.25888  0.31894  0.37788  0.35869  0.45816 -0.21973 -0.25419 -0.90634 -0.88937 -0.35282 -0.44816 -0.56726 -0.88116
8   4   6  155000   9.5978 45:56:12 -3.51428335791E+05 -3.47972046360E+05  0.17484  0.34061  0.50862  0.21492  0.36494  0.49686 -0.26313  0.30980 -0.23897 -0.22722 -0.90634 -0.24898 -0.39855 -0.87135 -0.88937 -0.47352
8   4   7  180000   9.7387 47:56:12 -3.50749238121E+05 -3.47383205614E+05  0.30529  0.20227  0.38224  0.51812 -0.23871  0.37722  0.35711  1.00000 -0.21206 -0.26362 -0.43686 -0.90634 -0.88937 -0.39855 -0.55358  0.00000
8   4   8  192463  14.5000 47:56:12 -3.49698697882E+05 -3.47383205614E+05  0.36004  0.28433  0.37350  0.51130 -0.25624  0.36841  0.19067  0.45930 -0.56726 -0.20398 -0.43686 -0.90634 -0.88937 -0.39855 -0.26052 -0.88116
8   4   9  204005   3.9000 48:56:12 -3.49278223102E+05 -3.47383205614E+05  0.33132  0.19672  0.38039  0.51668  1.00000  0.37535 -0.24263  0.32111 -0.22231 -0.26218 -0.43686 -0.90634  0.00000 -0.39855 -0.89511 -0.47352
8   4   9  210000   4.3736 49:56:12 -3.51078263483E+05 -3.47383205614E+05  0.31943  0.19821  0.51700  0.38080 -0.24160  0.37576  0.32156  1.00000 -0.21972 -0.26396 -0.90634 -0.43686 -0.88937 -0.39855 -0.47352  0.00000
8   4  10  238587   4.4000 50:56:12 -3.47944311790E+05 -3.47001244426E+05  0.34126  0.21246  0.17563  0.37656  0.50924 -0.26155  0.35795  0.31066 -0.22841 -0.25451 -0.30012 -0.44816 -0.90634 -0.88937 -0.34148 -0.47352
8   4  10  250000   5.8855 51:56:12 -3.48137774164E+05 -3.47001244426E+05  0.35590  0.23326  0.18148  0.37052  0.50898 -0.26221  0.36541  0.31030 -0.23760 -0.22372 -0.32666 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
8   4  12  280000   4.2688 53:56:12 -3.47427339330E+05 -3.47001244426E+05  0.35492  0.23162  0.17897  0.37072  0.50913 -0.26181  0.36560  0.31052 -0.23582 -0.23068 -0.32505 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
8   4  13  290318   2.5000 53:56:12 -3.47214122524E+05 -3.47001244426E+05  0.38154  0.23356  0.18134  0.36971  0.50834 -0.26384  0.36458  0.30941 -0.24687 -0.22501 -0.31761 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
8   4  13  310000   2.8278 55:56:12 -3.47582891644E+05 -3.47001244426E+05  0.37389  0.23537  0.18336  0.37054  0.50900 -0.26217  0.34747  0.31032 -0.23979 -0.22617 -0.32891 -0.43686 -0.90634 -0.88937 -0.37518 -0.47352
8   4  14  314153   2.2000 55:56:12 -3.47021882898E+05 -3.47001244426E+05  0.35606  0.22380  0.18331  0.37005  0.50861 -0.26315  0.36493  0.30979 -0.24111 -0.23250 -0.32569 -0.43686 -0.90634 -0.88937 -0.39855 -0.47352
8   4  15  329241   2.9000 56:56:12 -3.47001244426E+05 -3.47001244426E+05  0.38323  0.23673  0.18210  0.37041  0.50889 -0.26244  0.34732  0.31017 -0.24435 -0.22629 -0.31928 -0.43686 -0.90634 -0.88937 -0.37518 -0.47352
8   4  15  335000   1.8790 57:56:12 -3.47174820516E+05 -3.47001244426E+05  0.37154  0.23573  0.18148  0.37092  0.50929 -0.26141  0.34786  0.31074 -0.24161 -0.22260 -0.32972 -0.43686 -0.90634 -0.88937 -0.37518 -0.47352
