 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   2   1       0   1.0000 48:17:13 -4.44583829540E+05 -4.44583829540E+05  0.04545  0.04474  0.04294  0.06588  0.05689  0.02315 -0.08798  0.04777 -0.14769 -0.16689 -0.13435 -0.16488 -0.11450 -0.07970 -0.09133 -0.08508 -0.06227 -0.17659 -0.17580 -0.11917
10   2   1     100   1.0000 48:17:13 -4.43621757436E+05 -4.43621757436E+05  0.04545  0.04474  0.04294  0.06588  0.05689  0.02315 -0.16689 -0.08798  0.04777 -0.14769 -0.13435 -0.16488 -0.11450 -0.07970 -0.09133 -0.08508 -0.11917 -0.06227 -0.17659 -0.17580
10   2   1     200  42.0000 48:17:13 -4.13435188245E+05 -4.13435188245E+05  0.04545  0.04474  0.04777  0.06588 -0.08798 -0.16689 -0.14769  0.02315  0.05689  0.04294 -0.13435 -0.16488 -0.17659 -0.07970 -0.06227 -0.11917 -0.17580 -0.08508 -0.09133 -0.11450
10   2   1     400  51.2500 48:17:13 -3.82403002913E+05 -3.82359159615E+05  0.04474  0.04777  0.04545 -0.16689 -0.14769  0.05689  0.02315  0.04294 -0.08798  0.06588 -0.16488 -0.17659 -0.13435 -0.11917 -0.17580 -0.09133 -0.08508 -0.11450 -0.06227 -0.07970
10   2   1     800  41.1250 48:17:13 -3.78236726733E+05 -3.70824777017E+05  0.04474  0.04777 -0.16689  0.04545 -0.14769  0.05689  0.04294  0.02315 -0.08798  0.06588 -0.16488 -0.17659 -0.11917 -0.13435 -0.17580 -0.09133 -0.11450 -0.08508 -0.06227 -0.07970
10   2   1    1600  45.3750 48:17:13 -3.74944212610E+05 -3.70824777017E+05 -0.16689  0.04474  0.04545  0.06588  0.05689  0.02315  0.04777  0.04294 -0.08798 -0.14769 -0.11917 -0.16488 -0.13435 -0.07970 -0.09133 -0.08508 -0.17659 -0.11450 -0.06227 -0.17580
10   2   1    3200  43.8438 48:17:13 -3.72891159549E+05 -3.68038414180E+05  0.04294  0.04545  0.05689 -0.16689  0.06588  0.02315 -0.08798  0.04777 -0.14769  0.04474 -0.11450 -0.13435 -0.09133 -0.11917 -0.07970 -0.08508 -0.06227 -0.17659 -0.17580 -0.16488
10   2   2    6400  40.6167 48:17:13 -3.71993306084E+05 -3.66105814740E+05 -0.16689  0.04294  0.04545  0.05689 -0.14769  0.02315  0.04474  0.04777 -0.08798  0.06588 -0.11917 -0.11450 -0.13435 -0.09133 -0.17580 -0.08508 -0.16488 -0.17659 -0.06227 -0.07970
10   2   4   12800  37.3474 52:17:13 -3.72631100721E+05 -3.66105814740E+05  0.28782  1.00000  1.00000  1.00000  0.32586  0.42816  1.00000  1.00000  1.00000 -0.09537 -0.19230  0.00000  0.00000  0.00000 -0.18046 -0.54674  0.00000  0.00000  0.00000 -0.90159
10   2   4   15000  30.8545 54:17:13 -3.70876884029E+05 -3.66105814740E+05  0.42816  0.28782  1.00000  1.00000  1.00000  1.00000  0.32586  1.00000  1.00000 -0.09537 -0.54674 -0.19230  0.00000  0.00000  0.00000  0.00000 -0.18046  0.00000  0.00000 -0.90159
