Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.1513E-03    0.825349    0.076956  0.1528 -0.3163  0.1895  0.0786  0.1116  0.1172  0.1230  0.1551  0.1455  0.1068  0.1387  0.1084  0.1172  0.1202  0.1184  0.1448
   2  4.7595E-03    0.707638    0.254931  0.2146 -0.2486  0.3061  0.1289  0.1513  0.1604  0.1874  0.1750  0.1793  0.1255  0.1565  0.0833  0.1016  0.1086  0.1050  0.1403
   3  3.2861E-03    0.609914    0.273342  0.2481 -0.2394  0.3688  0.1285  0.1746  0.2104  0.2630  0.1745  0.2189  0.1262  0.1803  0.0670  0.0886  0.1021  0.0980  0.1189
   4  3.3369E-03    0.493585    0.295380  0.2589 -0.2343  0.3876  0.1177  0.2428  0.2802  0.3587  0.1749  0.2390  0.1262  0.1850  0.0526  0.0859  0.1081  0.1015  0.1017
   5  1.5108E-03    0.403875    0.320609  0.2618 -0.2299  0.3926  0.1257  0.2982  0.3142  0.4052  0.1879  0.2444  0.1261  0.1846  0.0436  0.0926  0.1099  0.1029  0.0959
   6  1.0719E-03    0.348967    0.326532  0.2583 -0.2353  0.3911  0.2478  0.3116  0.3224  0.4155  0.1952  0.2435  0.1259  0.1865  0.0474  0.0939  0.1078  0.0993  0.0957
   7  6.9538E-04    0.312437    0.321681  0.2578 -0.2352  0.3899  0.3108  0.3155  0.3261  0.4184  0.2029  0.2422  0.1250  0.1851  0.0544  0.0931  0.1059  0.0952  0.0992
   8  2.5196E-04    0.286552    0.318805  0.2614 -0.2281  0.3925  0.2853  0.3198  0.3312  0.4222  0.2116  0.2416  0.1229  0.1850  0.0562  0.0924  0.1046  0.0927  0.1046
   9  1.2603E-04    0.267383    0.318261  0.2625 -0.2245  0.3936  0.2711  0.3209  0.3333  0.4234  0.2152  0.2411  0.1208  0.1871  0.0549  0.0916  0.1036  0.0911  0.1099
  10  4.5351E-05    0.256238    0.316222  0.2627 -0.2227  0.3939  0.2629  0.3209  0.3339  0.4235  0.2163  0.2400  0.1204  0.1894  0.0525  0.0907  0.1026  0.0900  0.1143
  11  3.0348E-05    0.247634    0.314369  0.2626 -0.2220  0.3939  0.2594  0.3205  0.3339  0.4233  0.2163  0.2388  0.1198  0.1912  0.0516  0.0899  0.1018  0.0892  0.1178
  12  1.8618E-05    0.241325    0.312949  0.2625 -0.2217  0.3936  0.2585  0.3201  0.3337  0.4229  0.2159  0.2376  0.1195  0.1924  0.0510  0.0892  0.1011  0.0885  0.1207
  13  1.7942E-05    0.236395    0.311503  0.2626 -0.2213  0.3935  0.2566  0.3197  0.3335  0.4223  0.2159  0.2367  0.1194  0.1934  0.0502  0.0885  0.1004  0.0878  0.1235
  14  1.1643E-05    0.232400    0.310421  0.2627 -0.2209  0.3935  0.2546  0.3197  0.3333  0.4218  0.2160  0.2359  0.1192  0.1944  0.0495  0.0881  0.0998  0.0872  0.1259
  15  7.0755E-06    0.229479    0.309595  0.2628 -0.2206  0.3936  0.2535  0.3196  0.3331  0.4214  0.2161  0.2351  0.1191  0.1951  0.0491  0.0877  0.0993  0.0867  0.1278
  16  4.7207E-06    0.227046    0.308992  0.2630 -0.2203  0.3937  0.2526  0.3195  0.3329  0.4211  0.2161  0.2344  0.1190  0.1958  0.0488  0.0874  0.0988  0.0863  0.1295
  17  3.2176E-06    0.225089    0.308458  0.2632 -0.2201  0.3937  0.2519  0.3194  0.3328  0.4207  0.2163  0.2339  0.1189  0.1964  0.0486  0.0871  0.0984  0.0859  0.1309
  18  2.2847E-06    0.223386    0.308048  0.2634 -0.2198  0.3938  0.2512  0.3193  0.3326  0.4205  0.2164  0.2334  0.1188  0.1969  0.0483  0.0868  0.0980  0.0855  0.1322
  19  1.6907E-06    0.221989    0.307576  0.2636 -0.2195  0.3940  0.2504  0.3192  0.3325  0.4202  0.2165  0.2331  0.1187  0.1974  0.0481  0.0865  0.0977  0.0852  0.1333
  20  1.2085E-06    0.220822    0.307164  0.2638 -0.2193  0.3941  0.2497  0.3191  0.3325  0.4199  0.2166  0.2328  0.1186  0.1977  0.0479  0.0863  0.0974  0.0849  0.1344
  21  9.1201E-07    0.219806    0.306754  0.2640 -0.2190  0.3942  0.2491  0.3190  0.3324  0.4197  0.2168  0.2326  0.1185  0.1980  0.0477  0.0861  0.0972  0.0847  0.1353
  22  7.9352E-07    0.218934    0.306247  0.2642 -0.2187  0.3944  0.2484  0.3189  0.3323  0.4195  0.2169  0.2324  0.1184  0.1983  0.0475  0.0858  0.0970  0.0844  0.1361
  23  6.6069E-07    0.218032    0.305848  0.2644 -0.2184  0.3945  0.2478  0.3187  0.3322  0.4192  0.2170  0.2323  0.1183  0.1986  0.0473  0.0856  0.0967  0.0842  0.1369
  24  5.7287E-07    0.217236    0.305406  0.2646 -0.2181  0.3947  0.2472  0.3186  0.3322  0.4190  0.2172  0.2322  0.1183  0.1989  0.0471  0.0854  0.0965  0.0839  0.1377
  25  5.4331E-06    0.216232    0.304461  0.2649 -0.2177  0.3949  0.2457  0.3184  0.3321  0.4186  0.2175  0.2324  0.1182  0.1991  0.0466  0.0851  0.0963  0.0835  0.1388
  26  2.0750E-06    0.215384    0.303710  0.2651 -0.2173  0.3951  0.2449  0.3182  0.3320  0.4183  0.2177  0.2324  0.1181  0.1994  0.0462  0.0848  0.0960  0.0832  0.1398
  27  1.3407E-06    0.214595    0.303019  0.2654 -0.2169  0.3953  0.2442  0.3181  0.3319  0.4180  0.2179  0.2323  0.1180  0.1997  0.0459  0.0845  0.0958  0.0830  0.1407
  28  9.8160E-07    0.213841    0.302365  0.2656 -0.2166  0.3955  0.2436  0.3179  0.3318  0.4178  0.2181  0.2322  0.1180  0.1999  0.0457  0.0843  0.0956  0.0827  0.1416
  29  3.8087E-06    0.213047    0.301262  0.2659 -0.2161  0.3957  0.2424  0.3177  0.3317  0.4175  0.2183  0.2323  0.1179  0.2002  0.0452  0.0839  0.0953  0.0825  0.1427
  30  1.5619E-06    0.212387    0.300341  0.2661 -0.2157  0.3959  0.2419  0.3174  0.3316  0.4173  0.2185  0.2323  0.1179  0.2006  0.0448  0.0836  0.0950  0.0822  0.1436
  31  1.1174E-06    0.211622    0.299509  0.2663 -0.2153  0.3961  0.2413  0.3172  0.3315  0.4171  0.2187  0.2322  0.1178  0.2009  0.0445  0.0833  0.0947  0.0820  0.1445
  32  8.8870E-07    0.210989    0.298634  0.2665 -0.2150  0.3963  0.2409  0.3170  0.3314  0.4168  0.2188  0.2321  0.1178  0.2012  0.0443  0.0830  0.0945  0.0818  0.1453
  33  7.5295E-07    0.210407    0.297739  0.2667 -0.2146  0.3966  0.2405  0.3168  0.3314  0.4166  0.2189  0.2320  0.1177  0.2015  0.0440  0.0827  0.0942  0.0815  0.1462
  34  6.3246E-07    0.209842    0.296842  0.2670 -0.2142  0.3968  0.2401  0.3167  0.3313  0.4164  0.2190  0.2319  0.1176  0.2019  0.0438  0.0825  0.0940  0.0813  0.1470
  35  6.0253E-07    0.209169    0.296003  0.2672 -0.2138  0.3970  0.2396  0.3165  0.3312  0.4162  0.2191  0.2318  0.1176  0.2022  0.0435  0.0822  0.0938  0.0811  0.1478
  36  5.3482E-07    0.208586    0.295105  0.2674 -0.2134  0.3972  0.2391  0.3163  0.3312  0.4159  0.2192  0.2317  0.1176  0.2025  0.0433  0.0820  0.0935  0.0809  0.1485
  37  5.1609E-07    0.207907    0.294268  0.2676 -0.2131  0.3974  0.2387  0.3162  0.3311  0.4157  0.2193  0.2316  0.1175  0.2028  0.0430  0.0817  0.0933  0.0807  0.1493
  38  5.1148E-07    0.207176    0.293436  0.2678 -0.2126  0.3976  0.2382  0.3160  0.3311  0.4155  0.2195  0.2315  0.1175  0.2031  0.0428  0.0815  0.0931  0.0805  0.1501
  39  4.7813E-07    0.206522    0.292519  0.2681 -0.2122  0.3979  0.2376  0.3159  0.3311  0.4153  0.2196  0.2314  0.1175  0.2034  0.0425  0.0812  0.0929  0.0803  0.1509
  40  4.2503E-07    0.206008    0.291506  0.2683 -0.2118  0.3981  0.2371  0.3157  0.3310  0.4151  0.2197  0.2313  0.1174  0.2037  0.0423  0.0810  0.0927  0.0801  0.1516
  41  4.2671E-07    0.205395    0.290520  0.2685 -0.2114  0.3983  0.2365  0.3156  0.3310  0.4148  0.2199  0.2312  0.1174  0.2040  0.0420  0.0808  0.0924  0.0799  0.1524
  42  4.3478E-07    0.204656    0.289573  0.2687 -0.2110  0.3985  0.2359  0.3154  0.3309  0.4146  0.2200  0.2311  0.1173  0.2043  0.0417  0.0805  0.0922  0.0797  0.1532
  43  4.8124E-07    0.203946    0.288506  0.2690 -0.2105  0.3988  0.2351  0.3153  0.3309  0.4144  0.2201  0.2311  0.1173  0.2046  0.0414  0.0803  0.0920  0.0794  0.1540
  44  4.4242E-07    0.203177    0.287444  0.2692 -0.2101  0.3990  0.2344  0.3151  0.3309  0.4141  0.2203  0.2310  0.1173  0.2049  0.0411  0.0800  0.0917  0.0792  0.1548
  45  3.8704E-07    0.202496    0.286331  0.2694 -0.2096  0.3992  0.2337  0.3150  0.3308  0.4139  0.2204  0.2310  0.1172  0.2052  0.0409  0.0798  0.0915  0.0790  0.1555
  46  3.8365E-07    0.201755    0.285218  0.2696 -0.2092  0.3994  0.2330  0.3148  0.3308  0.4136  0.2205  0.2309  0.1172  0.2055  0.0406  0.0795  0.0913  0.0788  0.1563
