Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  1.2041E-02    0.723938    0.092498  0.1969 -0.3042  0.2082  0.1097  0.1426  0.2652  0.1666  0.2135  0.1724  0.1824
   2  1.0113E-02    0.559972    0.221758  0.2543 -0.1912  0.3371  0.2093  0.2446  0.3383  0.1290  0.2411  0.1325  0.1591
   3  3.4771E-03    0.460332    0.236462  0.2684 -0.1781  0.3850  0.2272  0.2957  0.3741  0.1252  0.2520  0.1082  0.1404
   4  2.5404E-03    0.377073    0.250566  0.2707 -0.1787  0.4021  0.2541  0.3692  0.4078  0.1248  0.2455  0.0901  0.1319
   5  1.5426E-03    0.317873    0.250836  0.2704 -0.1792  0.4092  0.3122  0.4191  0.4323  0.1229  0.2379  0.0833  0.1235
   6  7.1067E-04    0.275547    0.243987  0.2738 -0.1714  0.4168  0.3211  0.4417  0.4545  0.1210  0.2344  0.0754  0.1147
   7  4.6074E-04    0.239967    0.234208  0.2789 -0.1591  0.4253  0.2985  0.4503  0.4730  0.1184  0.2384  0.0620  0.1081
   8  1.8984E-04    0.218012    0.222670  0.2822 -0.1499  0.4314  0.2742  0.4523  0.4855  0.1179  0.2448  0.0484  0.1033
   9  7.7363E-05    0.205910    0.215514  0.2848 -0.1438  0.4357  0.2573  0.4521  0.4919  0.1177  0.2509  0.0403  0.0993
  10  3.1860E-05    0.199713    0.211786  0.2865 -0.1407  0.4381  0.2500  0.4511  0.4943  0.1172  0.2558  0.0367  0.0960
  11  1.5448E-05    0.196847    0.210045  0.2873 -0.1395  0.4393  0.2499  0.4496  0.4949  0.1170  0.2597  0.0350  0.0934
  12  9.3274E-06    0.195600    0.209433  0.2881 -0.1386  0.4401  0.2508  0.4484  0.4948  0.1170  0.2628  0.0341  0.0913
  13  5.6147E-06    0.195268    0.209018  0.2888 -0.1380  0.4407  0.2516  0.4475  0.4944  0.1170  0.2654  0.0336  0.0897
  14  3.8857E-06    0.195163    0.208799  0.2894 -0.1374  0.4412  0.2523  0.4468  0.4939  0.1170  0.2675  0.0333  0.0883
  15  2.6624E-06    0.195143    0.208684  0.2900 -0.1369  0.4416  0.2528  0.4462  0.4934  0.1170  0.2692  0.0331  0.0873
  16  1.7517E-06    0.195189    0.208649  0.2905 -0.1366  0.4419  0.2533  0.4458  0.4930  0.1170  0.2706  0.0330  0.0864
  17  1.1160E-06    0.195257    0.208704  0.2909 -0.1363  0.4422  0.2536  0.4456  0.4927  0.1170  0.2717  0.0329  0.0858
  18  6.6414E-07    0.195354    0.208747  0.2912 -0.1360  0.4424  0.2539  0.4454  0.4924  0.1170  0.2725  0.0328  0.0853
  19  4.1246E-07    0.195424    0.208815  0.2915 -0.1358  0.4425  0.2541  0.4452  0.4921  0.1170  0.2731  0.0327  0.0850
  20  2.3251E-07    0.195531    0.208881  0.2917 -0.1357  0.4426  0.2544  0.4451  0.4920  0.1170  0.2736  0.0327  0.0848
  21  1.3468E-07    0.195643    0.208932  0.2918 -0.1356  0.4426  0.2545  0.4451  0.4918  0.1170  0.2739  0.0327  0.0846
  22  9.5613E-08    0.195727    0.208984  0.2919 -0.1355  0.4426  0.2547  0.4450  0.4917  0.1170  0.2742  0.0327  0.0845
  23  7.6973E-08    0.195796    0.209004  0.2920 -0.1354  0.4427  0.2548  0.4449  0.4915  0.1170  0.2745  0.0326  0.0844
  24  6.7242E-08    0.195826    0.209021  0.2921 -0.1354  0.4427  0.2549  0.4449  0.4915  0.1170  0.2747  0.0326  0.0842
  25  5.9825E-08    0.195849    0.209008  0.2921 -0.1353  0.4427  0.2550  0.4448  0.4914  0.1169  0.2749  0.0326  0.0841
  26  5.4871E-08    0.195847    0.208992  0.2922 -0.1353  0.4427  0.2550  0.4447  0.4914  0.1169  0.2751  0.0326  0.0840
  27  5.0572E-08    0.195843    0.208961  0.2922 -0.1352  0.4427  0.2551  0.4447  0.4913  0.1169  0.2753  0.0326  0.0839
  28  6.2364E-08    0.195785    0.208955  0.2922 -0.1352  0.4427  0.2552  0.4446  0.4913  0.1169  0.2754  0.0326  0.0838
