K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   6   1       0   1.0000 56:13:12 -4.16966975332E+05 -4.16966975332E+05  0.05197 -0.05073 -0.12796 -0.13022
2   6   1     100   1.0000 56:13:12 -4.16773240133E+05 -4.16773240133E+05  0.05197 -0.05073 -0.12796 -0.13022
2   6   1     200  33.5000 58:13:12 -3.84784618131E+05 -3.84784618131E+05 -0.05073  0.05197 -0.13022 -0.12796
2   6   1     400  29.0000 04:14:12 -3.89086740217E+05 -3.75583463627E+05  0.05197 -0.05073 -0.12796 -0.13022
2   6   1     800  48.5000 13:14:12 -4.08775617839E+05 -3.66179323923E+05  0.05197 -0.05073 -0.12796 -0.13022
2   6   2    1600  77.4854 32:14:12 -3.99412798805E+05 -3.66179323923E+05  0.25055 -0.15143 -0.15119 -0.22890
2   6   3    3200  73.9639 37:14:12 -3.99119718284E+05 -3.66179323923E+05  0.04322 -0.04237 -0.11477 -0.14073
2   6   5    5000  33.5589 37:14:12 -3.92292222513E+05 -3.57066416978E+05  0.25931 -0.16391 -0.16418 -0.20445
2   6   5    6400  38.9902 38:14:12 -3.93872421957E+05 -3.53963271449E+05  0.19110 -0.14769 -0.14168 -0.16611
2   6   6   10000  32.8069 45:14:12 -3.74912437048E+05 -3.53963271449E+05  0.27766 -0.16386 -0.15060 -0.25500
2   6   7   12800   4.9808 53:14:12 -3.53963271449E+05 -3.53963271449E+05  0.33200 -0.10618 -0.15082 -0.44810
2   6   7   15000   7.7505 54:14:12 -3.65473086850E+05 -3.53963271449E+05  0.31344 -0.13390 -0.15185 -0.36072
2   6  10   25600   0.6914 55:14:12 -3.53963271449E+05 -3.53963271449E+05  0.36652  0.00775 -0.15019 -0.77753
2   6  11   30000   0.1919 57:14:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
2   6 200   33749   0.0000 00:15:12 -3.53963271449E+05 -3.53963271449E+05  0.37081  0.04045 -0.14726 -0.88937
