Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
  28  1.4124E-06    0.222371    0.313266  0.2900 -0.1784  0.4155  0.2632  0.3401  0.3538  0.4357  0.2564  0.1112  0.2276  0.1114  0.1948  0.0442  0.0831  0.0945  0.0814  0.1431  0.0199
  29  3.1311E-06    0.221361    0.311974  0.2903 -0.1777  0.4159  0.2623  0.3398  0.3538  0.4355  0.2568  0.1100  0.2276  0.1114  0.1951  0.0436  0.0827  0.0942  0.0811  0.1444  0.0199
  30  1.6579E-06    0.220439    0.310709  0.2907 -0.1768  0.4163  0.2620  0.3397  0.3538  0.4353  0.2573  0.1069  0.2275  0.1113  0.1955  0.0433  0.0823  0.0938  0.0809  0.1456  0.0198
  31  1.2911E-06    0.219685    0.309299  0.2912 -0.1759  0.4168  0.2618  0.3397  0.3539  0.4353  0.2578  0.1022  0.2274  0.1112  0.1959  0.0430  0.0820  0.0936  0.0806  0.1468  0.0196
  32  1.2179E-06    0.218696    0.307971  0.2917 -0.1748  0.4173  0.2616  0.3397  0.3541  0.4353  0.2582  0.0964  0.2272  0.1112  0.1963  0.0426  0.0816  0.0933  0.0803  0.1481  0.0194
  33  1.1057E-06    0.217789    0.306497  0.2923 -0.1737  0.4179  0.2614  0.3398  0.3544  0.4353  0.2587  0.0897  0.2272  0.1111  0.1967  0.0423  0.0813  0.0930  0.0801  0.1493  0.0191
  34  1.0148E-06    0.216808    0.305029  0.2930 -0.1725  0.4185  0.2612  0.3399  0.3546  0.4353  0.2591  0.0822  0.2270  0.1110  0.1972  0.0420  0.0810  0.0927  0.0798  0.1505  0.0188
  35  9.3933E-07    0.215880    0.303622  0.2937 -0.1711  0.4192  0.2611  0.3401  0.3550  0.4355  0.2595  0.0733  0.2270  0.1110  0.1977  0.0417  0.0807  0.0924  0.0795  0.1516  0.0185
  36  8.8584E-07    0.214842    0.302055  0.2944 -0.1697  0.4198  0.2609  0.3403  0.3553  0.4356  0.2599  0.0644  0.2270  0.1109  0.1981  0.0414  0.0803  0.0921  0.0793  0.1527  0.0181
  37  8.3533E-07    0.213834    0.300524  0.2952 -0.1683  0.4205  0.2607  0.3406  0.3557  0.4357  0.2603  0.0552  0.2269  0.1109  0.1986  0.0411  0.0800  0.0918  0.0790  0.1539  0.0178
  38  7.8350E-07    0.212745    0.298854  0.2960 -0.1668  0.4213  0.2606  0.3409  0.3562  0.4359  0.2608  0.0447  0.2269  0.1109  0.1991  0.0408  0.0797  0.0915  0.0787  0.1550  0.0174
  39  7.5971E-07    0.211534    0.297174  0.2969 -0.1651  0.4221  0.2604  0.3413  0.3567  0.4361  0.2612  0.0337  0.2269  0.1109  0.1996  0.0405  0.0794  0.0912  0.0784  0.1562  0.0170
  40  7.7617E-07    0.210217    0.295468  0.2979 -0.1634  0.4229  0.2603  0.3418  0.3573  0.4364  0.2617  0.0218  0.2269  0.1109  0.2001  0.0402  0.0790  0.0909  0.0781  0.1573  0.0165
  41  7.3880E-07    0.209022    0.293579  0.2988 -0.1616  0.4238  0.2602  0.3422  0.3579  0.4367  0.2622  0.0096  0.2269  0.1109  0.2007  0.0399  0.0787  0.0906  0.0778  0.1584  0.0161
  42  7.3083E-07    0.207964    0.291779  0.2999 -0.1596  0.4247  0.2602  0.3428  0.3585  0.4370  0.2627 -0.0033  0.2270  0.1108  0.2013  0.0396  0.0784  0.0903  0.0776  0.1595  0.0156
  43  1.8314E-06    0.206405    0.289675  0.3011 -0.1576  0.4257  0.2596  0.3434  0.3593  0.4373  0.2633 -0.0163  0.2271  0.1109  0.2020  0.0390  0.0780  0.0900  0.0772  0.1607  0.0150
  44  1.0959E-06    0.205206    0.287633  0.3022 -0.1556  0.4266  0.2595  0.3440  0.3601  0.4377  0.2639 -0.0288  0.2271  0.1108  0.2028  0.0387  0.0777  0.0898  0.0769  0.1618  0.0145
  45  9.5732E-07    0.203738    0.285629  0.3032 -0.1537  0.4276  0.2594  0.3445  0.3608  0.4380  0.2644 -0.0410  0.2272  0.1108  0.2036  0.0383  0.0773  0.0895  0.0765  0.1629  0.0139
  46  8.2269E-07    0.202452    0.283611  0.3042 -0.1520  0.4284  0.2593  0.3450  0.3614  0.4382  0.2649 -0.0521  0.2272  0.1108  0.2043  0.0380  0.0769  0.0892  0.0762  0.1639  0.0134
  47  3.5395E-06    0.200811    0.280973  0.3052 -0.1503  0.4292  0.2587  0.3454  0.3619  0.4385  0.2655 -0.0624  0.2273  0.1109  0.2052  0.0375  0.0765  0.0887  0.0759  0.1652  0.0129
  48  1.3084E-06    0.199572    0.278951  0.3061 -0.1487  0.4299  0.2585  0.3458  0.3625  0.4388  0.2659 -0.0718  0.2274  0.1109  0.2059  0.0371  0.0761  0.0884  0.0757  0.1661  0.0124
  49  9.0299E-07    0.198268    0.277021  0.3068 -0.1475  0.4305  0.2583  0.3461  0.3629  0.4389  0.2663 -0.0796  0.2274  0.1109  0.2065  0.0369  0.0758  0.0881  0.0754  0.1671  0.0120
  50  9.3079E-07    0.197199    0.275342  0.3073 -0.1467  0.4308  0.2579  0.3462  0.3631  0.4389  0.2664 -0.0840  0.2274  0.1109  0.2070  0.0366  0.0755  0.0878  0.0752  0.1679  0.0117
  51  9.1750E-07    0.196090    0.273535  0.3078 -0.1458  0.4312  0.2575  0.3463  0.3633  0.4389  0.2665 -0.0892  0.2274  0.1109  0.2076  0.0363  0.0752  0.0875  0.0750  0.1687  0.0113
  52  3.1407E-06    0.194326    0.270751  0.3084 -0.1448  0.4316  0.2568  0.3465  0.3635  0.4389  0.2668 -0.0948  0.2274  0.1109  0.2085  0.0357  0.0749  0.0871  0.0746  0.1699  0.0108
  53  1.0912E-06    0.193150    0.268884  0.3087 -0.1442  0.4318  0.2565  0.3466  0.3636  0.4387  0.2669 -0.0982  0.2273  0.1110  0.2092  0.0355  0.0746  0.0868  0.0744  0.1708  0.0105
  54  7.5962E-07    0.192064    0.267022  0.3090 -0.1437  0.4319  0.2562  0.3466  0.3636  0.4385  0.2669 -0.1011  0.2273  0.1110  0.2097  0.0353  0.0744  0.0865  0.0740  0.1716  0.0102
  55  6.2181E-07    0.191003    0.265338  0.3091 -0.1435  0.4320  0.2557  0.3464  0.3636  0.4382  0.2668 -0.1027  0.2272  0.1110  0.2101  0.0351  0.0741  0.0863  0.0738  0.1723  0.0099
  56  4.7106E-07    0.190063    0.263677  0.3092 -0.1434  0.4320  0.2552  0.3462  0.3634  0.4379  0.2666 -0.1038  0.2272  0.1111  0.2105  0.0349  0.0739  0.0860  0.0735  0.1731  0.0097
  57  4.3638E-07    0.189166    0.262221  0.3092 -0.1434  0.4319  0.2547  0.3460  0.3633  0.4376  0.2663 -0.1044  0.2271  0.1111  0.2108  0.0348  0.0737  0.0859  0.0733  0.1737  0.0095
  58  3.3464E-07    0.188273    0.260786  0.3091 -0.1435  0.4317  0.2542  0.3458  0.3631  0.4372  0.2660 -0.1044  0.2272  0.1112  0.2111  0.0346  0.0735  0.0856  0.0731  0.1743  0.0094
  59  3.1648E-07    0.187316    0.259257  0.3089 -0.1437  0.4316  0.2537  0.3454  0.3628  0.4368  0.2656 -0.1041  0.2272  0.1112  0.2114  0.0345  0.0733  0.0854  0.0728  0.1750  0.0092
  60  3.7393E-07    0.186405    0.257699  0.3088 -0.1439  0.4315  0.2532  0.3451  0.3626  0.4365  0.2652 -0.1041  0.2271  0.1112  0.2118  0.0343  0.0731  0.0852  0.0726  0.1756  0.0091
  61  3.5884E-07    0.185726    0.256542  0.3086 -0.1442  0.4313  0.2526  0.3448  0.3623  0.4361  0.2648 -0.1029  0.2271  0.1113  0.2120  0.0341  0.0729  0.0851  0.0724  0.1760  0.0090
