Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  1.0204E-02    0.757604    0.092192  0.1919 -0.3099  0.2178  0.1031  0.1415  0.1371  0.2306  0.1359  0.1874  0.1420  0.1520  0.1522
   2  7.6796E-03    0.603189    0.233796  0.2401 -0.2133  0.3337  0.1793  0.2263  0.2009  0.2852  0.1261  0.2175  0.1071  0.1309  0.1332
   3  3.6578E-03    0.494598    0.247779  0.2589 -0.2017  0.3797  0.2072  0.3004  0.2513  0.3175  0.1242  0.2321  0.0857  0.1180  0.1224
   4  3.3980E-03    0.389798    0.254871  0.2675 -0.1972  0.3955  0.2613  0.3836  0.3088  0.3349  0.1224  0.2314  0.0758  0.1143  0.1211
   5  1.3013E-03    0.314876    0.268559  0.2751 -0.1863  0.4052  0.2772  0.4267  0.3403  0.3527  0.1193  0.2307  0.0679  0.1099  0.1195
   6  3.7137E-04    0.271421    0.268075  0.2794 -0.1761  0.4122  0.2653  0.4414  0.3528  0.3693  0.1180  0.2379  0.0537  0.1052  0.1161
   7  1.4295E-04    0.247583    0.261075  0.2818 -0.1689  0.4169  0.2433  0.4443  0.3573  0.3802  0.1175  0.2460  0.0439  0.1007  0.1117
   8  6.2266E-05    0.233719    0.255236  0.2826 -0.1658  0.4192  0.2352  0.4430  0.3579  0.3868  0.1170  0.2528  0.0390  0.0968  0.1076
   9  2.9261E-05    0.226039    0.251454  0.2832 -0.1644  0.4205  0.2343  0.4409  0.3574  0.3905  0.1170  0.2582  0.0366  0.0937  0.1041
  10  1.7011E-05    0.221331    0.248765  0.2839 -0.1634  0.4215  0.2348  0.4390  0.3569  0.3928  0.1169  0.2624  0.0354  0.0912  0.1013
  11  1.0592E-05    0.218153    0.246702  0.2846 -0.1626  0.4223  0.2357  0.4376  0.3565  0.3943  0.1169  0.2658  0.0348  0.0891  0.0991
  12  7.0233E-06    0.215859    0.245090  0.2854 -0.1620  0.4230  0.2366  0.4365  0.3563  0.3954  0.1169  0.2685  0.0344  0.0875  0.0973
  13  4.7670E-06    0.214143    0.243789  0.2861 -0.1615  0.4235  0.2374  0.4356  0.3561  0.3962  0.1169  0.2707  0.0341  0.0862  0.0959
  14  3.2680E-06    0.212904    0.242650  0.2868 -0.1610  0.4240  0.2381  0.4349  0.3560  0.3967  0.1169  0.2725  0.0339  0.0851  0.0948
  15  2.2244E-06    0.212062    0.241658  0.2874 -0.1606  0.4244  0.2387  0.4344  0.3560  0.3970  0.1169  0.2740  0.0338  0.0842  0.0940
  16  1.5578E-06    0.211419    0.240904  0.2879 -0.1602  0.4247  0.2392  0.4340  0.3560  0.3973  0.1169  0.2752  0.0337  0.0835  0.0934
  17  1.1083E-06    0.210908    0.240426  0.2884 -0.1600  0.4250  0.2397  0.4338  0.3560  0.3974  0.1170  0.2762  0.0336  0.0830  0.0929
  18  7.1652E-07    0.210624    0.240025  0.2888 -0.1597  0.4252  0.2401  0.4336  0.3560  0.3974  0.1170  0.2770  0.0335  0.0826  0.0925
  19  4.7633E-07    0.210474    0.239703  0.2891 -0.1595  0.4254  0.2404  0.4334  0.3560  0.3975  0.1170  0.2776  0.0335  0.0823  0.0922
  20  3.4646E-07    0.210308    0.239532  0.2894 -0.1593  0.4256  0.2407  0.4333  0.3561  0.3975  0.1170  0.2781  0.0334  0.0820  0.0920
  21  2.1832E-07    0.210252    0.239390  0.2896 -0.1592  0.4257  0.2410  0.4332  0.3561  0.3975  0.1170  0.2785  0.0334  0.0818  0.0918
  22  1.4665E-07    0.210195    0.239361  0.2898 -0.1591  0.4257  0.2412  0.4332  0.3562  0.3974  0.1170  0.2788  0.0334  0.0817  0.0917
  23  1.2275E-07    0.210133    0.239371  0.2899 -0.1590  0.4258  0.2414  0.4332  0.3562  0.3974  0.1170  0.2790  0.0333  0.0816  0.0916
  24  9.4972E-08    0.210114    0.239356  0.2901 -0.1589  0.4258  0.2416  0.4331  0.3562  0.3974  0.1170  0.2792  0.0333  0.0816  0.0915
  25  7.0923E-08    0.210150    0.239278  0.2902 -0.1588  0.4259  0.2417  0.4331  0.3562  0.3974  0.1170  0.2794  0.0333  0.0815  0.0915
  26  8.1017E-08    0.210099    0.239255  0.2903 -0.1588  0.4259  0.2419  0.4330  0.3562  0.3974  0.1170  0.2796  0.0333  0.0814  0.0914
  27  7.2819E-08    0.210053    0.239214  0.2903 -0.1587  0.4259  0.2420  0.4330  0.3562  0.3973  0.1170  0.2797  0.0333  0.0813  0.0913
  28  9.3094E-08    0.209920    0.239238  0.2904 -0.1587  0.4259  0.2421  0.4330  0.3562  0.3974  0.1170  0.2799  0.0332  0.0813  0.0912
  29  8.5383E-08    0.209803    0.239242  0.2904 -0.1586  0.4259  0.2421  0.4329  0.3562  0.3974  0.1170  0.2800  0.0332  0.0812  0.0912
  30  8.4846E-08    0.209705    0.239225  0.2905 -0.1586  0.4259  0.2422  0.4329  0.3562  0.3974  0.1171  0.2801  0.0332  0.0811  0.0911
  31  6.4362E-08    0.209675    0.239141  0.2905 -0.1585  0.4260  0.2423  0.4328  0.3562  0.3974  0.1170  0.2802  0.0332  0.0811  0.0911
  32  8.6052E-08    0.209547    0.239141  0.2906 -0.1585  0.4260  0.2424  0.4328  0.3562  0.3975  0.1170  0.2803  0.0332  0.0810  0.0910
  33  5.5972E-08    0.209535    0.239042  0.2906 -0.1585  0.4259  0.2424  0.4328  0.3561  0.3975  0.1170  0.2804  0.0332  0.0810  0.0910
  34  8.8880E-08    0.209377    0.239066  0.2906 -0.1585  0.4259  0.2425  0.4327  0.3561  0.3975  0.1170  0.2805  0.0332  0.0809  0.0909
  35  6.5907E-08    0.209312    0.239014  0.2906 -0.1584  0.4259  0.2425  0.4327  0.3561  0.3976  0.1170  0.2805  0.0332  0.0808  0.0908
  36  7.5236E-08    0.209197    0.238999  0.2907 -0.1584  0.4259  0.2425  0.4327  0.3561  0.3976  0.1171  0.2806  0.0331  0.0808  0.0908
  37  6.9903E-08    0.209087    0.238980  0.2907 -0.1584  0.4259  0.2426  0.4326  0.3561  0.3976  0.1171  0.2807  0.0331  0.0807  0.0907
  38  4.2643E-08    0.209129    0.238834  0.2907 -0.1584  0.4259  0.2426  0.4326  0.3561  0.3977  0.1170  0.2807  0.0331  0.0807  0.0907
  39  6.4296E-08    0.209042    0.238801  0.2907 -0.1584  0.4259  0.2426  0.4326  0.3560  0.3977  0.1170  0.2808  0.0331  0.0807  0.0907
  40  9.1506E-08    0.208836    0.238866  0.2907 -0.1584  0.4259  0.2427  0.4325  0.3560  0.3978  0.1171  0.2808  0.0331  0.0806  0.0906
  41  4.8903E-08    0.208836    0.238762  0.2907 -0.1583  0.4259  0.2427  0.4325  0.3560  0.3978  0.1171  0.2809  0.0331  0.0806  0.0906
  42  8.0407E-08    0.208666    0.238801  0.2907 -0.1583  0.4259  0.2427  0.4325  0.3560  0.3978  0.1171  0.2809  0.0331  0.0806  0.0905
  43  6.8477E-08    0.208576    0.238777  0.2907 -0.1583  0.4259  0.2427  0.4324  0.3560  0.3979  0.1171  0.2810  0.0331  0.0805  0.0905
  44  7.9455E-08    0.208446    0.238790  0.2907 -0.1583  0.4259  0.2427  0.4324  0.3560  0.3979  0.1171  0.2810  0.0331  0.0805  0.0904
