K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9
9   3   1       0   1.0000 10:06:13 -4.41189952448E+05 -4.41189952448E+05 -0.03933 -0.04453  0.05780  0.05924  0.03931 -0.18611 -0.06145  0.04710  0.07771 -0.13172 -0.10063 -0.09141 -0.14691 -0.12195 -0.12095 -0.11979 -0.12124 -0.15027
9   3   1     100   1.9802 10:06:13 -4.37900737059E+05 -4.37900737059E+05 -0.03933 -0.04453  0.05780  0.05924  0.03931 -0.18611 -0.06145  0.04710  0.07771 -0.13172 -0.10063 -0.09141 -0.14691 -0.12195 -0.12095 -0.11979 -0.12124 -0.15027
9   3   1     200  35.8209 10:06:13 -4.06754540779E+05 -4.06672048224E+05  0.05924 -0.18611 -0.06145  0.05780  0.07771 -0.03933  0.04710 -0.04453  0.03931 -0.14691 -0.12095 -0.11979 -0.09141 -0.15027 -0.13172 -0.12124 -0.10063 -0.12195
9   3   1     400  47.3815 10:06:13 -3.73682123765E+05 -3.73582019241E+05 -0.06145  0.05924  0.07771  0.05780  0.04710 -0.04453 -0.18611  0.03931 -0.03933 -0.11979 -0.14691 -0.15027 -0.09141 -0.12124 -0.10063 -0.12095 -0.12195 -0.13172
9   3   1     800  38.2022 10:06:13 -3.64193851912E+05 -3.63743702681E+05 -0.06145  0.05924  0.05780 -0.04453  0.07771  0.03931 -0.18611 -0.03933  0.04710 -0.11979 -0.14691 -0.09141 -0.10063 -0.15027 -0.12195 -0.12095 -0.13172 -0.12124
9   3   1    1600  35.4778 10:06:13 -3.65948880685E+05 -3.63712625954E+05 -0.06145 -0.18611  0.05924 -0.04453  0.07771  0.05780  0.03931  0.04710 -0.03933 -0.11979 -0.12095 -0.14691 -0.10063 -0.15027 -0.09141 -0.12195 -0.12124 -0.13172
9   3   1    3200  35.9888 10:06:13 -3.59619302568E+05 -3.59126871872E+05  0.05780 -0.06145  0.05924 -0.04453  0.07771 -0.03933  0.03931 -0.18611  0.04710 -0.09141 -0.11979 -0.14691 -0.10063 -0.15027 -0.13172 -0.12195 -0.12095 -0.12124
9   3   1    6400  36.1037 11:06:13 -3.64147370901E+05 -3.58767900330E+05  0.05780 -0.18611 -0.03933  0.05924  0.03931 -0.04453  0.07771  0.04710 -0.06145 -0.09141 -0.12095 -0.13172 -0.14691 -0.12195 -0.10063 -0.15027 -0.12124 -0.11979
9   3   1   10000  35.0065 12:06:13 -3.61771548227E+05 -3.57686368001E+05  0.29477  0.33766  0.57098 -0.10536  0.40641  0.30546 -0.09864  0.39738  1.00000 -0.09792 -0.23038 -0.90634 -0.86105 -0.31071 -0.21144 -0.93281 -0.47352  0.00000
9   3   1   12800  34.8723 14:06:13 -3.62932494244E+05 -3.57686368001E+05  0.33766  1.00000  0.29477  0.30546  0.57098 -0.09864  0.40641 -0.10536  0.39738 -0.23038  0.00000 -0.09792 -0.21144 -0.90634 -0.93281 -0.31071 -0.86105 -0.47352
