K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   5   1       0   1.0000 09:50:11 -1.64419658619E+05 -1.64419658619E+05 -0.00603  0.00766 -0.16985 -0.16325
2   5   1     100   1.0000 09:50:11 -1.63400772005E+05 -1.63400772005E+05 -0.00603  0.00766 -0.16985 -0.16325
2   5   1     200  32.5000 09:50:11 -1.63656608208E+05 -1.63131676594E+05  0.00766 -0.00603 -0.16325 -0.16985
2   5   1     400  39.2500 09:50:11 -1.62300985148E+05 -1.62056179035E+05 -0.00603  0.00766 -0.16985 -0.16325
2   5   1     800  49.1250 09:50:11 -1.63933912821E+05 -1.62056179035E+05 -0.00603  0.00766 -0.16985 -0.16325
2   5   1    1600  52.7500 09:50:11 -1.63270128155E+05 -1.61640842750E+05  0.00453 -0.00053 -0.12797 -0.18362
2   5   2    3200  53.9286 09:50:11 -1.63602957696E+05 -1.59969693505E+05  0.00682  0.00852 -0.19342 -0.15813
2   5   3    6400  46.3597 09:50:11 -1.62391430336E+05 -1.59969693505E+05  0.00778 -0.00052 -0.12025 -0.19398
2   5   6   12800  20.9139 09:50:11 -1.61628415288E+05 -1.59969693505E+05  0.01285  0.02258 -0.16706 -0.21855
2   5  11   25600   4.1885 10:50:11 -1.60608482445E+05 -1.59969693505E+05  0.01628  0.03323 -0.15445 -0.26220
2   5  19   44000   1.2698 11:50:11 -1.60576834105E+05 -1.59969693505E+05  0.01796  0.03131 -0.15546 -0.25695
2   5 200   49474   0.0000 11:50:11 -1.59969693505E+05 -1.59969693505E+05  0.01796  0.03131 -0.15546 -0.25695
