Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
  35  7.3704E-07    0.151941    0.223641  0.1119  0.2252  0.0983  0.1941  0.0811  0.0665  0.0251  0.2265  0.1115  0.2843  0.0752  0.1192  0.1419  0.0415
  36  6.1198E-07    0.151818    0.223443  0.1119  0.2252  0.0982  0.1941  0.0811  0.0665  0.0251  0.2265  0.1114  0.2844  0.0751  0.1193  0.1418  0.0415
  37  6.4908E-07    0.151650    0.223388  0.1119  0.2252  0.0982  0.1941  0.0810  0.0665  0.0250  0.2266  0.1114  0.2844  0.0751  0.1193  0.1417  0.0414
  38  8.9472E-07    0.151447    0.222964  0.1119  0.2252  0.0982  0.1940  0.0810  0.0665  0.0247  0.2266  0.1113  0.2846  0.0751  0.1192  0.1417  0.0414
  39  1.0687E-06    0.151312    0.222861  0.1119  0.2252  0.0982  0.1940  0.0810  0.0666  0.0246  0.2268  0.1113  0.2846  0.0751  0.1191  0.1418  0.0413
  40  5.4730E-07    0.151294    0.222842  0.1119  0.2252  0.0982  0.1940  0.0810  0.0665  0.0246  0.2268  0.1113  0.2846  0.0751  0.1192  0.1418  0.0414
  41  7.9998E-07    0.151306    0.222783  0.1119  0.2252  0.0982  0.1940  0.0810  0.0666  0.0245  0.2269  0.1112  0.2846  0.0751  0.1191  0.1417  0.0414
  42  7.0230E-07    0.151300    0.222784  0.1119  0.2252  0.0982  0.1940  0.0810  0.0666  0.0245  0.2270  0.1112  0.2847  0.0751  0.1190  0.1417  0.0414
  43  6.6288E-07    0.151285    0.222864  0.1119  0.2252  0.0982  0.1940  0.0810  0.0666  0.0244  0.2270  0.1112  0.2847  0.0751  0.1190  0.1416  0.0413
  44  7.4779E-07    0.151412    0.222663  0.1119  0.2251  0.0982  0.1941  0.0810  0.0666  0.0243  0.2271  0.1112  0.2847  0.0751  0.1190  0.1416  0.0413
  45  5.0975E-07    0.151269    0.222270  0.1119  0.2252  0.0982  0.1940  0.0810  0.0666  0.0242  0.2271  0.1111  0.2849  0.0751  0.1190  0.1416  0.0413
  46  4.4846E-07    0.151202    0.222262  0.1119  0.2251  0.0982  0.1941  0.0810  0.0667  0.0241  0.2271  0.1111  0.2849  0.0751  0.1190  0.1416  0.0413
  47  4.8544E-07    0.151157    0.222239  0.1119  0.2251  0.0982  0.1941  0.0810  0.0667  0.0240  0.2271  0.1111  0.2849  0.0751  0.1189  0.1417  0.0413
  48  3.3540E-07    0.151203    0.222182  0.1119  0.2251  0.0982  0.1940  0.0810  0.0667  0.0240  0.2270  0.1111  0.2849  0.0751  0.1189  0.1417  0.0413
  49  3.1872E-07    0.151056    0.222057  0.1119  0.2251  0.0982  0.1941  0.0810  0.0667  0.0239  0.2272  0.1110  0.2848  0.0751  0.1189  0.1417  0.0413
  50  3.6027E-07    0.150929    0.221924  0.1119  0.2250  0.0982  0.1941  0.0810  0.0667  0.0238  0.2271  0.1110  0.2848  0.0751  0.1189  0.1418  0.0413
  51  6.6922E-07    0.151044    0.221850  0.1119  0.2250  0.0982  0.1941  0.0809  0.0667  0.0237  0.2272  0.1110  0.2849  0.0751  0.1188  0.1417  0.0413
  52  5.2899E-07    0.150972    0.221658  0.1119  0.2251  0.0982  0.1941  0.0809  0.0668  0.0236  0.2273  0.1110  0.2851  0.0751  0.1188  0.1416  0.0412
  53  1.8663E-07    0.151074    0.221714  0.1119  0.2251  0.0982  0.1941  0.0809  0.0668  0.0235  0.2273  0.1109  0.2851  0.0751  0.1188  0.1416  0.0412
  54  1.3806E-07    0.151164    0.221691  0.1119  0.2251  0.0982  0.1941  0.0809  0.0668  0.0234  0.2273  0.1109  0.2851  0.0751  0.1187  0.1416  0.0412
  55  1.0902E-07    0.151167    0.221775  0.1120  0.2251  0.0982  0.1941  0.0809  0.0668  0.0234  0.2274  0.1109  0.2851  0.0751  0.1187  0.1416  0.0412
  56  2.9802E-07    0.151117    0.221546  0.1120  0.2251  0.0982  0.1941  0.0809  0.0669  0.0233  0.2274  0.1109  0.2851  0.0751  0.1187  0.1416  0.0412
  57  2.0458E-07    0.151088    0.221540  0.1120  0.2251  0.0982  0.1941  0.0809  0.0669  0.0232  0.2275  0.1109  0.2851  0.0751  0.1186  0.1416  0.0412
  58  3.1081E-07    0.150972    0.221361  0.1120  0.2251  0.0982  0.1941  0.0808  0.0669  0.0230  0.2275  0.1108  0.2853  0.0751  0.1186  0.1416  0.0412
  59  1.6921E-07    0.150965    0.221211  0.1120  0.2251  0.0982  0.1941  0.0808  0.0669  0.0229  0.2275  0.1108  0.2853  0.0751  0.1186  0.1416  0.0412
  60  1.5798E-07    0.150954    0.221201  0.1120  0.2251  0.0982  0.1941  0.0808  0.0669  0.0228  0.2276  0.1108  0.2853  0.0751  0.1185  0.1415  0.0412
  61  1.9876E-07    0.150853    0.221259  0.1120  0.2250  0.0982  0.1941  0.0808  0.0670  0.0227  0.2276  0.1108  0.2852  0.0751  0.1185  0.1416  0.0412
