K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   4   1       0   1.0000 42:52:11 -1.68045119640E+05 -1.68045119640E+05  0.01115 -0.00912 -0.00212 -0.00326 -0.11470 -0.19461 -0.15458 -0.19247
4   4   1     100   1.9802 42:52:11 -1.67703032152E+05 -1.67703032152E+05  0.01115 -0.00212 -0.00326 -0.00912 -0.11470 -0.15458 -0.19247 -0.19461
4   4   1     200  31.3433 42:52:11 -1.64174356976E+05 -1.64174356976E+05 -0.00912 -0.00326  0.01115 -0.00212 -0.19461 -0.19247 -0.11470 -0.15458
4   4   1     400  30.1746 42:52:11 -1.61916315049E+05 -1.61772730291E+05 -0.00912 -0.00326  0.01115 -0.00212 -0.19461 -0.19247 -0.11470 -0.15458
4   4   1     800  36.5793 42:52:11 -1.63245430382E+05 -1.61071633894E+05 -0.00326  0.01115 -0.00912 -0.00212 -0.19247 -0.11470 -0.19461 -0.15458
4   4   1    1600  45.2842 43:52:11 -1.62807785774E+05 -1.61071633894E+05 -0.00326  0.01115 -0.00912 -0.00212 -0.19247 -0.11470 -0.19461 -0.15458
4   4   2    3200  52.2613 43:52:11 -1.63953158607E+05 -1.61071633894E+05 -0.01328 -0.02798  0.03189  0.27577 -0.16555 -0.19036 -0.08801 -0.75006
4   4   3    6400  44.8776 43:52:11 -1.63257326649E+05 -1.60399222865E+05  0.00127 -0.02339  0.00395  0.27983 -0.13245 -0.20337 -0.18228 -0.75006
4   4   5   12800  35.8228 43:52:11 -1.61272282596E+05 -1.59798021466E+05 -0.00012  0.05546  0.00123  0.19906 -0.15135 -0.30358 -0.13900 -0.57127
4   4   5   20000  32.2403 44:52:11 -1.60804070015E+05 -1.59372035979E+05  0.02736  0.01306 -0.01542  0.27607 -0.09484 -0.20060 -0.18443 -0.75006
4   4   6   25600  29.3442 44:52:11 -1.59645634740E+05 -1.59372035979E+05 -0.01851  0.01357  0.32582  0.26929 -0.18223 -0.13374 -0.89373 -0.75006
4   4   9   51200   6.5263 45:52:11 -1.59424717278E+05 -1.58718385687E+05  0.00082 -0.00394  0.21355  0.27415 -0.13826 -0.19176 -0.58382 -0.75006
4   4   9   56000   8.7060 46:52:11 -1.59596381288E+05 -1.58718385687E+05 -0.00744  0.02860  0.32625  0.26976 -0.13377 -0.27500 -0.89373 -0.75006
4   4  13   88000   3.9281 48:52:11 -1.58806370677E+05 -1.58718385687E+05 -0.00016  0.01235  0.32684  0.27040 -0.13927 -0.23789 -0.89373 -0.75006
4   4  14  102400   3.0853 48:52:11 -1.58805581659E+05 -1.58718385687E+05 -0.00744  0.02860  0.32625  0.26976 -0.13377 -0.27500 -0.89373 -0.75006
4   4  15  103762   2.6000 49:52:11 -1.58735722131E+05 -1.58718385687E+05 -0.00602  0.02534  0.32644  0.26997 -0.13384 -0.26756 -0.89373 -0.75006
4   4  16  112176   2.0000 49:52:11 -1.58735722131E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
4   4  17  120000   3.2258 50:52:11 -1.58872819801E+05 -1.58718385687E+05 -0.00192  0.01636  0.32674  0.27029 -0.13142 -0.25707 -0.89373 -0.75006
4   4  17  120818   2.6000 50:52:11 -1.58718385687E+05 -1.58718385687E+05 -0.00192  0.01636  0.32674  0.27029 -0.13142 -0.25707 -0.89373 -0.75006
4   4  18  129448   1.8000 50:52:11 -1.58829894603E+05 -1.58718385687E+05 -0.00744  0.02860  0.32625  0.26976 -0.13377 -0.27500 -0.89373 -0.75006
4   4  19  137708   2.4000 51:52:11 -1.58735722131E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
4   4  20  146271   1.5000 51:52:11 -1.58719703860E+05 -1.58718385687E+05 -0.00602  0.02534  0.32644  0.26997 -0.13384 -0.26756 -0.89373 -0.75006
4   4  21  154942   1.1000 52:52:11 -1.58718385687E+05 -1.58718385687E+05 -0.00192  0.01636  0.32674  0.27029 -0.13142 -0.25707 -0.89373 -0.75006
4   4  21  156000   1.5211 52:52:11 -1.58718385687E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
4   4 200  162260   0.0000 52:52:11 -1.58718385687E+05 -1.58718385687E+05 -0.00757  0.02797  0.32634  0.26985 -0.13533 -0.27006 -0.89373 -0.75006
