K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   1   1       0   1.0000 42:56:11 -1.71145558700E+05 -1.71145558700E+05 -0.01820  0.01326  0.00825 -0.00816  0.00657 -0.00772 -0.18787 -0.17256 -0.10889 -0.13626 -0.17514 -0.20507
6   1   1     100   0.0000 42:56:11 -1.71145558700E+05 -1.71145558700E+05 -0.01820  0.01326  0.00825 -0.00816  0.00657 -0.00772 -0.18787 -0.17256 -0.10889 -0.13626 -0.17514 -0.20507
6   1   1     200  32.0000 42:56:11 -1.67460702109E+05 -1.67460702109E+05 -0.01820  0.01326  0.00657  0.00825 -0.00772 -0.00816 -0.18787 -0.17256 -0.17514 -0.10889 -0.20507 -0.13626
6   1   1     400  42.0000 42:56:11 -1.65189268015E+05 -1.65144293551E+05  0.00825 -0.01820 -0.00772 -0.00816  0.01326  0.00657 -0.10889 -0.18787 -0.20507 -0.13626 -0.17256 -0.17514
6   1   1     800  40.0000 42:56:11 -1.63324180111E+05 -1.63015032858E+05 -0.01820  0.01326  0.00825 -0.00772 -0.00816  0.00657 -0.18787 -0.17256 -0.10889 -0.20507 -0.13626 -0.17514
6   1   1    1600  40.1250 42:56:11 -1.63708875581E+05 -1.62411965862E+05 -0.00816 -0.01820  0.00825  0.01326 -0.00772  0.00657 -0.13626 -0.18787 -0.10889 -0.17256 -0.20507 -0.17514
6   1   1    3200  43.6250 42:56:11 -1.65186515799E+05 -1.62063434467E+05  0.01326 -0.00772 -0.01820 -0.00816  0.00657  0.00825 -0.17256 -0.20507 -0.18787 -0.13626 -0.17514 -0.10889
6   1   3    6400  43.5220 43:56:11 -1.64172785083E+05 -1.62063434467E+05  0.02779 -0.00646  0.33587  0.28019 -0.01424 -0.00089 -0.11310 -0.18578 -0.89373 -0.75006 -0.11236 -0.25236
6   1   5   12800  38.3242 43:56:11 -1.66346668456E+05 -1.62063434467E+05  0.05703 -0.00528  1.00000  0.22493 -0.05943  1.00000 -0.31778 -0.15177  0.00000 -0.55444 -0.14669  0.00000
6   1   5   25600  34.5191 43:56:11 -1.64740927720E+05 -1.62063434467E+05  0.01472  0.02624  0.27481  1.00000  0.35637 -0.01204 -0.20343 -0.19963 -0.75006  0.00000 -0.81087 -0.15187
6   1   6   28000  23.4319 44:56:11 -1.63107442664E+05 -1.62057809752E+05 -0.00522  0.00258  1.00000  0.34926  0.26680  1.00000 -0.24510 -0.13172  0.00000 -0.81087 -0.75006  0.00000
6   1   7   51200  13.9384 45:56:11 -1.61196073689E+05 -1.60460628055E+05  0.00873  0.03117  0.14173  0.33484  0.27907  0.07125 -0.15192 -0.24712 -0.26293 -0.89373 -0.75006 -0.17133
6   1   7   68000  17.6286 46:56:11 -1.61521165172E+05 -1.60317630289E+05  0.02036  0.13891  0.33266  0.27671  0.35805 -0.00216 -0.14198 -0.26293 -0.89373 -0.75006 -0.81087 -0.19312
6   1   9  102400  13.4395 47:56:11 -1.61481286378E+05 -1.60198333446E+05 -0.01009  0.03233  0.35671  0.05858  0.33127  0.27520 -0.14063 -0.26756 -0.81087 -0.14598 -0.89373 -0.75006
6   1   9  108000  13.1223 48:56:11 -1.61682512610E+05 -1.60198333446E+05  0.06085  0.04321  0.14198  0.33504  0.27928  0.00983 -0.09104 -0.27546 -0.26293 -0.89373 -0.75006 -0.16229
6   1  10  112891  12.5000 48:56:11 -1.61212738030E+05 -1.60198333446E+05  0.06064  0.00592  0.01490  0.33479  0.27901  0.14166 -0.08229 -0.21294 -0.16519 -0.89373 -0.75006 -0.26293
6   1  11  124580   8.0000 48:56:11 -1.60546624604E+05 -1.60198333446E+05  0.03857  0.02571  0.01524  0.33323  0.27733  0.35860 -0.08166 -0.27304 -0.15912 -0.89373 -0.75006 -0.81087
6   1  12  144000   4.1667 50:56:11 -1.60648409590E+05 -1.60072207653E+05  0.03836  0.03496  0.01340  0.33309  0.27717  0.35846 -0.08166 -0.26756 -0.17006 -0.89373 -0.75006 -0.81087
6   1  12  144704   4.9000 50:56:11 -1.60250387655E+05 -1.60072207653E+05  0.03836  0.03496  0.35846  0.01340  0.33309  0.27717 -0.08166 -0.26756 -0.81087 -0.17006 -0.89373 -0.75006
6   1  13  164725   5.7000 51:56:11 -1.60868840177E+05 -1.60019260599E+05  0.02967  0.03873  0.01516  0.33328  0.27737  0.35865 -0.09191 -0.27500 -0.17391 -0.89373 -0.75006 -0.81087
6   1  14  184000   4.2184 52:56:11 -1.60107062136E+05 -1.59992660784E+05  0.03836  0.03496  0.35846  0.01340  0.33309  0.27717 -0.08166 -0.26756 -0.81087 -0.17006 -0.89373 -0.75006
6   1  14  184497   3.6000 52:56:11 -1.60348650315E+05 -1.59992660784E+05  0.35846  0.03496  0.03836  0.01340  0.33309  0.27717 -0.81087 -0.26756 -0.08166 -0.17006 -0.89373 -0.75006
