Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3   QPop1   QPop2   QPop3
   1  3.6739E-02    0.179021    0.137410  0.0205  0.1267  0.0267  0.4780  0.1473  0.3747
   2  1.0874E-03    0.153124    0.153823  0.0241  0.1607  0.0305  0.4900  0.1280  0.3819
   3  1.3451E-04    0.146934    0.158729  0.0252  0.1636  0.0319  0.4946  0.1226  0.3828
   4  5.8336E-05    0.137289    0.161853  0.0254  0.1629  0.0325  0.4988  0.1190  0.3822
   5  3.8557E-05    0.128311    0.161752  0.0251  0.1617  0.0327  0.5028  0.1166  0.3806
   6  2.3374E-05    0.121799    0.161496  0.0247  0.1607  0.0327  0.5059  0.1156  0.3785
   7  1.4437E-05    0.117148    0.160856  0.0244  0.1599  0.0328  0.5081  0.1147  0.3771
   8  6.7167E-06    0.114356    0.160565  0.0242  0.1595  0.0328  0.5093  0.1145  0.3763
   9  5.8497E-06    0.112351    0.160419  0.0240  0.1592  0.0328  0.5097  0.1144  0.3759
  10  6.7743E-07    0.111689    0.160101  0.0239  0.1590  0.0328  0.5102  0.1144  0.3754
  11  2.7497E-07    0.111296    0.159836  0.0238  0.1588  0.0328  0.5105  0.1144  0.3752
  12  6.3635E-07    0.110666    0.159864  0.0237  0.1587  0.0328  0.5108  0.1143  0.3749
  13  6.9802E-07    0.110116    0.159876  0.0236  0.1586  0.0328  0.5110  0.1142  0.3748
  14  1.2016E-06    0.109390    0.160058  0.0236  0.1585  0.0328  0.5112  0.1142  0.3746
  15  1.2541E-07    0.109158    0.159998  0.0235  0.1584  0.0328  0.5113  0.1142  0.3745
  16  8.1850E-08    0.108956    0.159947  0.0235  0.1584  0.0328  0.5115  0.1142  0.3744
  17  6.7543E-08    0.108788    0.159892  0.0235  0.1583  0.0328  0.5116  0.1142  0.3743
  18  2.1267E-07    0.108554    0.159881  0.0234  0.1583  0.0328  0.5116  0.1142  0.3742
  19  8.3141E-08    0.108373    0.159859  0.0234  0.1582  0.0328  0.5117  0.1142  0.3742
  20  5.6673E-08    0.108237    0.159815  0.0234  0.1582  0.0328  0.5117  0.1142  0.3741
  21  4.4837E-08    0.108137    0.159756  0.0233  0.1582  0.0328  0.5118  0.1142  0.3740
  22  7.1312E-07    0.107768    0.159838  0.0233  0.1581  0.0328  0.5120  0.1141  0.3739
  23  1.1846E-07    0.107600    0.159833  0.0233  0.1581  0.0328  0.5121  0.1142  0.3738
  24  3.7438E-07    0.107340    0.159809  0.0233  0.1581  0.0328  0.5123  0.1141  0.3736
  25  1.1063E-07    0.107100    0.159763  0.0233  0.1581  0.0328  0.5123  0.1141  0.3736
  26  3.6393E-08    0.107049    0.159700  0.0232  0.1580  0.0328  0.5124  0.1141  0.3735
  27  6.7452E-07    0.106708    0.159763  0.0232  0.1580  0.0328  0.5126  0.1141  0.3733
  28  1.4325E-07    0.106537    0.159770  0.0232  0.1580  0.0328  0.5127  0.1141  0.3732
  29  6.5743E-08    0.106454    0.159732  0.0232  0.1580  0.0328  0.5127  0.1141  0.3731
  30  4.3661E-08    0.106342    0.159724  0.0232  0.1580  0.0328  0.5128  0.1141  0.3731
  31  3.4721E-08    0.106270    0.159695  0.0232  0.1579  0.0328  0.5128  0.1141  0.3731
  32  2.8136E-08    0.106224    0.159657  0.0232  0.1579  0.0328  0.5129  0.1141  0.3730
