K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   3   1       0   1.0000 36:50:11 -1.66523405135E+05 -1.66523405135E+05 -0.00264 -0.00827  0.00709 -0.18309 -0.16551 -0.14352
3   3   1     100   1.0000 36:50:11 -1.66188620933E+05 -1.66188620933E+05 -0.00264 -0.00827  0.00709 -0.18309 -0.16551 -0.14352
3   3   1     200  25.7426 36:50:11 -1.63965417586E+05 -1.63896267642E+05  0.00709 -0.00827 -0.00264 -0.14352 -0.16551 -0.18309
3   3   1     400  30.3483 36:50:11 -1.61111770669E+05 -1.61111770669E+05  0.00709 -0.00827 -0.00264 -0.14352 -0.16551 -0.18309
3   3   1     800  33.6658 36:50:11 -1.61835038873E+05 -1.60972053347E+05 -0.00264 -0.00827  0.00709 -0.18309 -0.16551 -0.14352
3   3   1    1600  36.5169 36:50:11 -1.62976790775E+05 -1.60761676087E+05 -0.00827 -0.00264  0.00709 -0.16551 -0.18309 -0.14352
3   3   1    3200  44.7533 36:50:11 -1.65128214072E+05 -1.60695018142E+05  0.00196 -0.01372  0.09817 -0.13688 -0.20931 -0.34329
3   3   2    6400  39.5704 36:50:11 -1.62138784869E+05 -1.60042300021E+05  0.03847  0.02461 -0.00799 -0.18756 -0.19881 -0.17713
3   3   3   12800  33.1347 37:50:11 -1.61670169745E+05 -1.60042300021E+05  0.02883  0.01257  0.02194 -0.26602 -0.15210 -0.17708
3   3   6   25600  18.8811 37:50:11 -1.60706165554E+05 -1.58928625367E+05 -0.01153  0.02029  0.27061 -0.13862 -0.25853 -0.75006
3   3   6   28000  15.6639 38:50:11 -1.59615074587E+05 -1.58912581094E+05 -0.00722  0.00753  0.27078 -0.14080 -0.23201 -0.75006
3   3  10   51200   4.4371 39:50:11 -1.58920194247E+05 -1.58912581094E+05 -0.00310  0.01259  0.27102 -0.13227 -0.25692 -0.75006
3   3  13   64000   2.6187 40:50:11 -1.58979295466E+05 -1.58912581094E+05 -0.00537  0.01894  0.27074 -0.13175 -0.26765 -0.75006
3   3  19   96000   1.6739 42:50:11 -1.58920194247E+05 -1.58912581094E+05 -0.00413  0.01644  0.27076 -0.13178 -0.26190 -0.75006
3   3  21  102400   1.6883 42:50:11 -1.58953286448E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3  23  111671   0.9000 43:50:11 -1.58928625367E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3  25  121332   1.5000 43:50:11 -1.58920194247E+05 -1.58912581094E+05 -0.00413  0.01644  0.27076 -0.13178 -0.26190 -0.75006
3   3  25  124000   1.4128 44:50:11 -1.58928625367E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3  26  126174   1.2000 44:50:11 -1.58912581094E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3  27  130934   0.6000 44:50:11 -1.58912581094E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3  28  135739   1.2000 44:50:11 -1.58912581094E+05 -1.58912581094E+05 -0.00413  0.01644  0.27076 -0.13178 -0.26190 -0.75006
3   3  30  145275   0.7000 45:50:11 -1.58912581094E+05 -1.58912581094E+05 -0.00413  0.01644  0.27076 -0.13178 -0.26190 -0.75006
3   3  31  152000   0.9191 46:50:11 -1.58928625367E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3  33  159580   0.3000 46:50:11 -1.58920194247E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3 200  164334   0.0000 46:50:11 -1.58912581094E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
