Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.0747E-03    0.825619    0.053298  0.2506 -0.2149  0.0990  0.0757  0.1506  0.2024  0.0221  0.0230  0.1632  0.1008  0.1196  0.1118  0.1262  0.1655  0.1064  0.1064
   2  7.3783E-03    0.674920    0.261389  0.3708 -0.1636  0.1752  0.1143  0.2493  0.2274  0.0117  0.0132  0.2061  0.1555  0.1180  0.0795  0.1174  0.1942  0.0646  0.0647
   3  4.8823E-03    0.550546    0.272184  0.4359 -0.1302  0.2702  0.1542  0.3847  0.2544 -0.0417 -0.0397  0.2476  0.1583  0.1429  0.0622  0.1216  0.1818  0.0427  0.0429
   4  3.4252E-03    0.422660    0.298610  0.4629 -0.0964  0.3344  0.2686  0.4642  0.2832 -0.1024 -0.1010  0.2621  0.1544  0.1559  0.0626  0.1326  0.1730  0.0297  0.0298
   5  8.4822E-04    0.348955    0.317188  0.4783 -0.0693  0.3742  0.3210  0.4919  0.3076 -0.1282 -0.1330  0.2725  0.1525  0.1579  0.0590  0.1331  0.1821  0.0215  0.0214
   6  2.1083E-04    0.316118    0.319218  0.4842 -0.0582  0.3931  0.3437  0.4991  0.3186 -0.1080 -0.1345  0.2803  0.1523  0.1547  0.0547  0.1303  0.1922  0.0182  0.0174
   7  9.6214E-05    0.299279    0.317388  0.4879 -0.0508  0.4031  0.3559  0.5019  0.3252 -0.0708 -0.1465  0.2856  0.1523  0.1502  0.0524  0.1277  0.1991  0.0173  0.0153
   8  4.9807E-05    0.288936    0.316268  0.4908 -0.0447  0.4089  0.3641  0.5039  0.3301 -0.0478 -0.1521  0.2894  0.1523  0.1461  0.0517  0.1254  0.2036  0.0168  0.0146
   9  3.0872E-05    0.281649    0.316136  0.4931 -0.0397  0.4126  0.3692  0.5056  0.3339 -0.0305 -0.1552  0.2921  0.1523  0.1428  0.0515  0.1238  0.2065  0.0167  0.0144
  10  2.0486E-05    0.275733    0.316416  0.4954 -0.0347  0.4158  0.3726  0.5074  0.3377 -0.0154 -0.1600  0.2945  0.1522  0.1403  0.0513  0.1224  0.2086  0.0165  0.0142
  11  1.3907E-05    0.270885    0.317167  0.4974 -0.0303  0.4184  0.3752  0.5089  0.3409 -0.0010 -0.1631  0.2965  0.1523  0.1385  0.0511  0.1213  0.2099  0.0164  0.0141
  12  1.0229E-05    0.267111    0.317946  0.4992 -0.0264  0.4208  0.3774  0.5104  0.3438  0.0129 -0.1654  0.2983  0.1522  0.1372  0.0510  0.1204  0.2106  0.0162  0.0139
  13  6.6269E-06    0.264071    0.318707  0.5008 -0.0230  0.4229  0.3793  0.5117  0.3464  0.0270 -0.1660  0.2998  0.1522  0.1362  0.0510  0.1196  0.2112  0.0162  0.0138
  14  4.9155E-06    0.261417    0.319370  0.5022 -0.0198  0.4248  0.3810  0.5129  0.3488  0.0402 -0.1653  0.3010  0.1522  0.1356  0.0509  0.1190  0.2116  0.0161  0.0137
  15  4.3372E-06    0.259157    0.319984  0.5036 -0.0167  0.4267  0.3826  0.5141  0.3511  0.0522 -0.1640  0.3023  0.1522  0.1351  0.0508  0.1184  0.2118  0.0160  0.0134
  16  2.9666E-06    0.257354    0.320493  0.5048 -0.0139  0.4283  0.3841  0.5152  0.3533  0.0637 -0.1611  0.3033  0.1521  0.1347  0.0508  0.1180  0.2119  0.0160  0.0133
  17  2.1970E-06    0.255822    0.320921  0.5060 -0.0113  0.4299  0.3855  0.5162  0.3552  0.0741 -0.1575  0.3041  0.1521  0.1345  0.0507  0.1176  0.2119  0.0159  0.0132
  18  1.6141E-06    0.254460    0.321182  0.5073 -0.0086  0.4314  0.3869  0.5173  0.3572  0.0831 -0.1538  0.3049  0.1521  0.1342  0.0506  0.1172  0.2121  0.0158  0.0130
  19  1.1177E-06    0.253383    0.321353  0.5085 -0.0061  0.4329  0.3882  0.5182  0.3591  0.0913 -0.1495  0.3055  0.1520  0.1340  0.0506  0.1169  0.2124  0.0158  0.0129
  20  6.8612E-07    0.252213    0.321354  0.5096 -0.0036  0.4342  0.3894  0.5192  0.3609  0.0984 -0.1452  0.3060  0.1520  0.1338  0.0505  0.1165  0.2127  0.0157  0.0128
