Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.0886E-03    0.825498    0.053554  0.2506 -0.2169  0.0992  0.0760  0.1507  0.2024  0.0225  0.0234  0.1632  0.1010  0.1195  0.1118  0.1262  0.1655  0.1063  0.1064
   2  7.3473E-03    0.675089    0.260741  0.3708 -0.1665  0.1755  0.1148  0.2493  0.2274  0.0121  0.0137  0.2062  0.1554  0.1179  0.0797  0.1174  0.1940  0.0646  0.0648
   3  4.8958E-03    0.550773    0.271126  0.4360 -0.1328  0.2706  0.1558  0.3850  0.2546 -0.0416 -0.0400  0.2477  0.1580  0.1429  0.0624  0.1216  0.1818  0.0427  0.0429
   4  3.4706E-03    0.422037    0.297751  0.4634 -0.0982  0.3352  0.2714  0.4647  0.2839 -0.1040 -0.1027  0.2623  0.1540  0.1559  0.0629  0.1327  0.1732  0.0295  0.0296
   5  8.1312E-04    0.349011    0.316761  0.4790 -0.0707  0.3752  0.3227  0.4926  0.3085 -0.1321 -0.1329  0.2729  0.1523  0.1578  0.0591  0.1332  0.1822  0.0213  0.0213
   6  2.0651E-04    0.316444    0.318600  0.4857 -0.0580  0.3949  0.3461  0.5005  0.3204 -0.1210 -0.1313  0.2808  0.1520  0.1546  0.0549  0.1304  0.1922  0.0177  0.0174
   7  9.2726E-05    0.299718    0.316827  0.4904 -0.0489  0.4058  0.3600  0.5042  0.3282 -0.1001 -0.1345  0.2863  0.1520  0.1501  0.0528  0.1277  0.1991  0.0164  0.0155
   8  5.2764E-05    0.289255    0.315734  0.4943 -0.0409  0.4127  0.3691  0.5070  0.3343 -0.0791 -0.1442  0.2903  0.1521  0.1461  0.0520  0.1255  0.2036  0.0160  0.0145
   9  3.5790E-05    0.281819    0.315430  0.4974 -0.0343  0.4173  0.3747  0.5095  0.3392 -0.0526 -0.1589  0.2932  0.1521  0.1428  0.0517  0.1238  0.2065  0.0162  0.0137
  10  2.0189E-05    0.276042    0.315738  0.5001 -0.0287  0.4208  0.3787  0.5115  0.3433 -0.0368 -0.1629  0.2955  0.1520  0.1403  0.0515  0.1224  0.2086  0.0161  0.0136
  11  1.3812E-05    0.271125    0.316574  0.5023 -0.0238  0.4237  0.3817  0.5133  0.3469 -0.0210 -0.1651  0.2975  0.1521  0.1385  0.0514  0.1213  0.2098  0.0160  0.0134
  12  1.0188E-05    0.267414    0.317331  0.5044 -0.0194  0.4264  0.3842  0.5150  0.3501 -0.0057 -0.1658  0.2993  0.1520  0.1373  0.0512  0.1203  0.2106  0.0158  0.0133
  13  6.5500E-06    0.264363    0.318137  0.5060 -0.0158  0.4286  0.3863  0.5164  0.3528  0.0096 -0.1639  0.3007  0.1520  0.1364  0.0512  0.1196  0.2112  0.0158  0.0132
  14  5.2092E-06    0.261835    0.318676  0.5077 -0.0121  0.4308  0.3882  0.5179  0.3556  0.0240 -0.1615  0.3021  0.1519  0.1357  0.0511  0.1190  0.2116  0.0156  0.0130
  15  3.6936E-06    0.259612    0.319366  0.5092 -0.0089  0.4327  0.3899  0.5192  0.3579  0.0379 -0.1571  0.3032  0.1519  0.1352  0.0511  0.1185  0.2117  0.0156  0.0128
  16  3.7003E-06    0.257550    0.320000  0.5106 -0.0059  0.4345  0.3915  0.5203  0.3602  0.0507 -0.1518  0.3042  0.1520  0.1349  0.0510  0.1180  0.2117  0.0155  0.0127
  17  2.2197E-06    0.255986    0.320330  0.5120 -0.0029  0.4363  0.3931  0.5216  0.3624  0.0620 -0.1464  0.3051  0.1519  0.1347  0.0509  0.1176  0.2119  0.0154  0.0125
  18  1.3945E-06    0.254713    0.320589  0.5133 -0.0001  0.4379  0.3945  0.5227  0.3645  0.0724 -0.1400  0.3058  0.1519  0.1344  0.0509  0.1172  0.2121  0.0153  0.0123
  19  1.3295E-06    0.253586    0.320715  0.5147  0.0028  0.4395  0.3959  0.5238  0.3666  0.0814 -0.1336  0.3066  0.1518  0.1342  0.0508  0.1169  0.2124  0.0152  0.0122
  20  7.1408E-07    0.252508    0.320810  0.5159  0.0055  0.4409  0.3973  0.5248  0.3685  0.0893 -0.1269  0.3072  0.1518  0.1340  0.0507  0.1165  0.2127  0.0151  0.0120
  21  7.2956E-07    0.251712    0.320679  0.5172  0.0082  0.4423  0.3987  0.5259  0.3704  0.0960 -0.1204  0.3078  0.1518  0.1338  0.0506  0.1162  0.2129  0.0150  0.0118
  22  4.7609E-07    0.250850    0.320581  0.5184  0.0107  0.4437  0.4000  0.5269  0.3722  0.1019 -0.1138  0.3084  0.1518  0.1336  0.0506  0.1159  0.2132  0.0149  0.0117
  23  1.4227E-05    0.249906    0.319940  0.5176  0.0094  0.4424  0.3983  0.5256  0.3712  0.0978 -0.0956  0.3089  0.1525  0.1331  0.0503  0.1153  0.2131  0.0146  0.0122
  24  2.4218E-07    0.249419    0.319539  0.5178  0.0100  0.4426  0.3984  0.5256  0.3717  0.1002 -0.0947  0.3094  0.1525  0.1330  0.0503  0.1150  0.2132  0.0146  0.0120
