Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  1.4396E-02    0.732190    0.132990  0.2688 -0.2287  0.1250  0.1146  0.1734  0.2093  0.1936  0.1547  0.1518  0.1436  0.1582  0.1981
   2  5.8661E-03    0.603442    0.262593  0.3635 -0.1851  0.1777  0.1736  0.2580  0.2135  0.2308  0.1773  0.1374  0.1039  0.1367  0.2139
   3  5.4859E-03    0.494053    0.258389  0.4128 -0.1747  0.2384  0.2186  0.3677  0.2242  0.2582  0.1777  0.1513  0.0850  0.1350  0.1928
   4  3.9603E-03    0.379346    0.281248  0.4282 -0.1667  0.2866  0.2756  0.4310  0.2349  0.2710  0.1729  0.1577  0.0801  0.1407  0.1777
   5  6.4883E-04    0.323246    0.297891  0.4334 -0.1611  0.3176  0.2868  0.4496  0.2446  0.2814  0.1721  0.1591  0.0696  0.1388  0.1790
   6  2.1045E-04    0.296213    0.299744  0.4356 -0.1572  0.3354  0.2836  0.4539  0.2514  0.2888  0.1717  0.1565  0.0639  0.1350  0.1841
   7  1.0848E-04    0.280346    0.298247  0.4364 -0.1549  0.3444  0.2804  0.4545  0.2554  0.2935  0.1712  0.1531  0.0616  0.1319  0.1887
   8  6.8224E-05    0.269730    0.296566  0.4363 -0.1540  0.3484  0.2811  0.4541  0.2575  0.2969  0.1707  0.1498  0.0609  0.1295  0.1921
   9  4.3524E-05    0.261892    0.295949  0.4360 -0.1536  0.3502  0.2825  0.4535  0.2587  0.2994  0.1705  0.1472  0.0607  0.1278  0.1944
  10  2.8882E-05    0.255716    0.296122  0.4358 -0.1534  0.3511  0.2836  0.4530  0.2596  0.3014  0.1704  0.1452  0.0606  0.1264  0.1960
  11  1.8833E-05    0.250798    0.296729  0.4355 -0.1532  0.3516  0.2843  0.4527  0.2604  0.3027  0.1704  0.1436  0.0606  0.1254  0.1973
  12  1.2678E-05    0.246877    0.297597  0.4352 -0.1531  0.3518  0.2848  0.4524  0.2612  0.3038  0.1704  0.1424  0.0606  0.1246  0.1982
  13  8.2164E-06    0.243672    0.298524  0.4350 -0.1531  0.3520  0.2851  0.4522  0.2618  0.3045  0.1704  0.1415  0.0606  0.1240  0.1989
  14  5.7199E-06    0.240999    0.299471  0.4348 -0.1531  0.3521  0.2854  0.4520  0.2623  0.3052  0.1705  0.1409  0.0606  0.1235  0.1994
  15  4.0773E-06    0.238828    0.300353  0.4345 -0.1531  0.3522  0.2856  0.4518  0.2627  0.3057  0.1705  0.1404  0.0607  0.1231  0.1997
  16  2.9830E-06    0.237073    0.301111  0.4344 -0.1531  0.3523  0.2858  0.4516  0.2631  0.3061  0.1705  0.1402  0.0607  0.1227  0.1998
  17  1.9389E-06    0.235613    0.301762  0.4342 -0.1531  0.3524  0.2859  0.4515  0.2634  0.3064  0.1705  0.1400  0.0607  0.1225  0.1999
  18  1.4635E-06    0.234325    0.302366  0.4340 -0.1532  0.3524  0.2860  0.4514  0.2637  0.3067  0.1705  0.1398  0.0608  0.1222  0.2000
  19  1.3104E-06    0.233063    0.302999  0.4338 -0.1532  0.3525  0.2861  0.4513  0.2639  0.3069  0.1705  0.1396  0.0608  0.1220  0.2002
  20  9.0641E-07    0.232083    0.303501  0.4337 -0.1532  0.3525  0.2862  0.4512  0.2641  0.3072  0.1705  0.1395  0.0608  0.1218  0.2002
  21  6.4800E-07    0.231404    0.303811  0.4335 -0.1532  0.3525  0.2862  0.4512  0.2643  0.3074  0.1706  0.1395  0.0609  0.1217  0.2000
  22  5.2560E-07    0.230878    0.304028  0.4334 -0.1533  0.3525  0.2863  0.4511  0.2644  0.3075  0.1706  0.1395  0.0609  0.1216  0.1999
  23  4.4400E-07    0.230363    0.304266  0.4333 -0.1533  0.3525  0.2863  0.4510  0.2645  0.3077  0.1706  0.1395  0.0609  0.1215  0.1998
  24  3.1679E-07    0.229994    0.304406  0.4331 -0.1533  0.3525  0.2863  0.4510  0.2646  0.3078  0.1706  0.1395  0.0610  0.1214  0.1997
  25  2.0127E-07    0.229771    0.304473  0.4330 -0.1534  0.3525  0.2864  0.4509  0.2647  0.3079  0.1707  0.1396  0.0610  0.1213  0.1995
  26  1.8116E-07    0.229555    0.304529  0.4329 -0.1534  0.3525  0.2864  0.4509  0.2648  0.3080  0.1707  0.1396  0.0611  0.1212  0.1994
  27  1.7884E-07    0.229267    0.304638  0.4327 -0.1534  0.3525  0.2864  0.4508  0.2648  0.3081  0.1708  0.1396  0.0611  0.1212  0.1992
  28  1.1621E-07    0.229178    0.304609  0.4326 -0.1535  0.3525  0.2864  0.4508  0.2649  0.3082  0.1707  0.1396  0.0611  0.1212  0.1991
  29  1.5846E-07    0.228906    0.304708  0.4325 -0.1535  0.3525  0.2863  0.4507  0.2649  0.3083  0.1708  0.1397  0.0612  0.1211  0.1990
  30  1.4746E-07    0.228659    0.304801  0.4324 -0.1535  0.3524  0.2863  0.4507  0.2650  0.3083  0.1709  0.1397  0.0612  0.1211  0.1989
  31  1.0788E-07    0.228516    0.304837  0.4323 -0.1536  0.3524  0.2863  0.4506  0.2650  0.3084  0.1709  0.1397  0.0612  0.1210  0.1988
  32  9.1567E-08    0.228419    0.304843  0.4322 -0.1536  0.3524  0.2863  0.4506  0.2650  0.3084  0.1709  0.1397  0.0613  0.1210  0.1987
  33  1.1122E-07    0.228252    0.304900  0.4321 -0.1536  0.3523  0.2862  0.4506  0.2650  0.3085  0.1709  0.1397  0.0613  0.1210  0.1987
  34  6.6247E-08    0.228249    0.304852  0.4320 -0.1537  0.3523  0.2862  0.4505  0.2651  0.3085  0.1709  0.1397  0.0614  0.1209  0.1986
  35  1.0433E-07    0.228064    0.304942  0.4319 -0.1537  0.3523  0.2862  0.4505  0.2651  0.3085  0.1709  0.1397  0.0614  0.1209  0.1986
  36  8.2230E-08    0.227970    0.304992  0.4318 -0.1537  0.3522  0.2861  0.4505  0.2651  0.3085  0.1709  0.1397  0.0614  0.1209  0.1985
  37  8.2947E-08    0.227845    0.305077  0.4318 -0.1538  0.3522  0.2860  0.4505  0.2651  0.3085  0.1710  0.1397  0.0614  0.1209  0.1984
  38  7.9361E-08    0.227781    0.305121  0.4317 -0.1538  0.3522  0.2860  0.4505  0.2651  0.3086  0.1710  0.1397  0.0615  0.1209  0.1984
  39  6.9863E-08    0.227743    0.305146  0.4316 -0.1538  0.3522  0.2859  0.4504  0.2651  0.3086  0.1710  0.1397  0.0615  0.1209  0.1983
  40  5.7350E-08    0.227753    0.305143  0.4316 -0.1538  0.3521  0.2858  0.4504  0.2651  0.3086  0.1710  0.1397  0.0615  0.1208  0.1983
  41  9.1848E-08    0.227622    0.305248  0.4315 -0.1538  0.3521  0.2858  0.4504  0.2651  0.3086  0.1711  0.1397  0.0616  0.1208  0.1982
  42  9.2752E-08    0.227467    0.305369  0.4315 -0.1539  0.3521  0.2857  0.4504  0.2651  0.3086  0.1711  0.1397  0.0616  0.1209  0.1982
  43  1.2501E-07    0.227254    0.305527  0.4314 -0.1539  0.3521  0.2857  0.4504  0.2651  0.3086  0.1711  0.1396  0.0616  0.1208  0.1982
  44  9.0012E-08    0.227177    0.305600  0.4314 -0.1539  0.3521  0.2856  0.4504  0.2651  0.3086  0.1711  0.1396  0.0616  0.1208  0.1982
  45  7.5748E-08    0.227118    0.305655  0.4313 -0.1539  0.3521  0.2855  0.4504  0.2651  0.3086  0.1712  0.1397  0.0616  0.1208  0.1981
  46  6.9342E-08    0.227081    0.305702  0.4313 -0.1539  0.3520  0.2855  0.4503  0.2651  0.3086  0.1712  0.1396  0.0617  0.1208  0.1981
  47  5.2844E-08    0.227126    0.305686  0.4313 -0.1540  0.3520  0.2854  0.4503  0.2651  0.3086  0.1712  0.1396  0.0617  0.1208  0.1980
  48  6.6467E-08    0.227127    0.305707  0.4312 -0.1540  0.3520  0.2854  0.4503  0.2651  0.3086  0.1713  0.1396  0.0617  0.1208  0.1980
  49  7.2879E-08    0.227023    0.305801  0.4312 -0.1540  0.3520  0.2853  0.4503  0.2651  0.3086  0.1713  0.1397  0.0617  0.1208  0.1979
  50  6.4545E-08    0.227033    0.305815  0.4311 -0.1540  0.3520  0.2853  0.4503  0.2651  0.3086  0.1713  0.1396  0.0618  0.1208  0.1979
  51  7.7214E-08    0.226907    0.305930  0.4311 -0.1540  0.3520  0.2852  0.4503  0.2651  0.3085  0.1713  0.1396  0.0618  0.1208  0.1979
