Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  9.1212E-03    0.780267    0.074967  0.2867 -0.2008  0.0407  0.0911  0.1617  0.2099  0.0400  0.1846  0.1123  0.1218  0.1255  0.1410  0.1932  0.1216
   2  1.0133E-02    0.584925    0.255875  0.3885 -0.1534  0.0316  0.1393  0.2672  0.2539  0.0303  0.2493  0.1562  0.0672  0.0841  0.1213  0.2550  0.0670
   3  4.0042E-03    0.453621    0.264893  0.4408 -0.1152 -0.0253  0.1882  0.3985  0.2914 -0.0265  0.2797  0.1574  0.0442  0.0667  0.1260  0.2820  0.0440
   4  2.9926E-03    0.338281    0.259712  0.4730 -0.0690 -0.1004  0.2885  0.4792  0.3243 -0.1000  0.2944  0.1534  0.0288  0.0612  0.1364  0.2971  0.0287
   5  6.0158E-04    0.277725    0.267967  0.4877 -0.0457 -0.1189  0.3323  0.5034  0.3400 -0.1098  0.3100  0.1530  0.0194  0.0547  0.1366  0.3068  0.0195
   6  9.9267E-05    0.256266    0.270167  0.4941 -0.0359 -0.1187  0.3520  0.5093  0.3477 -0.0926  0.3224  0.1529  0.0153  0.0506  0.1334  0.3096  0.0157
   7  3.5219E-05    0.249407    0.270559  0.4988 -0.0284 -0.1178  0.3640  0.5118  0.3545 -0.0838  0.3313  0.1530  0.0137  0.0489  0.1302  0.3086  0.0143
   8  2.4031E-05    0.247715    0.271005  0.5022 -0.0228 -0.1184  0.3703  0.5132  0.3606 -0.0767  0.3385  0.1530  0.0132  0.0482  0.1272  0.3061  0.0138
   9  1.8403E-05    0.247478    0.271680  0.5047 -0.0184 -0.1201  0.3740  0.5142  0.3661 -0.0707  0.3444  0.1530  0.0131  0.0479  0.1248  0.3031  0.0137
  10  1.4898E-05    0.247812    0.272211  0.5070 -0.0143 -0.1263  0.3771  0.5153  0.3715 -0.0625  0.3496  0.1529  0.0129  0.0478  0.1230  0.3001  0.0137
  11  1.2721E-05    0.248396    0.272752  0.5091 -0.0105 -0.1338  0.3797  0.5166  0.3769 -0.0535  0.3542  0.1529  0.0127  0.0478  0.1215  0.2972  0.0137
  12  1.0325E-05    0.248988    0.273289  0.5104 -0.0080 -0.1369  0.3814  0.5172  0.3814 -0.0456  0.3582  0.1529  0.0127  0.0478  0.1203  0.2944  0.0137
  13  8.8114E-06    0.249530    0.273773  0.5113 -0.0063 -0.1396  0.3826  0.5176  0.3856 -0.0373  0.3619  0.1529  0.0127  0.0478  0.1193  0.2917  0.0137
  14  7.5126E-06    0.250039    0.274264  0.5120 -0.0049 -0.1418  0.3835  0.5179  0.3895 -0.0288  0.3652  0.1530  0.0127  0.0477  0.1185  0.2892  0.0137
  15  5.8090E-05    0.249334    0.272300  0.5143 -0.0003 -0.1483  0.3842  0.5195  0.3953 -0.0252  0.3696  0.1529  0.0119  0.0470  0.1178  0.2876  0.0130
  16  1.5175E-05    0.249169    0.271865  0.5151  0.0015 -0.1497  0.3852  0.5198  0.3995 -0.0167  0.3732  0.1529  0.0118  0.0468  0.1170  0.2853  0.0129
  17  8.4111E-06    0.249244    0.271913  0.5157  0.0028 -0.1505  0.3860  0.5200  0.4033 -0.0079  0.3764  0.1529  0.0118  0.0467  0.1163  0.2830  0.0129
  18  6.3462E-06    0.249463    0.272088  0.5161  0.0038 -0.1509  0.3867  0.5202  0.4071  0.0008  0.3793  0.1529  0.0117  0.0467  0.1157  0.2807  0.0129
  19  5.2835E-06    0.249648    0.272361  0.5164  0.0046 -0.1510  0.3873  0.5204  0.4107  0.0093  0.3819  0.1530  0.0117  0.0467  0.1152  0.2785  0.0129
  20  4.5773E-06    0.249948    0.272520  0.5166  0.0053 -0.1508  0.3878  0.5206  0.4143  0.0176  0.3844  0.1530  0.0117  0.0467  0.1149  0.2764  0.0129
  21  4.0404E-06    0.250267    0.272629  0.5168  0.0060 -0.1504  0.3883  0.5208  0.4178  0.0256  0.3866  0.1529  0.0117  0.0467  0.1145  0.2745  0.0129
  22  3.5330E-06    0.250318    0.272894  0.5170  0.0066 -0.1497  0.3888  0.5209  0.4212  0.0332  0.3887  0.1530  0.0117  0.0468  0.1142  0.2727  0.0130
  23  3.1806E-06    0.250431    0.273018  0.5172  0.0072 -0.1489  0.3892  0.5211  0.4245  0.0405  0.3907  0.1530  0.0117  0.0468  0.1139  0.2710  0.0130
  24  2.8722E-06    0.250521    0.273121  0.5173  0.0078 -0.1479  0.3897  0.5213  0.4277  0.0475  0.3926  0.1530  0.0117  0.0468  0.1137  0.2693  0.0130
  25  2.5893E-06    0.250613    0.273176  0.5175  0.0084 -0.1468  0.3901  0.5215  0.4308  0.0540  0.3944  0.1530  0.0117  0.0468  0.1134  0.2677  0.0130
  26  2.3324E-06    0.250655    0.273234  0.5176  0.0089 -0.1456  0.3905  0.5217  0.4339  0.0602  0.3960  0.1530  0.0117  0.0468  0.1133  0.2662  0.0130
  27  2.0788E-06    0.250698    0.273253  0.5178  0.0095 -0.1443  0.3909  0.5219  0.4368  0.0660  0.3976  0.1530  0.0117  0.0468  0.1131  0.2648  0.0130
  28  1.8545E-06    0.250677    0.273294  0.5179  0.0101 -0.1430  0.3913  0.5221  0.4396  0.0713  0.3991  0.1530  0.0117  0.0468  0.1129  0.2634  0.0131
  29  1.6348E-06    0.250720    0.273246  0.5180  0.0106 -0.1416  0.3917  0.5223  0.4423  0.0764  0.4005  0.1529  0.0117  0.0468  0.1128  0.2622  0.0131
  30  1.4704E-06    0.250647    0.273265  0.5181  0.0112 -0.1403  0.3921  0.5225  0.4449  0.0811  0.4018  0.1529  0.0117  0.0468  0.1127  0.2610  0.0131
  31  1.2887E-06    0.250648    0.273185  0.5182  0.0117 -0.1390  0.3925  0.5227  0.4473  0.0854  0.4031  0.1529  0.0116  0.0469  0.1126  0.2598  0.0131
  32  1.1345E-06    0.250533    0.273203  0.5183  0.0122 -0.1377  0.3929  0.5229  0.4496  0.0895  0.4042  0.1529  0.0116  0.0469  0.1125  0.2588  0.0131
  33  9.7858E-07    0.250508    0.273115  0.5183  0.0127 -0.1365  0.3932  0.5231  0.4518  0.0932  0.4053  0.1529  0.0116  0.0469  0.1124  0.2578  0.0132
  34  8.7129E-07    0.250388    0.273096  0.5184  0.0132 -0.1353  0.3936  0.5233  0.4538  0.0967  0.4062  0.1529  0.0116  0.0469  0.1123  0.2569  0.0132
  35  7.2619E-07    0.250276    0.273063  0.5185  0.0137 -0.1342  0.3940  0.5235  0.4558  0.1000  0.4072  0.1529  0.0116  0.0469  0.1122  0.2560  0.0132
  36  6.3765E-07    0.250202    0.272986  0.5186  0.0142 -0.1331  0.3943  0.5236  0.4576  0.1030  0.4080  0.1529  0.0116  0.0469  0.1121  0.2553  0.0132
  37  5.3068E-07    0.250078    0.272927  0.5186  0.0146 -0.1321  0.3947  0.5238  0.4592  0.1059  0.4088  0.1529  0.0116  0.0469  0.1120  0.2546  0.0132
  38  4.5152E-07    0.249964    0.272869  0.5187  0.0151 -0.1312  0.3950  0.5240  0.4608  0.1086  0.4095  0.1529  0.0116  0.0469  0.1120  0.2539  0.0133
  39  3.9247E-07    0.249876    0.272788  0.5188  0.0155 -0.1304  0.3953  0.5242  0.4622  0.1111  0.4101  0.1529  0.0115  0.0469  0.1119  0.2533  0.0133
  40  3.3867E-07    0.249758    0.272729  0.5188  0.0160 -0.1296  0.3957  0.5244  0.4636  0.1135  0.4107  0.1529  0.0115  0.0469  0.1118  0.2528  0.0133
  41  2.8980E-07    0.249669    0.272648  0.5189  0.0164 -0.1288  0.3960  0.5245  0.4648  0.1158  0.4113  0.1529  0.0115  0.0470  0.1118  0.2523  0.0133
  42  2.4883E-07    0.249572    0.272573  0.5190  0.0168 -0.1281  0.3963  0.5247  0.4660  0.1180  0.4118  0.1529  0.0115  0.0470  0.1117  0.2518  0.0134
  43  2.0926E-07    0.249495    0.272478  0.5190  0.0172 -0.1275  0.3966  0.5249  0.4671  0.1200  0.4122  0.1529  0.0115  0.0470  0.1117  0.2514  0.0134
  44  1.8296E-07    0.249404    0.272396  0.5191  0.0177 -0.1269  0.3969  0.5250  0.4681  0.1220  0.4126  0.1529  0.0115  0.0470  0.1116  0.2510  0.0134
  45  1.5728E-07    0.249308    0.272319  0.5192  0.0181 -0.1264  0.3972  0.5252  0.4690  0.1240  0.4130  0.1529  0.0114  0.0470  0.1115  0.2507  0.0134
  46  1.3695E-07    0.249231    0.272225  0.5193  0.0185 -0.1259  0.3975  0.5253  0.4699  0.1258  0.4134  0.1529  0.0114  0.0470  0.1115  0.2504  0.0134
  47  1.1855E-07    0.249137    0.272155  0.5194  0.0189 -0.1255  0.3978  0.5255  0.4707  0.1276  0.4137  0.1529  0.0114  0.0470  0.1114  0.2501  0.0135
  48  1.0451E-07    0.249062    0.272065  0.5195  0.0193 -0.1251  0.3981  0.5257  0.4714  0.1294  0.4139  0.1528  0.0114  0.0470  0.1114  0.2499  0.0135
  49  9.0369E-08    0.249000    0.271970  0.5196  0.0197 -0.1248  0.3984  0.5258  0.4722  0.1311  0.4142  0.1528  0.0114  0.0470  0.1114  0.2497  0.0135
