K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   1   1       0   1.0000 30:09:09 -3.02421156851E+05 -3.02421156851E+05 -0.03620  0.03231 -0.16965 -0.14398
2   1   1     100   1.0000 30:09:09 -2.84802808181E+05 -2.84802808181E+05 -0.03620  0.03231 -0.16965 -0.14398
2   1   1     200   3.5000 30:09:09 -2.63060210843E+05 -2.63060210843E+05 -0.03620  0.03231 -0.16965 -0.14398
2   1   1     400   9.7500 30:09:09 -2.69562973802E+05 -2.47203383820E+05  0.03231 -0.03620 -0.14398 -0.16965
2   1   1     800  28.5000 30:09:09 -2.88098013341E+05 -2.47203383820E+05 -0.03620  0.03231 -0.16965 -0.14398
2   1   1    1600  43.5625 30:09:09 -2.81344117034E+05 -2.47203383820E+05 -0.11702  0.14219 -0.18119 -0.16840
2   1   2    3200  31.7852 30:09:09 -2.60983856575E+05 -2.47203383820E+05  0.32696 -0.13354 -0.19861 -0.39044
2   1   3    6400  23.2365 30:09:09 -2.77641008846E+05 -2.47203383820E+05  0.29387 -0.18152 -0.20488 -0.25329
2   1   5   12800  13.6667 30:09:09 -2.61982540870E+05 -2.47203383820E+05  0.34141 -0.12695 -0.19795 -0.42767
2   1   9   25600   0.9756 30:09:09 -2.47203383820E+05 -2.47203383820E+05  0.38367  0.03840 -0.19785 -0.88868
2   1 200   26383   0.0000 31:09:09 -2.47203383820E+05 -2.47203383820E+05  0.03840  0.38367 -0.88868 -0.19785
