Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  1.4349E-02    0.732517    0.132918  0.2667 -0.2290  0.1249  0.1147  0.1734  0.2110  0.1908  0.1548  0.1518  0.1436  0.1582  0.2008
   2  5.8158E-03    0.604856    0.262979  0.3625 -0.1860  0.1780  0.1747  0.2582  0.2142  0.2264  0.1777  0.1380  0.1044  0.1370  0.2165
   3  5.6036E-03    0.495259    0.258719  0.4129 -0.1759  0.2396  0.2197  0.3676  0.2244  0.2536  0.1781  0.1535  0.0852  0.1353  0.1942
   4  3.9219E-03    0.380394    0.282760  0.4286 -0.1679  0.2870  0.2764  0.4307  0.2352  0.2664  0.1733  0.1604  0.0803  0.1408  0.1789
   5  6.1068E-04    0.325421    0.300013  0.4336 -0.1627  0.3172  0.2886  0.4492  0.2449  0.2763  0.1725  0.1617  0.0702  0.1389  0.1803
   6  2.1923E-04    0.298682    0.301154  0.4362 -0.1582  0.3350  0.2836  0.4536  0.2522  0.2840  0.1721  0.1587  0.0639  0.1350  0.1863
   7  1.1177E-04    0.283020    0.299114  0.4372 -0.1556  0.3441  0.2799  0.4541  0.2564  0.2891  0.1716  0.1548  0.0613  0.1318  0.1915
   8  6.9781E-05    0.272369    0.297036  0.4372 -0.1547  0.3481  0.2805  0.4536  0.2584  0.2924  0.1711  0.1512  0.0606  0.1293  0.1954
   9  4.4971E-05    0.264501    0.296088  0.4370 -0.1542  0.3497  0.2820  0.4530  0.2595  0.2949  0.1709  0.1482  0.0603  0.1274  0.1983
  10  3.0497E-05    0.258225    0.295980  0.4368 -0.1539  0.3504  0.2831  0.4525  0.2604  0.2969  0.1708  0.1458  0.0602  0.1259  0.2004
  11  2.1147E-05    0.253162    0.296376  0.4366 -0.1537  0.3507  0.2838  0.4521  0.2610  0.2983  0.1708  0.1440  0.0602  0.1249  0.2019
  12  1.4709E-05    0.249091    0.297094  0.4365 -0.1536  0.3508  0.2844  0.4518  0.2616  0.2995  0.1708  0.1426  0.0601  0.1240  0.2030
  13  9.7258E-06    0.245725    0.297957  0.4363 -0.1535  0.3509  0.2848  0.4516  0.2622  0.3004  0.1708  0.1415  0.0602  0.1233  0.2038
  14  6.2457E-06    0.242916    0.298880  0.4361 -0.1535  0.3509  0.2851  0.4514  0.2627  0.3010  0.1708  0.1406  0.0602  0.1228  0.2046
  15  4.3360E-06    0.240677    0.299729  0.4360 -0.1535  0.3510  0.2854  0.4512  0.2632  0.3014  0.1709  0.1400  0.0602  0.1224  0.2051
  16  3.1216E-06    0.238815    0.300515  0.4358 -0.1535  0.3510  0.2856  0.4511  0.2635  0.3017  0.1709  0.1396  0.0602  0.1221  0.2055
  17  2.3025E-06    0.237228    0.301233  0.4357 -0.1535  0.3510  0.2857  0.4510  0.2638  0.3020  0.1709  0.1392  0.0602  0.1218  0.2058
  18  1.4397E-06    0.235914    0.301839  0.4356 -0.1535  0.3510  0.2858  0.4509  0.2641  0.3022  0.1709  0.1390  0.0603  0.1216  0.2061
  19  1.1874E-06    0.234720    0.302408  0.4355 -0.1536  0.3510  0.2860  0.4508  0.2643  0.3024  0.1709  0.1387  0.0603  0.1214  0.2064
  20  9.4559E-07    0.233573    0.303018  0.4354 -0.1536  0.3510  0.2860  0.4507  0.2645  0.3025  0.1709  0.1384  0.0603  0.1212  0.2066
  21  7.5587E-07    0.232607    0.303522  0.4353 -0.1536  0.3509  0.2861  0.4506  0.2646  0.3026  0.1709  0.1382  0.0604  0.1210  0.2069
  22  4.4629E-07    0.232119    0.303719  0.4352 -0.1537  0.3509  0.2862  0.4506  0.2647  0.3027  0.1709  0.1382  0.0604  0.1209  0.2069
  23  4.2671E-07    0.231518    0.304015  0.4351 -0.1537  0.3509  0.2862  0.4505  0.2648  0.3027  0.1710  0.1381  0.0604  0.1208  0.2069
  24  2.6027E-07    0.231181    0.304164  0.4350 -0.1537  0.3508  0.2863  0.4504  0.2649  0.3028  0.1710  0.1381  0.0605  0.1207  0.2069
  25  1.2751E-07    0.231007    0.304209  0.4349 -0.1538  0.3508  0.2863  0.4504  0.2650  0.3028  0.1710  0.1381  0.0605  0.1207  0.2069
  26  1.1447E-07    0.230809    0.304276  0.4348 -0.1538  0.3507  0.2863  0.4503  0.2650  0.3029  0.1711  0.1381  0.0605  0.1206  0.2068
  27  1.2450E-07    0.230549    0.304383  0.4347 -0.1538  0.3507  0.2864  0.4503  0.2651  0.3029  0.1711  0.1380  0.0606  0.1206  0.2068
  28  1.0204E-07    0.230376    0.304436  0.4346 -0.1539  0.3506  0.2864  0.4503  0.2651  0.3030  0.1711  0.1380  0.0606  0.1205  0.2068
  29  1.1645E-07    0.230148    0.304526  0.4345 -0.1539  0.3506  0.2864  0.4502  0.2651  0.3030  0.1712  0.1380  0.0606  0.1205  0.2067
  30  9.7137E-08    0.230008    0.304559  0.4344 -0.1539  0.3506  0.2864  0.4502  0.2652  0.3030  0.1712  0.1380  0.0607  0.1204  0.2067
  31  1.2670E-07    0.229750    0.304676  0.4343 -0.1540  0.3505  0.2864  0.4502  0.2652  0.3030  0.1713  0.1379  0.0607  0.1204  0.2067
  32  8.7770E-08    0.229648    0.304682  0.4342 -0.1540  0.3505  0.2864  0.4501  0.2652  0.3031  0.1713  0.1379  0.0607  0.1204  0.2066
  33  7.7445E-08    0.229577    0.304660  0.4341 -0.1540  0.3504  0.2864  0.4501  0.2652  0.3031  0.1713  0.1379  0.0608  0.1203  0.2066
  34  7.6459E-08    0.229514    0.304631  0.4340 -0.1540  0.3504  0.2864  0.4501  0.2652  0.3031  0.1712  0.1379  0.0608  0.1203  0.2066
  35  1.1010E-07    0.229313    0.304708  0.4339 -0.1541  0.3503  0.2864  0.4500  0.2652  0.3031  0.1713  0.1379  0.0608  0.1203  0.2066
  36  7.4660E-08    0.229226    0.304746  0.4339 -0.1541  0.3503  0.2863  0.4500  0.2652  0.3031  0.1713  0.1379  0.0608  0.1203  0.2065
  37  7.6203E-08    0.229135    0.304790  0.4338 -0.1541  0.3503  0.2863  0.4500  0.2652  0.3031  0.1713  0.1379  0.0609  0.1202  0.2065
  38  6.7024E-08    0.229086    0.304809  0.4337 -0.1541  0.3502  0.2863  0.4500  0.2652  0.3031  0.1713  0.1379  0.0609  0.1202  0.2065
  39  6.9259E-08    0.229046    0.304827  0.4337 -0.1541  0.3502  0.2862  0.4500  0.2652  0.3032  0.1713  0.1379  0.0609  0.1202  0.2065
  40  7.4408E-08    0.228961    0.304883  0.4336 -0.1542  0.3502  0.2862  0.4499  0.2652  0.3032  0.1714  0.1379  0.0609  0.1202  0.2064
  41  8.5721E-08    0.228851    0.304963  0.4336 -0.1542  0.3502  0.2862  0.4499  0.2652  0.3032  0.1714  0.1379  0.0610  0.1202  0.2064
  42  8.5869E-08    0.228712    0.305063  0.4335 -0.1542  0.3501  0.2861  0.4499  0.2652  0.3031  0.1715  0.1378  0.0610  0.1202  0.2064
  43  6.5857E-08    0.228690    0.305082  0.4335 -0.1542  0.3501  0.2861  0.4499  0.2652  0.3031  0.1715  0.1378  0.0610  0.1202  0.2063
  44  7.4543E-08    0.228625    0.305132  0.4334 -0.1542  0.3501  0.2861  0.4499  0.2652  0.3031  0.1715  0.1378  0.0610  0.1202  0.2063
  45  8.5646E-08    0.228503    0.305225  0.4334 -0.1542  0.3501  0.2861  0.4499  0.2652  0.3031  0.1716  0.1378  0.0610  0.1202  0.2063
  46  5.7704E-08    0.228494    0.305241  0.4333 -0.1543  0.3501  0.2860  0.4499  0.2652  0.3031  0.1716  0.1378  0.0610  0.1202  0.2062
  47  5.3945E-08    0.228523    0.305228  0.4333 -0.1543  0.3501  0.2860  0.4499  0.2651  0.3031  0.1716  0.1378  0.0611  0.1202  0.2062
  48  9.1303E-08    0.228371    0.305346  0.4332 -0.1543  0.3500  0.2860  0.4498  0.2651  0.3031  0.1716  0.1378  0.0611  0.1202  0.2062
  49  9.9924E-08    0.228213    0.305471  0.4332 -0.1543  0.3500  0.2860  0.4498  0.2651  0.3031  0.1717  0.1378  0.0611  0.1201  0.2062
