Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
  38  1.1337E-07    0.237175    0.313178  0.4306 -0.1544  0.3658  0.2925  0.4525  0.2680  0.3145  0.1738  0.1293  0.0646  0.1219  0.1958
  39  9.8899E-08    0.237141    0.313169  0.4305 -0.1544  0.3657  0.2923  0.4525  0.2680  0.3145  0.1738  0.1294  0.0647  0.1219  0.1958
  40  1.2462E-07    0.236974    0.313251  0.4304 -0.1545  0.3657  0.2920  0.4525  0.2680  0.3145  0.1738  0.1294  0.0647  0.1219  0.1957
  41  6.4769E-08    0.237032    0.313211  0.4303 -0.1545  0.3657  0.2918  0.4524  0.2681  0.3145  0.1738  0.1294  0.0648  0.1219  0.1956
  42  1.1953E-07    0.236887    0.313294  0.4303 -0.1545  0.3656  0.2916  0.4524  0.2681  0.3145  0.1738  0.1294  0.0648  0.1219  0.1956
  43  1.2044E-07    0.236706    0.313413  0.4302 -0.1546  0.3656  0.2914  0.4524  0.2681  0.3145  0.1739  0.1294  0.0649  0.1219  0.1955
  44  1.2893E-07    0.236545    0.313514  0.4301 -0.1546  0.3656  0.2912  0.4524  0.2681  0.3144  0.1739  0.1294  0.0649  0.1219  0.1955
  45  9.2019E-08    0.236478    0.313573  0.4301 -0.1546  0.3655  0.2909  0.4524  0.2681  0.3144  0.1739  0.1294  0.0649  0.1219  0.1954
  46  1.2188E-07    0.236320    0.313652  0.4300 -0.1547  0.3655  0.2908  0.4523  0.2681  0.3144  0.1740  0.1294  0.0650  0.1219  0.1954
  47  9.4686E-08    0.236227    0.313724  0.4299 -0.1547  0.3655  0.2906  0.4523  0.2681  0.3143  0.1740  0.1294  0.0650  0.1219  0.1954
  48  7.8632E-08    0.236229    0.313720  0.4299 -0.1548  0.3655  0.2904  0.4523  0.2681  0.3143  0.1740  0.1294  0.0651  0.1219  0.1953
  49  1.0001E-07    0.236122    0.313786  0.4298 -0.1548  0.3654  0.2902  0.4523  0.2680  0.3143  0.1740  0.1294  0.0651  0.1219  0.1953
  50  1.2731E-07    0.235859    0.313974  0.4298 -0.1548  0.3654  0.2900  0.4523  0.2680  0.3142  0.1741  0.1294  0.0652  0.1219  0.1953
  51  7.0288E-08    0.235851    0.313984  0.4297 -0.1549  0.3654  0.2898  0.4523  0.2680  0.3142  0.1741  0.1294  0.0652  0.1219  0.1953
