Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.0770E-03    0.825576    0.052883  0.2546 -0.2162  0.0992  0.0753  0.1504  0.1996  0.0211  0.0229  0.1658  0.1006  0.1196  0.1118  0.1262  0.1631  0.1063  0.1065
   2  7.4221E-03    0.674505    0.261084  0.3722 -0.1676  0.1737  0.1137  0.2476  0.2241  0.0146  0.0178  0.2092  0.1558  0.1180  0.0797  0.1171  0.1894  0.0652  0.0657
   3  4.7240E-03    0.550552    0.272967  0.4340 -0.1366  0.2649  0.1504  0.3815  0.2500 -0.0330 -0.0292  0.2513  0.1586  0.1404  0.0625  0.1211  0.1784  0.0436  0.0440
   4  3.3983E-03    0.424627    0.298040  0.4589 -0.1056  0.3285  0.2607  0.4603  0.2769 -0.0884 -0.0857  0.2656  0.1548  0.1528  0.0629  0.1323  0.1698  0.0308  0.0311
   5  8.6322E-04    0.351033    0.319102  0.4705 -0.0848  0.3660  0.3150  0.4861  0.2969 -0.1087 -0.1116  0.2736  0.1527  0.1555  0.0618  0.1331  0.1764  0.0234  0.0234
   6  1.9259E-04    0.318720    0.323758  0.4749 -0.0761  0.3844  0.3397  0.4929  0.3065 -0.0898 -0.1144  0.2801  0.1525  0.1533  0.0584  0.1308  0.1844  0.0207  0.0198
   7  9.2515E-05    0.302156    0.323655  0.4776 -0.0705  0.3940  0.3549  0.4954  0.3123 -0.0486 -0.1283  0.2848  0.1525  0.1498  0.0565  0.1286  0.1900  0.0202  0.0176
   8  6.1349E-05    0.291747    0.323287  0.4796 -0.0661  0.3995  0.3634  0.4970  0.3166  0.0028 -0.1491  0.2882  0.1524  0.1466  0.0556  0.1267  0.1935  0.0208  0.0161
   9  2.9618E-05    0.284552    0.324079  0.4816 -0.0616  0.4034  0.3698  0.4986  0.3204  0.0288 -0.1503  0.2910  0.1525  0.1440  0.0553  0.1253  0.1956  0.0206  0.0158
  10  2.0047E-05    0.278842    0.325039  0.4842 -0.0561  0.4073  0.3741  0.5007  0.3248  0.0521 -0.1542  0.2935  0.1525  0.1422  0.0551  0.1242  0.1969  0.0203  0.0155
  11  1.3230E-05    0.274559    0.326072  0.4867 -0.0506  0.4109  0.3776  0.5029  0.3290  0.0735 -0.1569  0.2954  0.1523  0.1409  0.0549  0.1233  0.1976  0.0202  0.0153
  12  8.3835E-06    0.271037    0.327148  0.4891 -0.0453  0.4142  0.3806  0.5051  0.3331  0.0926 -0.1577  0.2970  0.1523  0.1400  0.0548  0.1225  0.1982  0.0200  0.0152
  13  5.8704E-06    0.268054    0.328066  0.4915 -0.0402  0.4174  0.3836  0.5072  0.3370  0.1100 -0.1573  0.2982  0.1523  0.1394  0.0547  0.1219  0.1986  0.0199  0.0150
  14  4.7214E-06    0.265792    0.328822  0.4938 -0.0353  0.4203  0.3863  0.5093  0.3408  0.1248 -0.1552  0.2994  0.1523  0.1390  0.0546  0.1213  0.1988  0.0198  0.0148
  15  3.1501E-06    0.263842    0.329424  0.4958 -0.0309  0.4230  0.3887  0.5112  0.3442  0.1373 -0.1512  0.3004  0.1522  0.1387  0.0546  0.1209  0.1988  0.0198  0.0146
  16  2.9616E-06    0.262028    0.329835  0.4978 -0.0267  0.4255  0.3910  0.5129  0.3473  0.1474 -0.1465  0.3013  0.1522  0.1386  0.0545  0.1204  0.1988  0.0197  0.0144
  17  2.6939E-06    0.260590    0.330053  0.4997 -0.0227  0.4278  0.3931  0.5145  0.3503  0.1556 -0.1418  0.3024  0.1521  0.1385  0.0544  0.1200  0.1988  0.0196  0.0141
