Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.0712E-03    0.825619    0.053157  0.2571 -0.2159  0.0989  0.0747  0.1497  0.1961  0.0216  0.0213  0.1677  0.1015  0.1196  0.1117  0.1261  0.1606  0.1064  0.1063
   2  7.5415E-03    0.672667    0.262161  0.3731 -0.1645  0.1738  0.1131  0.2468  0.2224  0.0161  0.0157  0.2132  0.1568  0.1173  0.0799  0.1167  0.1854  0.0654  0.0653
   3  4.6381E-03    0.548345    0.274744  0.4340 -0.1323  0.2640  0.1511  0.3816  0.2498 -0.0327 -0.0331  0.2558  0.1596  0.1387  0.0623  0.1207  0.1762  0.0435  0.0433
   4  3.5110E-03    0.421378    0.297957  0.4591 -0.1000  0.3290  0.2648  0.4615  0.2776 -0.0914 -0.0923  0.2701  0.1557  0.1507  0.0631  0.1320  0.1682  0.0302  0.0300
   5  8.2588E-04    0.347945    0.318842  0.4709 -0.0788  0.3672  0.3167  0.4873  0.2980 -0.1130 -0.1159  0.2784  0.1538  0.1537  0.0611  0.1329  0.1748  0.0228  0.0225
   6  1.9428E-04    0.315407    0.322714  0.4761 -0.0686  0.3868  0.3419  0.4948  0.3087 -0.1060 -0.1136  0.2850  0.1535  0.1517  0.0578  0.1305  0.1827  0.0196  0.0192
   7  8.5078E-05    0.298606    0.322613  0.4798 -0.0608  0.3977  0.3588  0.4982  0.3162 -0.0922 -0.1132  0.2898  0.1535  0.1483  0.0562  0.1282  0.1883  0.0182  0.0174
   8  4.9962E-05    0.288069    0.322452  0.4833 -0.0535  0.4049  0.3708  0.5011  0.3224 -0.0717 -0.1240  0.2935  0.1535  0.1453  0.0556  0.1262  0.1918  0.0179  0.0161
   9  4.1935E-05    0.280357    0.322752  0.4864 -0.0470  0.4101  0.3790  0.5036  0.3276 -0.0345 -0.1493  0.2966  0.1536  0.1430  0.0554  0.1246  0.1937  0.0184  0.0146
  10  4.2732E-05    0.274286    0.322714  0.4886 -0.0422  0.4137  0.3820  0.5054  0.3316  0.0194 -0.1759  0.2989  0.1534  0.1413  0.0551  0.1234  0.1949  0.0198  0.0130
