K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8   6   1       0   1.0000 53:42:10 -4.45485561516E+05 -4.45485561516E+05  0.08194  0.00059 -0.06978 -0.02665  0.13653 -0.02167 -0.09862 -0.00382 -0.20486 -0.10176 -0.10409 -0.09058 -0.14659 -0.16488 -0.13441 -0.10091
8   6   1     100   3.8835 53:42:10 -4.39736628941E+05 -4.39736628941E+05  0.08194  0.00059 -0.06978  0.13653 -0.02167 -0.09862 -0.00382 -0.02665 -0.20486 -0.10176 -0.10409 -0.14659 -0.16488 -0.13441 -0.10091 -0.09058
8   6   1     200  38.4236 53:42:10 -4.05209551663E+05 -4.05209551663E+05  0.13653  0.00059 -0.02167 -0.00382 -0.02665 -0.06978 -0.09862  0.08194 -0.14659 -0.10176 -0.16488 -0.10091 -0.09058 -0.10409 -0.13441 -0.20486
8   6   1     400  41.6873 53:42:10 -3.78594063730E+05 -3.78594063730E+05  0.13653 -0.02167  0.08194 -0.09862 -0.02665 -0.00382  0.00059 -0.06978 -0.14659 -0.16488 -0.20486 -0.13441 -0.09058 -0.10091 -0.10176 -0.10409
8   6   1     800  38.7298 53:42:10 -3.72989213684E+05 -3.71806091372E+05  0.13653 -0.02167  0.00059 -0.09862 -0.06978 -0.00382 -0.02665  0.08194 -0.14659 -0.16488 -0.10176 -0.13441 -0.10409 -0.10091 -0.09058 -0.20486
8   6   1    1600  37.3051 53:42:10 -3.72608598000E+05 -3.71806091372E+05  0.00059 -0.02167 -0.09862 -0.06978  0.13653 -0.02665 -0.00382  0.08194 -0.10176 -0.16488 -0.13441 -0.10409 -0.14659 -0.09058 -0.10091 -0.20486
8   6   1    3200  32.1261 53:42:10 -3.68721493086E+05 -3.68721493086E+05 -0.02167  0.00059 -0.09862 -0.00382 -0.06978  0.08194 -0.02665  0.13653 -0.16488 -0.10176 -0.13441 -0.10091 -0.10409 -0.20486 -0.09058 -0.14659
8   6   1    6400  32.6253 53:42:10 -3.77215388807E+05 -3.67889949103E+05 -0.02167 -0.09862  0.13653 -0.00382 -0.02665  0.08194 -0.06978  0.00059 -0.16488 -0.13441 -0.14659 -0.10091 -0.09058 -0.20486 -0.10409 -0.10176
8   6   1   12800  37.5928 54:42:10 -3.76941921151E+05 -3.67889949103E+05  0.33780  0.32476  1.00000  1.00000 -0.03075  0.32552 -0.03522  0.28766 -0.16414 -0.10560  0.00000  0.00000 -0.93447 -0.17452 -0.85911 -0.10735
8   6   3   32000  35.0263 55:42:10 -3.71587206998E+05 -3.66741099970E+05  0.37212  0.35869  0.00563  1.00000  1.00000 -0.00288  1.00000  0.57052 -0.17612 -0.20420 -0.92341  0.00000  0.00000 -0.88107  0.00000 -0.88116
