Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  1.2182E-02    0.723071    0.090174  0.1991 -0.3038  0.2055  0.1085  0.1406  0.2687  0.1643  0.2124  0.1725  0.1822
   2  1.0711E-02    0.551869    0.225251  0.2623 -0.1902  0.3390  0.2103  0.2444  0.3434  0.1261  0.2417  0.1316  0.1572
   3  3.1519E-03    0.455481    0.245087  0.2784 -0.1765  0.3855  0.2285  0.2930  0.3773  0.1225  0.2537  0.1079  0.1386
   4  2.3058E-03    0.380280    0.257849  0.2812 -0.1771  0.4022  0.2545  0.3649  0.4071  0.1220  0.2490  0.0915  0.1304
   5  1.4390E-03    0.326950    0.258940  0.2805 -0.1786  0.4092  0.3129  0.4167  0.4297  0.1203  0.2410  0.0856  0.1234
   6  6.8401E-04    0.287766    0.252946  0.2819 -0.1737  0.4156  0.3333  0.4405  0.4510  0.1188  0.2368  0.0788  0.1146
   7  4.6224E-04    0.254566    0.243877  0.2865 -0.1617  0.4242  0.3109  0.4505  0.4685  0.1161  0.2400  0.0675  0.1078
   8  2.2972E-04    0.231857    0.232760  0.2898 -0.1515  0.4311  0.2847  0.4535  0.4816  0.1153  0.2470  0.0530  0.1031
   9  1.0724E-04    0.218552    0.224690  0.2925 -0.1445  0.4359  0.2644  0.4538  0.4886  0.1151  0.2543  0.0429  0.0991
  10  4.7138E-05    0.211432    0.220594  0.2948 -0.1400  0.4391  0.2524  0.4531  0.4914  0.1147  0.2604  0.0378  0.0957
  11  2.3736E-05    0.207907    0.218686  0.2961 -0.1382  0.4407  0.2508  0.4517  0.4921  0.1144  0.2653  0.0353  0.0929
  12  1.3714E-05    0.206824    0.217961  0.2973 -0.1372  0.4417  0.2515  0.4504  0.4915  0.1143  0.2694  0.0341  0.0908
  13  9.1466E-06    0.206555    0.217702  0.2984 -0.1364  0.4425  0.2523  0.4494  0.4906  0.1143  0.2728  0.0334  0.0890
  14  6.3481E-06    0.206674    0.217574  0.2995 -0.1357  0.4432  0.2532  0.4486  0.4896  0.1143  0.2756  0.0330  0.0876
  15  4.4671E-06    0.206894    0.217506  0.3004 -0.1351  0.4437  0.2539  0.4480  0.4887  0.1143  0.2780  0.0327  0.0863
  16  3.1407E-06    0.207161    0.217459  0.3013 -0.1346  0.4441  0.2544  0.4475  0.4878  0.1143  0.2801  0.0325  0.0853
  17  2.1722E-06    0.207438    0.217419  0.3020 -0.1342  0.4444  0.2549  0.4472  0.4871  0.1143  0.2817  0.0324  0.0845
  18  1.4682E-06    0.207649    0.217410  0.3026 -0.1338  0.4446  0.2553  0.4469  0.4865  0.1143  0.2831  0.0322  0.0839
  19  9.9423E-07    0.207815    0.217451  0.3032 -0.1336  0.4448  0.2556  0.4466  0.4860  0.1143  0.2842  0.0322  0.0833
  20  6.2485E-07    0.208020    0.217455  0.3036 -0.1334  0.4450  0.2559  0.4465  0.4856  0.1143  0.2851  0.0321  0.0829
  21  4.1479E-07    0.208209    0.217462  0.3039 -0.1332  0.4450  0.2561  0.4464  0.4852  0.1143  0.2858  0.0321  0.0827
  22  2.5877E-07    0.208388    0.217477  0.3042 -0.1331  0.4451  0.2563  0.4463  0.4849  0.1143  0.2863  0.0320  0.0824
  23  1.5872E-07    0.208553    0.217509  0.3044 -0.1330  0.4451  0.2564  0.4462  0.4846  0.1143  0.2868  0.0320  0.0823
  24  1.0700E-07    0.208699    0.217548  0.3045 -0.1329  0.4452  0.2565  0.4461  0.4844  0.1143  0.2871  0.0320  0.0822
  25  8.1760E-08    0.208818    0.217582  0.3047 -0.1328  0.4452  0.2566  0.4461  0.4843  0.1143  0.2874  0.0320  0.0821
  26  6.7165E-08    0.208920    0.217601  0.3048 -0.1328  0.4452  0.2567  0.4460  0.4841  0.1143  0.2877  0.0320  0.0820
  27  5.9741E-08    0.208990    0.217618  0.3049 -0.1327  0.4452  0.2568  0.4460  0.4840  0.1143  0.2879  0.0320  0.0819
  28  6.3650E-08    0.209021    0.217635  0.3050 -0.1327  0.4451  0.2569  0.4459  0.4839  0.1143  0.2881  0.0320  0.0818
  29  5.0034E-08    0.209058    0.217629  0.3050 -0.1326  0.4451  0.2569  0.4459  0.4838  0.1143  0.2883  0.0320  0.0817
  30  4.5198E-08    0.209095    0.217602  0.3051 -0.1326  0.4451  0.2570  0.4458  0.4837  0.1142  0.2885  0.0319  0.0816
  31  4.3756E-08    0.209120    0.217569  0.3051 -0.1326  0.4451  0.2570  0.4458  0.4836  0.1142  0.2886  0.0319  0.0816
  32  5.1363E-08    0.209107    0.217558  0.3052 -0.1326  0.4451  0.2571  0.4457  0.4836  0.1142  0.2888  0.0319  0.0815
  33  4.0928E-08    0.209117    0.217515  0.3052 -0.1325  0.4451  0.2571  0.4457  0.4835  0.1142  0.2889  0.0319  0.0814
  34  4.9660E-08    0.209099    0.217495  0.3052 -0.1325  0.4450  0.2571  0.4456  0.4835  0.1142  0.2890  0.0319  0.0813
  35  5.1829E-08    0.209046    0.217500  0.3053 -0.1325  0.4450  0.2571  0.4456  0.4835  0.1142  0.2891  0.0319  0.0813
  36  3.9217E-08    0.209044    0.217451  0.3053 -0.1325  0.4450  0.2572  0.4456  0.4834  0.1142  0.2892  0.0319  0.0812
  37  3.8258E-08    0.209031    0.217407  0.3053 -0.1324  0.4450  0.2572  0.4455  0.4834  0.1142  0.2893  0.0319  0.0811
  38  4.5104E-08    0.209001    0.217377  0.3053 -0.1324  0.4450  0.2572  0.4455  0.4834  0.1142  0.2894  0.0319  0.0811
  39  4.6867E-08    0.208950    0.217363  0.3053 -0.1324  0.4449  0.2572  0.4454  0.4834  0.1142  0.2895  0.0319  0.0810
  40  4.1989E-08    0.208923    0.217323  0.3054 -0.1324  0.4449  0.2572  0.4454  0.4834  0.1142  0.2896  0.0319  0.0809
