Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  1.2046E-02    0.745484    0.107518  0.1975 -0.3073  0.2389  0.1069  0.1356  0.1381  0.2183  0.1377  0.2005  0.1414  0.1501  0.1520
   2  7.7162E-03    0.585949    0.234608  0.2547 -0.2067  0.3422  0.1774  0.1968  0.2021  0.2724  0.1236  0.2474  0.1050  0.1235  0.1282
   3  3.0339E-03    0.481654    0.255256  0.2785 -0.1924  0.3742  0.2025  0.2338  0.2541  0.2961  0.1219  0.2720  0.0853  0.1073  0.1175
   4  2.9947E-03    0.388284    0.255516  0.2886 -0.1866  0.3817  0.2486  0.2980  0.3141  0.3031  0.1208  0.2786  0.0734  0.1065  0.1175
   5  1.6630E-03    0.312945    0.260307  0.2962 -0.1764  0.3873  0.2851  0.3342  0.3452  0.3072  0.1175  0.2867  0.0694  0.1046  0.1145
   6  4.0239E-04    0.266907    0.264376  0.3001 -0.1684  0.3908  0.2914  0.3476  0.3570  0.3147  0.1159  0.2988  0.0577  0.1019  0.1110
   7  1.4521E-04    0.241579    0.261947  0.3030 -0.1625  0.3932  0.2783  0.3515  0.3615  0.3199  0.1156  0.3103  0.0486  0.0984  0.1072
   8  7.1401E-05    0.226179    0.258803  0.3055 -0.1584  0.3948  0.2636  0.3521  0.3633  0.3228  0.1152  0.3197  0.0435  0.0951  0.1038
   9  4.0231E-05    0.216301    0.255782  0.3072 -0.1567  0.3952  0.2577  0.3511  0.3636  0.3243  0.1148  0.3269  0.0409  0.0922  0.1010
  10  1.9998E-05    0.210383    0.253456  0.3083 -0.1560  0.3952  0.2567  0.3497  0.3633  0.3250  0.1147  0.3323  0.0396  0.0898  0.0987
  11  1.1598E-05    0.206677    0.251524  0.3093 -0.1556  0.3951  0.2564  0.3485  0.3630  0.3253  0.1146  0.3365  0.0388  0.0878  0.0969
  12  7.0934E-06    0.204289    0.249758  0.3101 -0.1553  0.3949  0.2563  0.3475  0.3628  0.3254  0.1146  0.3398  0.0384  0.0862  0.0955
  13  4.3847E-06    0.202546    0.248291  0.3108 -0.1551  0.3948  0.2563  0.3468  0.3626  0.3255  0.1147  0.3423  0.0382  0.0848  0.0944
  14  2.8053E-06    0.201283    0.246983  0.3113 -0.1550  0.3947  0.2563  0.3462  0.3625  0.3257  0.1146  0.3442  0.0381  0.0838  0.0935
  15  1.7973E-06    0.200340    0.245814  0.3117 -0.1549  0.3947  0.2563  0.3457  0.3624  0.3259  0.1146  0.3457  0.0381  0.0829  0.0929
  16  1.1489E-06    0.199652    0.244816  0.3120 -0.1548  0.3946  0.2563  0.3453  0.3623  0.3260  0.1146  0.3467  0.0380  0.0822  0.0923
  17  7.4545E-07    0.199132    0.244015  0.3122 -0.1548  0.3946  0.2562  0.3449  0.3622  0.3262  0.1146  0.3475  0.0380  0.0816  0.0920
