Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  6.9336E-03    0.797161    0.068050  0.1872 -0.3116  0.2150  0.0878  0.1286  0.1217  0.1189  0.1984  0.1112  0.1675  0.1234  0.1333  0.1340  0.1323
   2  7.1803E-03    0.644731    0.249060  0.2388 -0.2328  0.3217  0.1501  0.1955  0.1725  0.1690  0.2521  0.1239  0.1983  0.0917  0.1117  0.1131  0.1092
   3  2.7431E-03    0.543709    0.277142  0.2631 -0.2209  0.3682  0.1525  0.2546  0.2099  0.1913  0.2909  0.1209  0.2189  0.0732  0.1005  0.1017  0.0938
   4  3.3322E-03    0.441679    0.282356  0.2724 -0.2144  0.3846  0.1346  0.3544  0.2824  0.2535  0.3117  0.1204  0.2207  0.0563  0.0989  0.1048  0.0871
   5  2.2639E-03    0.352881    0.285558  0.2706 -0.2162  0.3882  0.2256  0.4042  0.3160  0.3039  0.3182  0.1210  0.2186  0.0517  0.0981  0.1037  0.0887
   6  1.0686E-03    0.296999    0.284390  0.2707 -0.2143  0.3915  0.3059  0.4175  0.3271  0.3194  0.3222  0.1195  0.2202  0.0555  0.0937  0.1007  0.0883
   7  3.5263E-04    0.262068    0.281561  0.2766 -0.2024  0.3986  0.2804  0.4243  0.3360  0.3270  0.3279  0.1169  0.2255  0.0529  0.0903  0.0988  0.0876
   8  1.3928E-04    0.239253    0.277525  0.2807 -0.1937  0.4037  0.2529  0.4269  0.3405  0.3295  0.3333  0.1154  0.2348  0.0445  0.0883  0.0970  0.0867
   9  6.1847E-05    0.226475    0.272983  0.2838 -0.1884  0.4068  0.2366  0.4275  0.3426  0.3301  0.3363  0.1151  0.2434  0.0383  0.0865  0.0951  0.0853
  10  3.1147E-05    0.219138    0.269079  0.2866 -0.1847  0.4088  0.2253  0.4276  0.3440  0.3303  0.3377  0.1148  0.2501  0.0352  0.0850  0.0934  0.0838
  11  1.8472E-05    0.214108    0.265660  0.2884 -0.1832  0.4095  0.2232  0.4268  0.3442  0.3297  0.3384  0.1144  0.2552  0.0340  0.0836  0.0919  0.0824
  12  9.4502E-06    0.211263    0.263015  0.2898 -0.1825  0.4098  0.2240  0.4260  0.3441  0.3289  0.3386  0.1143  0.2592  0.0334  0.0826  0.0907  0.0812
  13  5.8913E-06    0.209484    0.260828  0.2909 -0.1819  0.4100  0.2247  0.4253  0.3440  0.3283  0.3388  0.1142  0.2624  0.0330  0.0817  0.0898  0.0801
  14  3.8680E-06    0.208203    0.258894  0.2919 -0.1814  0.4101  0.2252  0.4247  0.3440  0.3278  0.3389  0.1142  0.2649  0.0327  0.0809  0.0891  0.0793
  15  2.6280E-06    0.207220    0.257159  0.2928 -0.1810  0.4102  0.2257  0.4243  0.3440  0.3274  0.3390  0.1142  0.2669  0.0326  0.0803  0.0885  0.0785
  16  1.8195E-06    0.206429    0.255629  0.2935 -0.1807  0.4103  0.2260  0.4239  0.3440  0.3271  0.3392  0.1142  0.2685  0.0324  0.0798  0.0880  0.0779
  17  1.2939E-06    0.205696    0.254269  0.2940 -0.1804  0.4104  0.2263  0.4235  0.3440  0.3268  0.3394  0.1142  0.2699  0.0323  0.0793  0.0876  0.0773
  18  1.0226E-06    0.205166    0.253043  0.2945 -0.1801  0.4104  0.2265  0.4233  0.3440  0.3265  0.3396  0.1142  0.2711  0.0323  0.0789  0.0873  0.0768
  19  7.1082E-07    0.204739    0.252021  0.2948 -0.1800  0.4105  0.2267  0.4230  0.3440  0.3263  0.3397  0.1142  0.2720  0.0322  0.0785  0.0870  0.0764
  20  4.3221E-07    0.204389    0.251216  0.2951 -0.1798  0.4105  0.2269  0.4228  0.3440  0.3261  0.3399  0.1142  0.2728  0.0321  0.0783  0.0868  0.0760
  21  2.7352E-07    0.204095    0.250629  0.2953 -0.1797  0.4105  0.2270  0.4227  0.3440  0.3260  0.3399  0.1142  0.2733  0.0321  0.0781  0.0866  0.0758
  22  1.8778E-07    0.203902    0.250153  0.2955 -0.1796  0.4105  0.2271  0.4226  0.3440  0.3259  0.3400  0.1142  0.2738  0.0321  0.0779  0.0865  0.0756
  23  1.0333E-07    0.203758    0.249838  0.2956 -0.1795  0.4104  0.2272  0.4225  0.3440  0.3258  0.3401  0.1142  0.2741  0.0320  0.0778  0.0864  0.0754
  24  7.9760E-08    0.203631    0.249580  0.2957 -0.1794  0.4104  0.2273  0.4225  0.3440  0.3258  0.3401  0.1142  0.2744  0.0320  0.0777  0.0863  0.0753
  25  7.2590E-08    0.203476    0.249360  0.2958 -0.1794  0.4104  0.2274  0.4224  0.3440  0.3257  0.3402  0.1142  0.2746  0.0320  0.0777  0.0862  0.0752
  26  6.6951E-08    0.203340    0.249121  0.2959 -0.1793  0.4104  0.2274  0.4223  0.3440  0.3256  0.3402  0.1142  0.2748  0.0320  0.0776  0.0862  0.0751
  27  6.7846E-08    0.203141    0.248911  0.2959 -0.1793  0.4103  0.2275  0.4223  0.3439  0.3256  0.3403  0.1142  0.2750  0.0320  0.0775  0.0861  0.0750
  28  6.2721E-08    0.202975    0.248687  0.2959 -0.1793  0.4103  0.2275  0.4222  0.3439  0.3255  0.3404  0.1142  0.2751  0.0320  0.0774  0.0860  0.0749
  29  6.1649E-08    0.202789    0.248494  0.2960 -0.1792  0.4103  0.2275  0.4221  0.3439  0.3255  0.3405  0.1142  0.2753  0.0319  0.0774  0.0860  0.0748
  30  6.6239E-08    0.202598    0.248298  0.2960 -0.1792  0.4102  0.2276  0.4221  0.3439  0.3254  0.3406  0.1142  0.2754  0.0319  0.0773  0.0859  0.0747
  31  6.1945E-08    0.202417    0.248114  0.2960 -0.1792  0.4102  0.2276  0.4220  0.3439  0.3254  0.3406  0.1142  0.2755  0.0319  0.0772  0.0859  0.0746
  32  5.4672E-08    0.202268    0.247904  0.2960 -0.1791  0.4102  0.2276  0.4220  0.3439  0.3253  0.3407  0.1142  0.2757  0.0319  0.0772  0.0858  0.0745
  33  5.6221E-08    0.202101    0.247719  0.2961 -0.1791  0.4102  0.2276  0.4219  0.3439  0.3253  0.3408  0.1142  0.2758  0.0319  0.0771  0.0858  0.0744
  34  5.9737E-08    0.201946    0.247521  0.2961 -0.1791  0.4101  0.2277  0.4219  0.3438  0.3252  0.3409  0.1142  0.2759  0.0319  0.0770  0.0857  0.0744
  35  5.9208E-08    0.201791    0.247331  0.2961 -0.1791  0.4101  0.2277  0.4218  0.3438  0.3252  0.3410  0.1142  0.2760  0.0319  0.0770  0.0857  0.0743
  36  6.5156E-08    0.201571    0.247210  0.2961 -0.1790  0.4101  0.2277  0.4218  0.3438  0.3251  0.3411  0.1142  0.2761  0.0319  0.0769  0.0857  0.0742
  37  6.6293E-08    0.201347    0.247091  0.2961 -0.1790  0.4101  0.2277  0.4217  0.3438  0.3251  0.3412  0.1142  0.2762  0.0318  0.0769  0.0856  0.0741
  38  5.6963E-08    0.201221    0.246906  0.2961 -0.1790  0.4101  0.2277  0.4217  0.3438  0.3250  0.3412  0.1142  0.2763  0.0318  0.0768  0.0856  0.0741
  39  6.0069E-08    0.201058    0.246757  0.2961 -0.1790  0.4100  0.2277  0.4217  0.3438  0.3250  0.3413  0.1142  0.2764  0.0318  0.0768  0.0855  0.0740
  40  5.4873E-08    0.200934    0.246584  0.2961 -0.1790  0.4100  0.2277  0.4216  0.3437  0.3249  0.3414  0.1142  0.2765  0.0318  0.0767  0.0855  0.0739
  41  6.5564E-08    0.200732    0.246481  0.2961 -0.1790  0.4100  0.2277  0.4216  0.3437  0.3249  0.3415  0.1142  0.2766  0.0318  0.0766  0.0855  0.0739
  42  5.0341E-08    0.200657    0.246287  0.2961 -0.1789  0.4100  0.2278  0.4216  0.3437  0.3249  0.3415  0.1142  0.2766  0.0318  0.0766  0.0854  0.0738
  43  5.5211E-08    0.200532    0.246131  0.2961 -0.1789  0.4100  0.2278  0.4215  0.3437  0.3248  0.3416  0.1142  0.2767  0.0318  0.0766  0.0854  0.0737
  44  7.7805E-08    0.200290    0.246074  0.2961 -0.1789  0.4099  0.2278  0.4215  0.3437  0.3248  0.3417  0.1142  0.2768  0.0318  0.0765  0.0854  0.0737
  45  5.3660E-08    0.200174    0.245931  0.2961 -0.1789  0.4099  0.2278  0.4215  0.3437  0.3248  0.3417  0.1142  0.2769  0.0318  0.0765  0.0853  0.0736
  46  4.7704E-08    0.200122    0.245743  0.2961 -0.1789  0.4099  0.2278  0.4214  0.3437  0.3247  0.3418  0.1142  0.2769  0.0318  0.0764  0.0853  0.0736
  47  5.7315E-08    0.199981    0.245632  0.2961 -0.1789  0.4099  0.2278  0.4214  0.3436  0.3247  0.3419  0.1142  0.2770  0.0318  0.0764  0.0853  0.0735
