Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  6.2066E-03    0.816055    0.093439  0.1645 -0.3181  0.2013  0.0830  0.1245  0.1168  0.1138  0.1486  0.1508  0.1104  0.1417  0.1075  0.1170  0.1178  0.1160  0.1388
   2  4.8410E-03    0.692166    0.255371  0.2331 -0.2476  0.3147  0.1292  0.1852  0.1569  0.1512  0.1685  0.1921  0.1239  0.1682  0.0823  0.1023  0.1028  0.0987  0.1298
   3  2.8792E-03    0.592436    0.284543  0.2645 -0.2368  0.3677  0.1277  0.2560  0.2012  0.1746  0.1674  0.2310  0.1244  0.1935  0.0665  0.0950  0.0945  0.0854  0.1098
   4  3.1739E-03    0.485623    0.301136  0.2733 -0.2316  0.3837  0.1147  0.3540  0.2775  0.2426  0.1682  0.2472  0.1243  0.1969  0.0528  0.0978  0.1028  0.0825  0.0956
   5  1.6459E-03    0.398125    0.319709  0.2747 -0.2273  0.3885  0.1196  0.4037  0.3151  0.2989  0.1828  0.2505  0.1244  0.1950  0.0442  0.0995  0.1062  0.0896  0.0907
   6  7.9447E-04    0.347149    0.327207  0.2709 -0.2307  0.3887  0.2070  0.4172  0.3242  0.3137  0.1937  0.2476  0.1246  0.1970  0.0458  0.0973  0.1046  0.0915  0.0917
   7  7.6522E-04    0.312662    0.321810  0.2676 -0.2340  0.3866  0.3009  0.4182  0.3250  0.3149  0.1997  0.2447  0.1244  0.1965  0.0541  0.0935  0.1017  0.0903  0.0948
   8  2.8988E-04    0.287449    0.317047  0.2696 -0.2292  0.3880  0.2976  0.4207  0.3288  0.3177  0.2080  0.2440  0.1228  0.1958  0.0568  0.0907  0.1003  0.0894  0.1002
   9  1.6002E-04    0.267438    0.315720  0.2722 -0.2232  0.3905  0.2719  0.4233  0.3323  0.3207  0.2137  0.2434  0.1202  0.1981  0.0562  0.0892  0.0993  0.0888  0.1049
  10  5.1692E-05    0.256168    0.313087  0.2729 -0.2205  0.3913  0.2616  0.4238  0.3334  0.3214  0.2155  0.2427  0.1199  0.2017  0.0522  0.0882  0.0984  0.0881  0.1088
