Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2   QPop1   QPop2
   1  3.0668E-02    0.415389    0.111983  0.1991 -0.1469  0.5784  0.4216
   2  9.9263E-02    0.029862    0.093447  0.3666 -0.0220  0.8621  0.1379
   3  2.1549E-03    0.016291    0.069478  0.3783  0.0005  0.8752  0.1248
   4  6.9403E-05    0.014433    0.061217  0.3794  0.0055  0.8769  0.1231
   5  1.7550E-06    0.014228    0.060054  0.3795  0.0061  0.8771  0.1229
   6  6.3449E-08    0.014150    0.059887  0.3796  0.0062  0.8771  0.1229
   7  1.5864E-07    0.014093    0.059483  0.3797  0.0063  0.8772  0.1228
   8  3.2153E-08    0.014052    0.059449  0.3797  0.0063  0.8772  0.1228
   9  2.5987E-08    0.014045    0.059430  0.3797  0.0064  0.8772  0.1228
