K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   4   1       0   1.0000 11:18:10 -4.27629818509E+05 -4.27629818509E+05  0.00964 -0.01221 -0.13242 -0.12473
2   4   1     100   1.0000 11:18:10 -4.27594575960E+05 -4.27594575960E+05  0.00964 -0.01221 -0.13242 -0.12473
2   4   1     200  26.5000 11:18:10 -3.99077898812E+05 -3.99077898812E+05  0.00964 -0.01221 -0.13242 -0.12473
2   4   1     400  15.7500 11:18:10 -3.68702177306E+05 -3.68702177306E+05  0.00964 -0.01221 -0.13242 -0.12473
2   4   1     800   8.0000 11:18:10 -3.62334060158E+05 -3.62334060158E+05  0.00964 -0.01221 -0.13242 -0.12473
2   4   1    1600   5.1875 11:18:10 -3.72851434950E+05 -3.62334060158E+05  0.35703 -0.02630 -0.15318 -0.66889
2   4   1    3200  30.1250 11:18:10 -4.12050536096E+05 -3.62334060158E+05 -0.14185  0.17187 -0.15934 -0.13333
2   4   3    6400  44.1209 11:18:10 -4.08887004701E+05 -3.62334060158E+05 -0.03246  0.35347 -0.65674 -0.15076
2   4   6   12800  11.8615 11:18:10 -3.69173826014E+05 -3.62334060158E+05  0.34831 -0.05641 -0.15965 -0.55946
2   4   9   25600  12.1951 11:18:10 -3.74750041739E+05 -3.62334060158E+05  0.36912  0.04111 -0.14901 -0.88936
2   4 200   31590   0.0000 12:18:10 -3.62334060158E+05 -3.62334060158E+05  0.36912  0.04111 -0.14901 -0.88936
