Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  3.5366E-03    0.849848    0.052333  0.1542 -0.3129  0.1945  0.0625  0.1121  0.1638  0.0751  0.0378  0.1051  0.1320  0.0887  0.1288  0.0976  0.1070  0.1426  0.1005  0.0950  0.1078
   2  5.4257E-03    0.722428    0.250522  0.2323 -0.2467  0.3174  0.1059  0.1771  0.1850  0.1087  0.0692  0.1510  0.1683  0.1175  0.1582  0.0735  0.0945  0.1449  0.0800  0.0675  0.0956
   3  2.7185E-03    0.623384    0.286306  0.2738 -0.2304  0.3753  0.1037  0.2570  0.2017  0.1010  0.0575  0.2069  0.2048  0.1184  0.1886  0.0589  0.0897  0.1301  0.0656  0.0536  0.0903
   4  2.5378E-03    0.521257    0.311086  0.2908 -0.2191  0.3930  0.0941  0.3615  0.2321  0.0874  0.0418  0.2872  0.2190  0.1185  0.1946  0.0472  0.0963  0.1264  0.0549  0.0438  0.0993
   5  1.1431E-03    0.443357    0.338267  0.2985 -0.2109  0.3983  0.0983  0.4134  0.2621  0.0868  0.0420  0.3270  0.2214  0.1186  0.1925  0.0399  0.1007  0.1326  0.0487  0.0384  0.1071
   6  5.0348E-04    0.399446    0.354565  0.3018 -0.2085  0.4003  0.1715  0.4313  0.2802  0.0865  0.0418  0.3399  0.2200  0.1187  0.1947  0.0403  0.1001  0.1381  0.0449  0.0354  0.1077
   7  5.9286E-04    0.371620    0.357922  0.3073 -0.2043  0.4018  0.2697  0.4379  0.2939  0.0983  0.0275  0.3460  0.2187  0.1183  0.1956  0.0487  0.0978  0.1401  0.0426  0.0321  0.1062
   8  5.4879E-04    0.348228    0.358848  0.3155 -0.1988  0.4038  0.2723  0.4413  0.3056  0.1582  0.0393  0.3505  0.2200  0.1144  0.1950  0.0544  0.0951  0.1403  0.0456  0.0300  0.1053
   9  1.4176E-04    0.336065    0.361645  0.3204 -0.1958  0.4047  0.2728  0.4431  0.3128  0.2103  0.0415  0.3522  0.2189  0.1129  0.1971  0.0549  0.0941  0.1398  0.0495  0.0285  0.1043
  10  1.1175E-04    0.329116    0.360831  0.3239 -0.1932  0.4058  0.2741  0.4442  0.3186  0.2513  0.0365  0.3535  0.2174  0.1123  0.1994  0.0543  0.0935  0.1394  0.0536  0.0265  0.1035
  11  6.8610E-05    0.323925    0.360322  0.3261 -0.1909  0.4070  0.2759  0.4450  0.3237  0.2750  0.0412  0.3545  0.2167  0.1120  0.2016  0.0537  0.0931  0.1389  0.0559  0.0252  0.1028
  12  3.3170E-05    0.320065    0.360703  0.3273 -0.1892  0.4079  0.2766  0.4454  0.3281  0.2904  0.0537  0.3553  0.2165  0.1119  0.2033  0.0533  0.0927  0.1383  0.0573  0.0244  0.1023
  13  1.0865E-05    0.317586    0.360956  0.3281 -0.1876  0.4087  0.2766  0.4456  0.3320  0.3008  0.0685  0.3559  0.2166  0.1117  0.2041  0.0529  0.0923  0.1385  0.0579  0.0241  0.1018
  14  5.5617E-06    0.315824    0.360927  0.3287 -0.1860  0.4095  0.2763  0.4457  0.3352  0.3082  0.0825  0.3565  0.2169  0.1115  0.2046  0.0525  0.0920  0.1389  0.0582  0.0240  0.1015
  15  2.1822E-06    0.314511    0.360416  0.3293 -0.1845  0.4102  0.2759  0.4459  0.3378  0.3136  0.0949  0.3571  0.2175  0.1114  0.2050  0.0522  0.0916  0.1394  0.0581  0.0238  0.1011
  16  7.9854E-07    0.313621    0.359729  0.3300 -0.1828  0.4111  0.2757  0.4461  0.3400  0.3178  0.1030  0.3578  0.2182  0.1113  0.2054  0.0519  0.0912  0.1399  0.0578  0.0235  0.1008
  17  5.0755E-07    0.312487    0.358663  0.3309 -0.1808  0.4121  0.2756  0.4464  0.3418  0.3211  0.1076  0.3585  0.2191  0.1111  0.2057  0.0515  0.0908  0.1406  0.0576  0.0230  0.1004
  18  2.9117E-07    0.311252    0.357386  0.3317 -0.1789  0.4130  0.2755  0.4466  0.3433  0.3235  0.1110  0.3591  0.2202  0.1110  0.2058  0.0511  0.0904  0.1416  0.0573  0.0226  0.1000
  19  2.5660E-07    0.310035    0.356186  0.3325 -0.1769  0.4139  0.2754  0.4468  0.3444  0.3254  0.1129  0.3597  0.2212  0.1109  0.2060  0.0507  0.0899  0.1426  0.0570  0.0222  0.0996
  20  2.4051E-07    0.308744    0.354919  0.3332 -0.1750  0.4148  0.2753  0.4470  0.3451  0.3268  0.1137  0.3602  0.2222  0.1108  0.2061  0.0503  0.0894  0.1436  0.0567  0.0217  0.0991
  21  2.4923E-07    0.307306    0.353454  0.3340 -0.1731  0.4157  0.2752  0.4471  0.3457  0.3278  0.1130  0.3608  0.2233  0.1107  0.2062  0.0498  0.0889  0.1448  0.0563  0.0213  0.0987
  22  2.3275E-07    0.305923    0.351978  0.3346 -0.1713  0.4165  0.2751  0.4472  0.3460  0.3286  0.1123  0.3612  0.2244  0.1105  0.2063  0.0494  0.0884  0.1460  0.0559  0.0208  0.0982
  23  2.8001E-07    0.304673    0.350628  0.3354 -0.1694  0.4173  0.2749  0.4474  0.3462  0.3292  0.1101  0.3618  0.2254  0.1104  0.2064  0.0490  0.0880  0.1471  0.0555  0.0204  0.0978
  24  2.4642E-07    0.303360    0.349041  0.3361 -0.1676  0.4182  0.2749  0.4475  0.3464  0.3297  0.1069  0.3622  0.2265  0.1103  0.2065  0.0486  0.0875  0.1484  0.0551  0.0199  0.0973
  25  3.4130E-07    0.301848    0.347382  0.3368 -0.1657  0.4190  0.2748  0.4477  0.3466  0.3299  0.1029  0.3627  0.2276  0.1101  0.2066  0.0481  0.0870  0.1497  0.0547  0.0195  0.0968
  26  6.0499E-07    0.300455    0.346121  0.3374 -0.1641  0.4197  0.2746  0.4477  0.3465  0.3301  0.1005  0.3630  0.2285  0.1100  0.2067  0.0477  0.0865  0.1508  0.0542  0.0191  0.0964
  27  2.9604E-07    0.299078    0.344542  0.3381 -0.1625  0.4204  0.2746  0.4477  0.3464  0.3303  0.0969  0.3634  0.2296  0.1100  0.2067  0.0473  0.0860  0.1521  0.0538  0.0187  0.0959
  28  3.5468E-07    0.297739    0.342821  0.3388 -0.1607  0.4213  0.2745  0.4479  0.3464  0.3303  0.0912  0.3638  0.2305  0.1098  0.2069  0.0468  0.0855  0.1534  0.0534  0.0183  0.0954
  29  6.4863E-07    0.296415    0.341398  0.3397 -0.1588  0.4221  0.2746  0.4481  0.3464  0.3303  0.0852  0.3643  0.2313  0.1097  0.2072  0.0464  0.0851  0.1545  0.0530  0.0179  0.0950
  30  7.7830E-07    0.295022    0.339912  0.3405 -0.1571  0.4229  0.2745  0.4482  0.3463  0.3301  0.0795  0.3647  0.2322  0.1096  0.2074  0.0459  0.0847  0.1557  0.0525  0.0174  0.0945
  31  2.0203E-06    0.293779    0.338328  0.3414 -0.1551  0.4237  0.2744  0.4485  0.3464  0.3300  0.0721  0.3652  0.2329  0.1095  0.2079  0.0454  0.0844  0.1569  0.0520  0.0170  0.0940
  32  3.2302E-07    0.292566    0.336762  0.3422 -0.1533  0.4245  0.2746  0.4487  0.3463  0.3299  0.0651  0.3657  0.2336  0.1094  0.2082  0.0450  0.0840  0.1580  0.0517  0.0166  0.0936
  33  5.2299E-07    0.290951    0.335008  0.3431 -0.1514  0.4253  0.2747  0.4489  0.3463  0.3297  0.0568  0.3662  0.2345  0.1093  0.2084  0.0445  0.0834  0.1594  0.0512  0.0161  0.0930
  34  7.5091E-07    0.289433    0.333124  0.3440 -0.1494  0.4261  0.2748  0.4490  0.3463  0.3295  0.0486  0.3667  0.2355  0.1092  0.2086  0.0440  0.0829  0.1608  0.0507  0.0158  0.0925
  35  1.5148E-06    0.288020    0.331438  0.3448 -0.1476  0.4269  0.2749  0.4492  0.3462  0.3292  0.0410  0.3671  0.2364  0.1091  0.2088  0.0436  0.0825  0.1620  0.0502  0.0154  0.0920
  36  8.1657E-07    0.286542    0.329610  0.3459 -0.1455  0.4278  0.2751  0.4495  0.3462  0.3290  0.0312  0.3677  0.2371  0.1091  0.2091  0.0431  0.0821  0.1634  0.0498  0.0149  0.0915
  37  1.5658E-06    0.285297    0.328231  0.3469 -0.1434  0.4287  0.2754  0.4498  0.3462  0.3289  0.0215  0.3684  0.2376  0.1090  0.2097  0.0427  0.0818  0.1644  0.0493  0.0145  0.0911
  38  9.7831E-07    0.284070    0.326580  0.3480 -0.1413  0.4296  0.2756  0.4502  0.3463  0.3288  0.0117  0.3692  0.2382  0.1089  0.2102  0.0422  0.0814  0.1655  0.0489  0.0141  0.0906
  39  2.0743E-06    0.283038    0.325422  0.3491 -0.1392  0.4305  0.2759  0.4506  0.3464  0.3286  0.0023  0.3699  0.2386  0.1089  0.2108  0.0418  0.0811  0.1664  0.0485  0.0137  0.0903
  40  1.3473E-06    0.281895    0.324069  0.3502 -0.1372  0.4314  0.2761  0.4510  0.3466  0.3285 -0.0068  0.3706  0.2389  0.1089  0.2114  0.0414  0.0808  0.1674  0.0481  0.0133  0.0899
  41  9.5589E-07    0.280767    0.322514  0.3512 -0.1354  0.4321  0.2761  0.4512  0.3465  0.3284 -0.0143  0.3711  0.2392  0.1088  0.2120  0.0409  0.0805  0.1683  0.0477  0.0129  0.0895
  42  1.8178E-06    0.279654    0.321089  0.3522 -0.1335  0.4330  0.2763  0.4515  0.3466  0.3282 -0.0234  0.3718  0.2397  0.1088  0.2126  0.0405  0.0801  0.1693  0.0473  0.0126  0.0892
  43  2.0680E-06    0.278514    0.319672  0.3532 -0.1317  0.4337  0.2764  0.4518  0.3466  0.3279 -0.0319  0.3724  0.2400  0.1088  0.2132  0.0401  0.0798  0.1702  0.0469  0.0122  0.0888
  44  1.6100E-06    0.277369    0.318222  0.3542 -0.1299  0.4345  0.2764  0.4521  0.3466  0.3275 -0.0404  0.3731  0.2403  0.1088  0.2139  0.0397  0.0795  0.1711  0.0464  0.0118  0.0884
  45  1.3261E-06    0.276156    0.316498  0.3551 -0.1282  0.4351  0.2764  0.4524  0.3465  0.3271 -0.0486  0.3736  0.2406  0.1087  0.2146  0.0392  0.0792  0.1721  0.0460  0.0114  0.0880
  46  1.6181E-06    0.274907    0.315128  0.3558 -0.1268  0.4357  0.2762  0.4525  0.3463  0.3265 -0.0544  0.3740  0.2408  0.1087  0.2155  0.0388  0.0789  0.1730  0.0456  0.0111  0.0876
  47  1.0498E-06    0.273995    0.313791  0.3565 -0.1254  0.4362  0.2762  0.4526  0.3461  0.3262 -0.0609  0.3745  0.2409  0.1087  0.2160  0.0385  0.0786  0.1738  0.0453  0.0109  0.0874
  48  8.3518E-07    0.272571    0.312018  0.3572 -0.1241  0.4366  0.2760  0.4527  0.3458  0.3257 -0.0673  0.3748  0.2412  0.1087  0.2166  0.0381  0.0782  0.1748  0.0449  0.0105  0.0869
  49  2.1112E-06    0.271211    0.310248  0.3578 -0.1229  0.4371  0.2758  0.4527  0.3455  0.3251 -0.0734  0.3751  0.2414  0.1087  0.2175  0.0377  0.0778  0.1758  0.0444  0.0102  0.0865
  50  1.2941E-06    0.269870    0.308590  0.3584 -0.1218  0.4374  0.2756  0.4526  0.3450  0.3244 -0.0786  0.3754  0.2416  0.1087  0.2182  0.0374  0.0774  0.1767  0.0440  0.0099  0.0861
