K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   5   1       0   1.0000 13:19:10 -4.31120944079E+05 -4.31120944079E+05  0.02699  0.01415 -0.04165 -0.13600 -0.11818 -0.13525
3   5   1     100   2.8846 13:19:10 -4.30985124579E+05 -4.30985124579E+05  0.02699  0.01415 -0.04165 -0.13600 -0.11818 -0.13525
3   5   1     200  15.6098 13:19:10 -3.99434237465E+05 -3.99434237465E+05  0.01415  0.02699 -0.04165 -0.11818 -0.13600 -0.13525
3   5   1     400  24.4499 13:19:10 -3.85319868558E+05 -3.82471892189E+05  0.01415  0.02699 -0.04165 -0.11818 -0.13600 -0.13525
3   5   1     800  23.5366 13:19:10 -3.63617494125E+05 -3.61230523850E+05  0.01415  0.02699 -0.04165 -0.11818 -0.13600 -0.13525
3   5   1    1600  31.0494 13:19:10 -3.65005273999E+05 -3.61230523850E+05  0.01415  0.02699 -0.04165 -0.11818 -0.13600 -0.13525
3   5   1    3200  32.5155 13:19:10 -3.61615471905E+05 -3.57841422294E+05  0.31005  0.34824 -0.04399 -0.17258 -0.13444 -0.88936
3   5   2    6400  41.2291 13:19:10 -3.66685272539E+05 -3.57841422294E+05  0.31681  0.31909 -0.04023 -0.17456 -0.12682 -0.88936
3   5   3   12800  25.1716 13:19:10 -3.63692006394E+05 -3.57841422294E+05  0.35675  0.32252 -0.04188 -0.18678 -0.18363 -0.88936
3   5   5   25600  22.6481 14:19:10 -3.61917085288E+05 -3.54831427319E+05  0.36612  0.31807 -0.04329 -0.17996 -0.18451 -0.88936
3   5   7   44000  17.9937 15:19:10 -3.57328751125E+05 -3.53740293562E+05  0.39026  0.32650 -0.04319 -0.19528 -0.22517 -0.88936
3   5   8   51200  13.7566 15:19:10 -3.55330575735E+05 -3.52685791808E+05  0.38752  0.32652 -0.04281 -0.17311 -0.24112 -0.88936
3   5  10   80000   7.0104 17:19:10 -3.53018894433E+05 -3.51740150559E+05  0.32434  0.40858 -0.04488 -0.22806 -0.21225 -0.88936
3   5  13  102400   4.1838 18:19:10 -3.51937347794E+05 -3.51740150559E+05  0.32454  0.40702 -0.04472 -0.22710 -0.21127 -0.88936
3   5  14  107965   2.8000 18:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32656  0.40458 -0.04413 -0.23261 -0.20937 -0.88936
3   5  15  117440   3.2000 19:19:10 -3.51810887369E+05 -3.51740150559E+05  0.32341  0.40854 -0.04508 -0.22474 -0.21173 -0.88936
3   5  15  120000   2.6322 19:19:10 -3.52099530622E+05 -3.51740150559E+05  0.32737  0.40176 -0.04377 -0.23470 -0.20557 -0.88936
3   5  16  125462   2.2000 19:19:10 -3.51825112991E+05 -3.51740150559E+05  0.32487  0.40817 -0.04478 -0.22860 -0.21195 -0.88936
3   5  17  134834   1.4000 20:19:10 -3.51904691119E+05 -3.51740150559E+05  0.32557  0.40682 -0.04448 -0.23000 -0.21241 -0.88936
3   5  18  142741   2.2000 20:19:10 -3.52024563847E+05 -3.51740150559E+05  0.32623  0.40404 -0.04411 -0.23190 -0.20842 -0.88936
3   5  18  148000   2.4461 21:19:10 -3.51875217370E+05 -3.51740150559E+05  0.32493  0.40628 -0.04466 -0.22832 -0.20847 -0.88936
3   5  19  152089   1.1000 21:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32656  0.40458 -0.04413 -0.23261 -0.20937 -0.88936
3   5  20  159929   0.9000 22:19:10 -3.51743171258E+05 -3.51740150559E+05  0.32656  0.40458 -0.04413 -0.23261 -0.20937 -0.88936
3   5  21  169230   0.8000 22:19:10 -3.51823853170E+05 -3.51740150559E+05  0.32448  0.40891 -0.04484 -0.22834 -0.21275 -0.88936
3   5  21  176000   1.2522 23:19:10 -3.51843759767E+05 -3.51740150559E+05  0.32656  0.40458 -0.04413 -0.23261 -0.20937 -0.88936
3   5 200  176257   0.0000 23:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32656  0.40458 -0.04413 -0.23261 -0.20937 -0.88936
