Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.0237E-03    0.825023    0.052183  0.1906 -0.3065  0.2157  0.0722  0.1190  0.1117  0.1078  0.0486  0.1846  0.0926  0.1507  0.1093  0.1188  0.1195  0.1177  0.1069
   2  7.1419E-03    0.670310    0.249135  0.2384 -0.2382  0.3249  0.1269  0.1798  0.1589  0.1526  0.0941  0.2441  0.1186  0.1845  0.0809  0.0990  0.1010  0.0968  0.0750
   3  2.5203E-03    0.564097    0.285064  0.2635 -0.2220  0.3719  0.1285  0.2433  0.2041  0.1762  0.0862  0.2871  0.1141  0.2100  0.0642  0.0899  0.0923  0.0834  0.0590
   4  3.0028E-03    0.458742    0.295638  0.2763 -0.2076  0.3898  0.1022  0.3554  0.2875  0.2451  0.0489  0.3105  0.1136  0.2155  0.0485  0.0910  0.0984  0.0775  0.0450
   5  1.9797E-03    0.369097    0.298356  0.2837 -0.1932  0.3999  0.1231  0.4162  0.3312  0.3147  0.0134  0.3191  0.1132  0.2145  0.0392  0.0944  0.1016  0.0824  0.0355
   6  1.0861E-03    0.310906    0.297539  0.2855 -0.1876  0.4046  0.2569  0.4303  0.3427  0.3332 -0.0232  0.3231  0.1123  0.2169  0.0429  0.0914  0.0993  0.0835  0.0306
   7  5.9308E-04    0.270213    0.291677  0.2986 -0.1642  0.4175  0.2667  0.4429  0.3580  0.3478 -0.0857  0.3295  0.1092  0.2218  0.0435  0.0887  0.0981  0.0842  0.0251
   8  1.0297E-04    0.248822    0.289985  0.3016 -0.1583  0.4213  0.2508  0.4445  0.3611  0.3492 -0.0588  0.3339  0.1083  0.2287  0.0377  0.0870  0.0967  0.0837  0.0240
   9  4.1483E-05    0.238278    0.288260  0.3011 -0.1602  0.4209  0.2398  0.4419  0.3596  0.3462  0.0019  0.3361  0.1079  0.2338  0.0342  0.0853  0.0952  0.0826  0.0250
  10  2.7455E-05    0.232434    0.286613  0.2998 -0.1639  0.4194  0.2387  0.4386  0.3571  0.3427  0.0612  0.3374  0.1076  0.2370  0.0324  0.0839  0.0938  0.0814  0.0264
  11  2.2201E-05    0.228610    0.284834  0.2990 -0.1666  0.4182  0.2402  0.4361  0.3552  0.3400  0.1063  0.3384  0.1076  0.2392  0.0314  0.0828  0.0927  0.0804  0.0276
  12  1.1559E-05    0.225724    0.282747  0.2993 -0.1670  0.4180  0.2449  0.4349  0.3547  0.3388  0.1260  0.3396  0.1076  0.2411  0.0309  0.0819  0.0918  0.0794  0.0276
  13  8.3489E-06    0.223150    0.280505  0.3001 -0.1662  0.4185  0.2503  0.4345  0.3549  0.3386  0.1318  0.3409  0.1076  0.2429  0.0306  0.0812  0.0911  0.0786  0.0270
  14  4.7385E-06    0.221023    0.278202  0.3016 -0.1639  0.4197  0.2580  0.4350  0.3560  0.3393  0.1229  0.3422  0.1076  0.2449  0.0305  0.0807  0.0906  0.0780  0.0255
  15  5.4687E-06    0.219065    0.275907  0.3036 -0.1605  0.4215  0.2655  0.4362  0.3577  0.3408  0.1082  0.3434  0.1076  0.2471  0.0305  0.0803  0.0902  0.0774  0.0236
  16  6.7915E-06    0.217220    0.273657  0.3062 -0.1562  0.4237  0.2727  0.4379  0.3599  0.3428  0.0893  0.3444  0.1076  0.2494  0.0305  0.0800  0.0898  0.0770  0.0215
  17  8.3886E-06    0.215457    0.271486  0.3094 -0.1510  0.4264  0.2796  0.4401  0.3627  0.3454  0.0673  0.3452  0.1076  0.2518  0.0305  0.0797  0.0894  0.0766  0.0192
  18  8.8842E-06    0.214007    0.269383  0.3129 -0.1454  0.4293  0.2858  0.4426  0.3656  0.3483  0.0455  0.3457  0.1077  0.2543  0.0305  0.0796  0.0891  0.0762  0.0170
