Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  8.3349E-03    0.788102    0.118691  0.1701 -0.3228  0.2024  0.0913  0.1291  0.1220  0.1661  0.1651  0.1302  0.1531  0.1234  0.1330  0.1337  0.1616
   2  5.1901E-03    0.668559    0.249767  0.2395 -0.2352  0.3166  0.1525  0.1985  0.1722  0.1956  0.2124  0.1248  0.1789  0.0943  0.1151  0.1159  0.1587
   3  3.1847E-03    0.571131    0.275259  0.2695 -0.2246  0.3713  0.1570  0.2582  0.2078  0.2071  0.2517  0.1244  0.2005  0.0763  0.1046  0.1047  0.1378
   4  3.2251E-03    0.471634    0.290918  0.2782 -0.2208  0.3893  0.1525  0.3498  0.2766  0.2319  0.2667  0.1243  0.2027  0.0617  0.1056  0.1111  0.1279
   5  1.6137E-03    0.392259    0.311354  0.2781 -0.2198  0.3939  0.1857  0.4025  0.3151  0.2602  0.2694  0.1246  0.2009  0.0552  0.1070  0.1137  0.1292
   6  1.0437E-03    0.344405    0.319574  0.2743 -0.2243  0.3932  0.2899  0.4200  0.3270  0.2766  0.2661  0.1244  0.2021  0.0615  0.1040  0.1111  0.1308
   7  3.4828E-04    0.316077    0.324010  0.2747 -0.2226  0.3934  0.3278  0.4283  0.3342  0.2906  0.2666  0.1233  0.2014  0.0655  0.1009  0.1100  0.1324
   8  1.3421E-04    0.297958    0.327912  0.2778 -0.2165  0.3957  0.3129  0.4343  0.3400  0.3027  0.2679  0.1215  0.2027  0.0664  0.0993  0.1092  0.1330
   9  8.1947E-05    0.284599    0.331584  0.2794 -0.2126  0.3970  0.3022  0.4372  0.3431  0.3106  0.2697  0.1195  0.2061  0.0649  0.0985  0.1085  0.1329
  10  1.9223E-05    0.277847    0.332222  0.2798 -0.2112  0.3970  0.2998  0.4380  0.3441  0.3154  0.2709  0.1190  0.2092  0.0624  0.0978  0.1078  0.1328
  11  1.0045E-05    0.273725    0.332215  0.2802 -0.2101  0.3969  0.2948  0.4383  0.3447  0.3189  0.2717  0.1188  0.2117  0.0608  0.0973  0.1072  0.1325
  12  8.7315E-06    0.270785    0.331634  0.2806 -0.2095  0.3967  0.2908  0.4382  0.3450  0.3214  0.2724  0.1183  0.2135  0.0601  0.0969  0.1067  0.1322
  13  4.4555E-06    0.268812    0.331148  0.2808 -0.2094  0.3963  0.2890  0.4379  0.3450  0.3232  0.2728  0.1180  0.2147  0.0596  0.0965  0.1063  0.1321
  14  2.6912E-06    0.267410    0.330669  0.2809 -0.2093  0.3960  0.2875  0.4376  0.3449  0.3246  0.2733  0.1179  0.2157  0.0592  0.0961  0.1058  0.1319
  15  1.6301E-06    0.266404    0.330119  0.2811 -0.2092  0.3958  0.2859  0.4372  0.3447  0.3256  0.2737  0.1178  0.2165  0.0589  0.0958  0.1055  0.1319
  16  8.8265E-07    0.265689    0.329547  0.2812 -0.2091  0.3956  0.2842  0.4369  0.3446  0.3265  0.2741  0.1177  0.2169  0.0586  0.0955  0.1052  0.1320
  17  5.9794E-07    0.264980    0.329049  0.2813 -0.2089  0.3955  0.2826  0.4365  0.3444  0.3271  0.2745  0.1176  0.2172  0.0584  0.0952  0.1049  0.1322
  18  4.0489E-07    0.264361    0.328508  0.2814 -0.2088  0.3954  0.2811  0.4362  0.3443  0.3275  0.2750  0.1175  0.2174  0.0582  0.0949  0.1046  0.1324
  19  2.8461E-07    0.263765    0.327987  0.2815 -0.2086  0.3953  0.2796  0.4359  0.3441  0.3279  0.2754  0.1174  0.2175  0.0580  0.0947  0.1044  0.1327
  20  2.0364E-07    0.263189    0.327482  0.2815 -0.2084  0.3952  0.2782  0.4356  0.3439  0.3281  0.2758  0.1173  0.2176  0.0578  0.0944  0.1041  0.1330
  21  1.3987E-07    0.262648    0.326993  0.2815 -0.2082  0.3952  0.2769  0.4353  0.3438  0.3282  0.2762  0.1173  0.2176  0.0576  0.0941  0.1039  0.1333
  22  9.8581E-08    0.262130    0.326497  0.2816 -0.2081  0.3952  0.2756  0.4350  0.3436  0.3283  0.2766  0.1172  0.2176  0.0574  0.0939  0.1036  0.1337
  23  8.3565E-08    0.261619    0.325997  0.2816 -0.2079  0.3952  0.2744  0.4347  0.3435  0.3282  0.2771  0.1171  0.2176  0.0571  0.0937  0.1034  0.1341
  24  7.7039E-08    0.261102    0.325491  0.2816 -0.2076  0.3952  0.2733  0.4344  0.3433  0.3282  0.2775  0.1170  0.2176  0.0569  0.0934  0.1031  0.1345
  25  7.2400E-08    0.260599    0.324971  0.2816 -0.2074  0.3952  0.2722  0.4341  0.3432  0.3280  0.2779  0.1169  0.2175  0.0567  0.0932  0.1029  0.1349
  26  2.2056E-07    0.260139    0.324505  0.2817 -0.2072  0.3952  0.2711  0.4339  0.3430  0.3279  0.2783  0.1169  0.2176  0.0564  0.0930  0.1027  0.1352
  27  6.5138E-08    0.259624    0.323979  0.2817 -0.2070  0.3953  0.2701  0.4336  0.3429  0.3277  0.2787  0.1168  0.2175  0.0562  0.0927  0.1024  0.1357
  28  2.1296E-07    0.259053    0.323404  0.2817 -0.2067  0.3953  0.2689  0.4334  0.3428  0.3275  0.2791  0.1167  0.2175  0.0559  0.0925  0.1022  0.1361
  29  2.5702E-07    0.258556    0.322973  0.2818 -0.2065  0.3954  0.2679  0.4331  0.3426  0.3273  0.2795  0.1166  0.2175  0.0556  0.0923  0.1019  0.1365
  30  2.1773E-07    0.258040    0.322519  0.2818 -0.2062  0.3955  0.2668  0.4329  0.3425  0.3270  0.2799  0.1165  0.2175  0.0553  0.0920  0.1017  0.1369
  31  6.4350E-08    0.257539    0.321934  0.2819 -0.2060  0.3955  0.2659  0.4326  0.3423  0.3268  0.2804  0.1165  0.2175  0.0551  0.0918  0.1014  0.1374
  32  9.5838E-08    0.257076    0.321308  0.2819 -0.2057  0.3956  0.2649  0.4323  0.3422  0.3265  0.2808  0.1164  0.2174  0.0548  0.0915  0.1012  0.1379
  33  1.6498E-07    0.256522    0.320754  0.2820 -0.2055  0.3957  0.2640  0.4320  0.3421  0.3262  0.2812  0.1164  0.2174  0.0545  0.0913  0.1009  0.1383
  34  1.6228E-07    0.256029    0.320141  0.2820 -0.2052  0.3958  0.2631  0.4317  0.3419  0.3258  0.2817  0.1163  0.2173  0.0542  0.0910  0.1007  0.1388
  35  3.3311E-07    0.255491    0.319672  0.2821 -0.2049  0.3959  0.2623  0.4315  0.3418  0.3255  0.2822  0.1162  0.2173  0.0539  0.0907  0.1004  0.1393
  36  1.3065E-07    0.254999    0.319042  0.2821 -0.2047  0.3960  0.2615  0.4312  0.3416  0.3252  0.2826  0.1162  0.2173  0.0536  0.0905  0.1001  0.1398
  37  6.7365E-07    0.254575    0.318698  0.2822 -0.2044  0.3961  0.2606  0.4310  0.3415  0.3249  0.2830  0.1161  0.2173  0.0533  0.0903  0.0999  0.1401
  38  2.4764E-07    0.254123    0.318122  0.2823 -0.2041  0.3962  0.2599  0.4307  0.3414  0.3246  0.2834  0.1161  0.2173  0.0530  0.0900  0.0996  0.1406
  39  4.4897E-07    0.253728    0.317581  0.2824 -0.2038  0.3964  0.2591  0.4304  0.3413  0.3244  0.2838  0.1160  0.2174  0.0526  0.0898  0.0993  0.1410
  40  4.0296E-07    0.253332    0.317024  0.2825 -0.2035  0.3965  0.2583  0.4302  0.3412  0.3241  0.2843  0.1159  0.2174  0.0523  0.0896  0.0991  0.1414
  41  2.5971E-07    0.252791    0.316454  0.2826 -0.2032  0.3967  0.2576  0.4299  0.3410  0.3238  0.2847  0.1159  0.2174  0.0520  0.0893  0.0988  0.1419
  42  3.0140E-07    0.252297    0.315863  0.2827 -0.2029  0.3968  0.2569  0.4297  0.3409  0.3235  0.2851  0.1158  0.2174  0.0517  0.0891  0.0985  0.1424
  43  3.6363E-07    0.251874    0.315317  0.2828 -0.2026  0.3969  0.2562  0.4294  0.3408  0.3232  0.2856  0.1158  0.2174  0.0513  0.0888  0.0983  0.1428
  44  3.4238E-07    0.251363    0.314730  0.2829 -0.2023  0.3971  0.2555  0.4291  0.3407  0.3229  0.2860  0.1157  0.2174  0.0510  0.0886  0.0980  0.1433
  45  4.2738E-07    0.250900    0.314177  0.2830 -0.2020  0.3973  0.2548  0.4289  0.3406  0.3226  0.2863  0.1157  0.2175  0.0507  0.0883  0.0977  0.1438
  46  3.4412E-07    0.250397    0.313485  0.2831 -0.2016  0.3974  0.2540  0.4286  0.3405  0.3223  0.2868  0.1156  0.2175  0.0503  0.0881  0.0974  0.1443
  47  2.6609E-07    0.249844    0.312852  0.2832 -0.2013  0.3976  0.2534  0.4284  0.3403  0.3220  0.2872  0.1156  0.2175  0.0500  0.0878  0.0971  0.1448
  48  3.4700E-07    0.249341    0.312165  0.2833 -0.2010  0.3978  0.2528  0.4281  0.3402  0.3216  0.2877  0.1155  0.2175  0.0497  0.0875  0.0968  0.1453
  49  3.5418E-07    0.248846    0.311525  0.2835 -0.2006  0.3979  0.2522  0.4278  0.3401  0.3213  0.2881  0.1155  0.2175  0.0493  0.0873  0.0966  0.1458
  50  1.9081E-07    0.248337    0.310801  0.2836 -0.2003  0.3981  0.2516  0.4276  0.3400  0.3209  0.2885  0.1155  0.2175  0.0490  0.0870  0.0963  0.1463
  51  3.8049E-07    0.247670    0.310131  0.2837 -0.1999  0.3982  0.2510  0.4273  0.3399  0.3204  0.2890  0.1154  0.2175  0.0486  0.0867  0.0960  0.1468
