K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   3   1       0   1.0000 09:18:10 -4.27434571608E+05 -4.27434571608E+05  0.01565 -0.01726 -0.12260 -0.13531
2   3   1     100   0.0000 09:18:10 -4.27434571608E+05 -4.27434571608E+05  0.01565 -0.01726 -0.12260 -0.13531
2   3   1     200  30.0000 09:18:10 -4.17769843591E+05 -4.17769843591E+05 -0.01726  0.01565 -0.13531 -0.12260
2   3   1     400  23.7500 09:18:10 -3.68945809704E+05 -3.68945809704E+05  0.01565 -0.01726 -0.12260 -0.13531
2   3   1     800  12.0000 09:18:10 -3.62334060158E+05 -3.62334060158E+05  0.01565 -0.01726 -0.12260 -0.13531
2   3   1    1600   6.9375 09:18:10 -3.74344395289E+05 -3.62334060158E+05  0.36912  0.04111 -0.14901 -0.88936
2   3   2    3200  73.7500 09:18:10 -4.10384818515E+05 -3.62334060158E+05  0.17630 -0.14369 -0.17132 -0.13168
2   3   3    6400  43.8350 09:18:10 -4.11876749032E+05 -3.62334060158E+05 -0.14266  0.17475 -0.13868 -0.15988
2   3   5   12800  13.6104 09:18:10 -3.78596689235E+05 -3.62334060158E+05  0.29361 -0.14539 -0.16264 -0.28891
2   3   8   25600   0.2725 10:18:10 -3.62334060158E+05 -3.62334060158E+05  0.36503  0.00852 -0.15154 -0.77975
2   3 200   32265   0.0000 10:18:10 -3.62334060158E+05 -3.62334060158E+05  0.36912  0.04111 -0.14901 -0.88936
