Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  3.3876E-03    0.850749    0.041414  0.1720 -0.3057  0.2011  0.0578  0.1123  0.1759  0.0342  0.0691  0.0321  0.1436  0.0820  0.1297  0.0977  0.1072  0.1503  0.0952  0.0993  0.0951
   2  6.5283E-03    0.707256    0.241421  0.2508 -0.2275  0.3313  0.0986  0.1879  0.2086  0.0623  0.1119  0.0595  0.1974  0.1080  0.1624  0.0716  0.0940  0.1604  0.0655  0.0757  0.0650
   3  2.6208E-03    0.599375    0.280861  0.2843 -0.2077  0.3874  0.0951  0.2761  0.2339  0.0502  0.1102  0.0470  0.2421  0.1087  0.1899  0.0562  0.0892  0.1527  0.0505  0.0606  0.0500
   4  2.0662E-03    0.500641    0.307022  0.2983 -0.1924  0.4063  0.0856  0.3811  0.2647  0.0358  0.1018  0.0326  0.2630  0.1088  0.1950  0.0450  0.0965  0.1619  0.0404  0.0496  0.0399
   5  7.5623E-04    0.434633    0.330773  0.3036 -0.1830  0.4128  0.0874  0.4297  0.2859  0.0335  0.1044  0.0302  0.2703  0.1088  0.1937  0.0387  0.1014  0.1737  0.0351  0.0436  0.0346
   6  2.5520E-04    0.397643    0.343876  0.3052 -0.1783  0.4155  0.1115  0.4470  0.2973  0.0353  0.1089  0.0326  0.2722  0.1089  0.1942  0.0361  0.1012  0.1829  0.0323  0.0405  0.0319
   7  2.5786E-04    0.373127    0.347920  0.3064 -0.1750  0.4171  0.1824  0.4525  0.3037  0.0317  0.1038  0.0313  0.2722  0.1084  0.1948  0.0383  0.0991  0.1882  0.0306  0.0381  0.0304
   8  5.2484E-04    0.348588    0.346956  0.3135 -0.1626  0.4234  0.2482  0.4601  0.3135  0.0148  0.1108  0.0120  0.2730  0.1062  0.1956  0.0445  0.0977  0.1922  0.0274  0.0362  0.0272
   9  1.2478E-04    0.332398    0.352592  0.3158 -0.1586  0.4256  0.2868  0.4624  0.3172  0.0186  0.1268  0.0140  0.2728  0.1058  0.1970  0.0460  0.0970  0.1946  0.0256  0.0362  0.0251
  10  1.9885E-05    0.324967    0.355386  0.3185 -0.1548  0.4278  0.3078  0.4637  0.3208  0.0227  0.1449  0.0175  0.2725  0.1057  0.1981  0.0450  0.0964  0.1967  0.0248  0.0366  0.0243
  11  1.4638E-05    0.320927    0.356359  0.3211 -0.1518  0.4298  0.3187  0.4646  0.3238  0.0267  0.1684  0.0199  0.2723  0.1056  0.1985  0.0442  0.0958  0.1981  0.0244  0.0374  0.0237
  12  1.5718E-05    0.317848    0.356603  0.3235 -0.1489  0.4317  0.3233  0.4653  0.3266  0.0300  0.1958  0.0206  0.2721  0.1054  0.1988  0.0434  0.0952  0.1993  0.0240  0.0387  0.0232
  13  1.4954E-05    0.315331    0.356425  0.3258 -0.1462  0.4334  0.3253  0.4659  0.3291  0.0339  0.2226  0.0195  0.2718  0.1053  0.1988  0.0429  0.0946  0.2001  0.0237  0.0402  0.0226
  14  9.2165E-06    0.313230    0.355776  0.3283 -0.1430  0.4354  0.3257  0.4667  0.3317  0.0395  0.2440  0.0169  0.2718  0.1051  0.1989  0.0424  0.0940  0.2010  0.0236  0.0412  0.0219
  15  2.9082E-06    0.311513    0.355123  0.3312 -0.1389  0.4376  0.3263  0.4680  0.3346  0.0478  0.2558  0.0126  0.2722  0.1050  0.1991  0.0420  0.0935  0.2021  0.0237  0.0412  0.0212
  16  3.1318E-06    0.309961    0.354307  0.3341 -0.1349  0.4398  0.3266  0.4693  0.3373  0.0598  0.2652  0.0056  0.2728  0.1050  0.1992  0.0417  0.0931  0.2032  0.0240  0.0410  0.0203
  17  4.6039E-06    0.308422    0.353300  0.3371 -0.1311  0.4418  0.3264  0.4704  0.3396  0.0771  0.2723 -0.0033  0.2733  0.1049  0.1993  0.0412  0.0926  0.2044  0.0246  0.0407  0.0192
  18  6.2694E-06    0.307406    0.352021  0.3400 -0.1280  0.4434  0.3260  0.4712  0.3415  0.1011  0.2774 -0.0125  0.2735  0.1048  0.1993  0.0409  0.0921  0.2055  0.0256  0.0402  0.0182
  19  8.7443E-06    0.307077    0.350593  0.3428 -0.1257  0.4445  0.3251  0.4716  0.3428  0.1322  0.2812 -0.0204  0.2732  0.1047  0.1992  0.0405  0.0915  0.2066  0.0271  0.0398  0.0173
  20  9.5879E-06    0.306886    0.348990  0.3458 -0.1237  0.4455  0.3238  0.4719  0.3438  0.1673  0.2840 -0.0274  0.2728  0.1046  0.1991  0.0401  0.0910  0.2078  0.0286  0.0394  0.0166
  21  1.1367E-05    0.306976    0.347358  0.3490 -0.1217  0.4464  0.3226  0.4721  0.3447  0.2053  0.2855 -0.0332  0.2722  0.1045  0.1989  0.0397  0.0904  0.2089  0.0304  0.0388  0.0161
  22  1.1184E-05    0.306899    0.345600  0.3526 -0.1194  0.4475  0.3214  0.4725  0.3458  0.2420  0.2866 -0.0380  0.2717  0.1044  0.1987  0.0392  0.0899  0.2102  0.0320  0.0382  0.0156
  23  1.1225E-05    0.306987    0.343996  0.3563 -0.1170  0.4486  0.3207  0.4730  0.3469  0.2760  0.2878 -0.0404  0.2710  0.1043  0.1985  0.0389  0.0893  0.2112  0.0338  0.0377  0.0152
  24  1.0067E-05    0.306883    0.342490  0.3604 -0.1139  0.4500  0.3201  0.4737  0.3484  0.3034  0.2895 -0.0428  0.2704  0.1043  0.1985  0.0384  0.0888  0.2123  0.0352  0.0373  0.0148
  25  6.2308E-06    0.306463    0.341068  0.3645 -0.1104  0.4517  0.3201  0.4748  0.3501  0.3232  0.2908 -0.0438  0.2701  0.1042  0.1985  0.0381  0.0883  0.2134  0.0362  0.0368  0.0144
  26  4.6788E-06    0.305859    0.339516  0.3684 -0.1066  0.4534  0.3202  0.4759  0.3519  0.3377  0.2920 -0.0447  0.2700  0.1042  0.1986  0.0377  0.0878  0.2145  0.0370  0.0362  0.0141
  27  3.4770E-06    0.305379    0.338341  0.3720 -0.1030  0.4552  0.3206  0.4771  0.3537  0.3488  0.2931 -0.0449  0.2698  0.1041  0.1989  0.0374  0.0875  0.2153  0.0376  0.0357  0.0138
  28  2.7950E-06    0.304211    0.336747  0.3756 -0.0986  0.4572  0.3208  0.4785  0.3558  0.3575  0.2934 -0.0485  0.2700  0.1041  0.1991  0.0370  0.0870  0.2165  0.0380  0.0351  0.0134
  29  2.1531E-06    0.303007    0.334931  0.3789 -0.0943  0.4592  0.3212  0.4798  0.3579  0.3643  0.2944 -0.0537  0.2703  0.1040  0.1993  0.0365  0.0864  0.2177  0.0383  0.0345  0.0130
  30  2.7471E-06    0.301993    0.333538  0.3821 -0.0898  0.4613  0.3220  0.4813  0.3601  0.3701  0.2956 -0.0604  0.2704  0.1040  0.1996  0.0362  0.0860  0.2187  0.0386  0.0341  0.0126
  31  2.3223E-06    0.300744    0.331985  0.3853 -0.0848  0.4636  0.3229  0.4831  0.3627  0.3751  0.2966 -0.0701  0.2706  0.1039  0.1998  0.0357  0.0855  0.2198  0.0388  0.0336  0.0122
  32  2.2490E-06    0.299593    0.330497  0.3886 -0.0795  0.4661  0.3242  0.4850  0.3654  0.3796  0.2983 -0.0817  0.2708  0.1039  0.2001  0.0354  0.0851  0.2208  0.0389  0.0332  0.0118
  33  1.9899E-06    0.298442    0.328965  0.3922 -0.0735  0.4689  0.3260  0.4873  0.3686  0.3839  0.2994 -0.0948  0.2710  0.1038  0.2005  0.0350  0.0846  0.2217  0.0390  0.0327  0.0115
  34  1.3481E-06    0.296857    0.327155  0.3959 -0.0670  0.4720  0.3282  0.4897  0.3720  0.3882  0.3004 -0.1081  0.2715  0.1038  0.2008  0.0346  0.0841  0.2230  0.0390  0.0321  0.0111
  35  3.6183E-06    0.295816    0.325813  0.3997 -0.0603  0.4751  0.3304  0.4923  0.3756  0.3925  0.3039 -0.1199  0.2715  0.1038  0.2012  0.0342  0.0837  0.2238  0.0391  0.0320  0.0107
  36  2.1725E-06    0.294724    0.324506  0.4033 -0.0540  0.4781  0.3327  0.4948  0.3790  0.3968  0.3064 -0.1268  0.2715  0.1038  0.2017  0.0338  0.0832  0.2247  0.0392  0.0317  0.0104
  37  1.9147E-06    0.293446    0.322965  0.4065 -0.0483  0.4807  0.3347  0.4970  0.3821  0.4008  0.3082 -0.1296  0.2716  0.1037  0.2021  0.0335  0.0828  0.2257  0.0393  0.0313  0.0101
  38  2.4177E-06    0.292224    0.321480  0.4093 -0.0431  0.4830  0.3363  0.4989  0.3849  0.4044  0.3090 -0.1295  0.2716  0.1037  0.2026  0.0331  0.0823  0.2266  0.0393  0.0309  0.0097
  39  3.0414E-06    0.290977    0.319897  0.4117 -0.0386  0.4851  0.3375  0.5005  0.3873  0.4076  0.3099 -0.1279  0.2717  0.1037  0.2031  0.0328  0.0819  0.2276  0.0394  0.0305  0.0094
  40  2.6153E-06    0.289736    0.318378  0.4136 -0.0347  0.4867  0.3383  0.5018  0.3893  0.4103  0.3113 -0.1254  0.2716  0.1037  0.2036  0.0324  0.0815  0.2284  0.0394  0.0303  0.0090
