K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9
9   7   1       0   1.0000 03:52:10 -4.50372727802E+05 -4.50372727802E+05 -0.04912 -0.03009 -0.12881 -0.02419 -0.05738  0.06311  0.05211 -0.03983  0.15258 -0.13409 -0.09308 -0.14943 -0.08102 -0.14927 -0.08401 -0.15028 -0.11480 -0.14301
9   7   1     100   0.9901 03:52:10 -4.47982843734E+05 -4.47982843734E+05 -0.04912 -0.03009 -0.12881 -0.02419 -0.05738  0.06311  0.05211 -0.03983  0.15258 -0.13409 -0.09308 -0.14943 -0.08102 -0.14927 -0.08401 -0.15028 -0.11480 -0.14301
9   7   1     200  35.3234 03:52:10 -4.18734290737E+05 -4.18734290737E+05  0.15258 -0.03009  0.05211  0.06311 -0.02419 -0.12881 -0.05738 -0.03983 -0.04912 -0.14301 -0.09308 -0.15028 -0.08401 -0.08102 -0.14943 -0.14927 -0.11480 -0.13409
9   7   1     400  40.3990 03:52:10 -3.94081448946E+05 -3.93725402742E+05  0.06311  0.15258  0.05211 -0.03009 -0.12881 -0.04912 -0.02419 -0.03983 -0.05738 -0.08401 -0.14301 -0.15028 -0.09308 -0.14943 -0.13409 -0.08102 -0.11480 -0.14927
9   7   1     800  37.0787 03:52:10 -3.82602653187E+05 -3.82470136186E+05  0.15258  0.05211 -0.03983 -0.12881 -0.02419 -0.05738  0.06311 -0.04912 -0.03009 -0.14301 -0.15028 -0.11480 -0.14943 -0.08102 -0.14927 -0.08401 -0.13409 -0.09308
9   7   1    1600  35.6027 03:52:10 -3.80640747212E+05 -3.77487418010E+05  0.05211 -0.03009  0.15258  0.06311 -0.05738 -0.04912 -0.12881 -0.03983 -0.02419 -0.15028 -0.09308 -0.14301 -0.08401 -0.14927 -0.13409 -0.14943 -0.11480 -0.08102
9   7   1    3200  37.6757 03:52:10 -3.80997531844E+05 -3.77058499383E+05 -0.05738  0.15258  0.05211 -0.04912 -0.12881 -0.03983  0.06311 -0.03009 -0.02419 -0.14927 -0.14301 -0.15028 -0.13409 -0.14943 -0.11480 -0.08401 -0.09308 -0.08102
9   7   1    6400  39.3532 03:52:10 -3.75988527058E+05 -3.73408747272E+05 -0.03983  0.15258  0.06311 -0.12881 -0.02419 -0.04912  0.05211 -0.05738 -0.03009 -0.11480 -0.14301 -0.08401 -0.14943 -0.08102 -0.13409 -0.15028 -0.14927 -0.09308
9   7   2   12800  39.4099 03:52:10 -3.73304817767E+05 -3.70836884247E+05  0.41669  0.43161  0.49415  0.33562 -0.03714  0.46827 -0.04590  0.32207 -0.03729 -0.39372 -0.47348 -0.22738 -0.17723 -0.92628 -0.45566 -0.88558 -0.17586 -0.87565
9   7   3   36000  29.0157 05:52:10 -3.76665767869E+05 -3.69419519846E+05  0.27805  0.35625 -0.10807  1.00000  1.00000  1.00000  1.00000  1.00000  0.52355 -0.20906 -0.16311 -0.87699  0.00000  0.00000  0.00000  0.00000  0.00000 -0.88116
