Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  4.3030E-03    0.842422    0.069769  0.1652 -0.3124  0.1916  0.0672  0.1152  0.1105  0.1033  0.1510  0.0429  0.1405  0.0937  0.1256  0.0967  0.1060  0.1081  0.1050  0.1301  0.0943
   2  4.8913E-03    0.716602    0.252852  0.2360 -0.2501  0.3135  0.1098  0.1781  0.1543  0.1401  0.1729  0.0727  0.1872  0.1169  0.1499  0.0737  0.0936  0.0968  0.0899  0.1238  0.0681
   3  2.8040E-03    0.613110    0.287374  0.2668 -0.2379  0.3724  0.1087  0.2576  0.2147  0.1667  0.1719  0.0619  0.2286  0.1177  0.1764  0.0595  0.0887  0.0928  0.0785  0.1034  0.0545
   4  2.6963E-03    0.504352    0.311508  0.2744 -0.2298  0.3901  0.0992  0.3591  0.2865  0.2411  0.1669  0.0452  0.2452  0.1178  0.1835  0.0479  0.0956  0.1010  0.0784  0.0861  0.0445
   5  1.3847E-03    0.417190    0.336098  0.2768 -0.2226  0.3956  0.1006  0.4087  0.3201  0.3015  0.1803  0.0389  0.2521  0.1177  0.1820  0.0397  0.0986  0.1045  0.0873  0.0801  0.0379
   6  5.2876E-04    0.368332    0.348234  0.2771 -0.2199  0.3978  0.1493  0.4250  0.3307  0.3221  0.1985  0.0361  0.2533  0.1175  0.1833  0.0377  0.0971  0.1031  0.0916  0.0823  0.0342
   7  4.7213E-04    0.337108    0.345766  0.2781 -0.2174  0.3983  0.2215  0.4290  0.3362  0.3276  0.2125  0.0214  0.2544  0.1168  0.1827  0.0395  0.0939  0.1026  0.0918  0.0875  0.0307
   8  7.1261E-04    0.309255    0.333993  0.2796 -0.2139  0.3985  0.2818  0.4298  0.3385  0.3289  0.2199  0.0060  0.2526  0.1160  0.1811  0.0486  0.0908  0.1004  0.0901  0.0924  0.0280
   9  3.2124E-04    0.286090    0.328326  0.2833 -0.2071  0.4012  0.2606  0.4333  0.3428  0.3329  0.2268  0.0195  0.2505  0.1135  0.1810  0.0536  0.0891  0.0994  0.0893  0.0976  0.0260
  10  8.4791E-05    0.272069    0.327200  0.2842 -0.2052  0.4018  0.2579  0.4339  0.3436  0.3335  0.2289  0.0445  0.2482  0.1120  0.1825  0.0538  0.0882  0.0984  0.0888  0.1022  0.0258
  11  3.4757E-05    0.264569    0.325486  0.2857 -0.2029  0.4028  0.2599  0.4346  0.3446  0.3345  0.2310  0.0592  0.2462  0.1117  0.1842  0.0528  0.0875  0.0977  0.0882  0.1061  0.0257
  12  3.0554E-05    0.258994    0.323799  0.2873 -0.2007  0.4038  0.2605  0.4350  0.3454  0.3353  0.2331  0.0733  0.2448  0.1115  0.1854  0.0516  0.0869  0.0968  0.0876  0.1097  0.0256
  13  1.7000E-05    0.254460    0.322811  0.2888 -0.1986  0.4048  0.2615  0.4355  0.3462  0.3362  0.2350  0.0849  0.2437  0.1113  0.1864  0.0509  0.0864  0.0961  0.0871  0.1125  0.0255
  14  1.0976E-05    0.250762    0.322228  0.2902 -0.1966  0.4059  0.2625  0.4360  0.3471  0.3370  0.2370  0.0939  0.2429  0.1111  0.1873  0.0503  0.0860  0.0955  0.0866  0.1149  0.0253
  15  1.5246E-05    0.247396    0.321430  0.2916 -0.1945  0.4070  0.2619  0.4362  0.3482  0.3376  0.2393  0.1012  0.2426  0.1109  0.1880  0.0494  0.0854  0.0953  0.0860  0.1174  0.0250
  16  7.0613E-06    0.244676    0.320939  0.2927 -0.1927  0.4080  0.2626  0.4365  0.3491  0.3381  0.2413  0.1063  0.2422  0.1108  0.1886  0.0489  0.0849  0.0949  0.0855  0.1194  0.0247
  17  4.6826E-06    0.242433    0.320539  0.2937 -0.1910  0.4089  0.2634  0.4369  0.3498  0.3387  0.2431  0.1096  0.2420  0.1106  0.1892  0.0486  0.0845  0.0946  0.0850  0.1211  0.0244
  18  3.4394E-06    0.240475    0.320181  0.2946 -0.1893  0.4098  0.2642  0.4372  0.3504  0.3392  0.2448  0.1114  0.2418  0.1105  0.1898  0.0482  0.0842  0.0943  0.0846  0.1227  0.0240
  19  2.6334E-06    0.238799    0.319869  0.2955 -0.1877  0.4107  0.2648  0.4376  0.3511  0.3398  0.2464  0.1114  0.2417  0.1103  0.1903  0.0479  0.0839  0.0940  0.0843  0.1241  0.0235
  20  5.0900E-06    0.237119    0.319128  0.2963 -0.1861  0.4115  0.2642  0.4376  0.3516  0.3402  0.2479  0.1123  0.2418  0.1102  0.1908  0.0473  0.0834  0.0937  0.0839  0.1256  0.0232
  21  5.5465E-06    0.235406    0.318321  0.2970 -0.1848  0.4122  0.2635  0.4375  0.3522  0.3403  0.2493  0.1135  0.2420  0.1101  0.1913  0.0466  0.0829  0.0936  0.0835  0.1272  0.0229
  22  2.7194E-06    0.234092    0.317554  0.2975 -0.1836  0.4129  0.2637  0.4375  0.3526  0.3405  0.2505  0.1131  0.2419  0.1100  0.1918  0.0461  0.0825  0.0934  0.0832  0.1285  0.0226
