Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  4.4736E-03    0.831257    0.063319  0.1511 -0.3204  0.1821  0.0748  0.1185  0.1138  0.1669  0.0840  0.1426  0.1036  0.1365  0.1094  0.1188  0.1205  0.1569  0.1118
   2  5.4386E-03    0.708624    0.254174  0.2256 -0.2491  0.3016  0.1296  0.1837  0.1589  0.1874  0.1253  0.1762  0.1249  0.1559  0.0838  0.1049  0.1076  0.1574  0.0894
   3  3.1540E-03    0.613837    0.281515  0.2646 -0.2372  0.3667  0.1313  0.2499  0.2043  0.1993  0.1174  0.2151  0.1256  0.1809  0.0684  0.0976  0.1003  0.1382  0.0739
   4  2.9325E-03    0.511607    0.305582  0.2778 -0.2310  0.3882  0.1246  0.3470  0.2762  0.2232  0.1028  0.2301  0.1256  0.1860  0.0556  0.1020  0.1084  0.1308  0.0616
   5  1.2342E-03    0.433766    0.332519  0.2815 -0.2260  0.3937  0.1322  0.4017  0.3144  0.2506  0.0987  0.2343  0.1257  0.1849  0.0478  0.1057  0.1120  0.1352  0.0544
   6  4.9349E-04    0.390982    0.348226  0.2819 -0.2240  0.3957  0.1770  0.4234  0.3287  0.2698  0.0977  0.2337  0.1256  0.1869  0.0461  0.1052  0.1112  0.1410  0.0503
   7  2.9537E-04    0.366878    0.355498  0.2814 -0.2243  0.3949  0.2429  0.4306  0.3334  0.2825  0.1004  0.2334  0.1257  0.1876  0.0484  0.1032  0.1097  0.1439  0.0482
   8  5.8452E-04    0.348078    0.354443  0.2818 -0.2244  0.3932  0.3164  0.4320  0.3346  0.2920  0.1059  0.2321  0.1256  0.1866  0.0569  0.1006  0.1072  0.1437  0.0473
   9  3.1777E-04    0.333405    0.353564  0.2865 -0.2196  0.3945  0.3193  0.4347  0.3406  0.3033  0.1275  0.2332  0.1235  0.1852  0.0605  0.0986  0.1081  0.1431  0.0476
  10  9.4682E-05    0.323631    0.355593  0.2924 -0.2130  0.3973  0.2888  0.4380  0.3453  0.3145  0.1570  0.2333  0.1214  0.1857  0.0616  0.0977  0.1082  0.1427  0.0493
  11  3.9997E-05    0.317129    0.357947  0.2959 -0.2103  0.3984  0.2795  0.4392  0.3471  0.3227  0.1829  0.2332  0.1197  0.1871  0.0613  0.0973  0.1079  0.1425  0.0512
  12  1.4127E-05    0.314501    0.358095  0.2982 -0.2094  0.3986  0.2789  0.4392  0.3477  0.3292  0.2045  0.2329  0.1193  0.1882  0.0601  0.0968  0.1075  0.1423  0.0528
  13  1.0590E-05    0.312852    0.357699  0.2999 -0.2089  0.3988  0.2787  0.4390  0.3479  0.3347  0.2219  0.2326  0.1191  0.1889  0.0593  0.0964  0.1071  0.1424  0.0541
  14  4.0865E-06    0.311650    0.357149  0.3014 -0.2079  0.3991  0.2785  0.4390  0.3483  0.3396  0.2333  0.2326  0.1190  0.1896  0.0588  0.0961  0.1068  0.1428  0.0544
  15  3.5829E-06    0.310544    0.356489  0.3024 -0.2069  0.3995  0.2779  0.4390  0.3487  0.3437  0.2421  0.2329  0.1188  0.1901  0.0583  0.0958  0.1065  0.1433  0.0545
  16  2.4044E-06    0.309461    0.355864  0.3030 -0.2059  0.4000  0.2774  0.4390  0.3491  0.3470  0.2486  0.2333  0.1187  0.1906  0.0578  0.0955  0.1061  0.1438  0.0541
  17  1.1943E-06    0.308509    0.355323  0.3035 -0.2046  0.4005  0.2768  0.4391  0.3496  0.3498  0.2532  0.2340  0.1186  0.1911  0.0574  0.0952  0.1058  0.1444  0.0534
  18  1.2541E-06    0.307495    0.354724  0.3039 -0.2034  0.4011  0.2762  0.4392  0.3500  0.3521  0.2570  0.2349  0.1184  0.1915  0.0571  0.0949  0.1055  0.1451  0.0525
  19  1.3575E-06    0.306414    0.353993  0.3040 -0.2022  0.4016  0.2756  0.4392  0.3503  0.3540  0.2603  0.2358  0.1183  0.1919  0.0567  0.0945  0.1051  0.1459  0.0517
  20  1.4283E-06    0.305280    0.353248  0.3040 -0.2011  0.4022  0.2749  0.4392  0.3506  0.3556  0.2631  0.2368  0.1182  0.1922  0.0563  0.0942  0.1048  0.1467  0.0508
  21  3.2265E-06    0.304027    0.352300  0.3039 -0.1999  0.4028  0.2735  0.4392  0.3509  0.3570  0.2657  0.2376  0.1181  0.1927  0.0557  0.0939  0.1044  0.1477  0.0501
  22  2.1723E-06    0.302761    0.351332  0.3037 -0.1987  0.4033  0.2727  0.4392  0.3511  0.3581  0.2674  0.2384  0.1179  0.1931  0.0552  0.0935  0.1040  0.1486  0.0493
  23  1.8134E-06    0.301471    0.350379  0.3034 -0.1976  0.4039  0.2719  0.4392  0.3512  0.3590  0.2688  0.2393  0.1178  0.1934  0.0547  0.0931  0.1036  0.1496  0.0485
  24  1.6131E-06    0.300220    0.349351  0.3032 -0.1965  0.4044  0.2713  0.4391  0.3514  0.3598  0.2698  0.2401  0.1177  0.1937  0.0543  0.0927  0.1032  0.1506  0.0476
  25  1.5528E-06    0.298929    0.348327  0.3028 -0.1954  0.4049  0.2706  0.4390  0.3515  0.3604  0.2706  0.2410  0.1176  0.1940  0.0539  0.0923  0.1027  0.1516  0.0468
  26  1.4994E-06    0.297638    0.347252  0.3026 -0.1944  0.4053  0.2698  0.4389  0.3516  0.3609  0.2711  0.2418  0.1175  0.1944  0.0535  0.0919  0.1023  0.1526  0.0460
  27  1.4074E-06    0.296313    0.346208  0.3023 -0.1934  0.4058  0.2692  0.4388  0.3516  0.3613  0.2715  0.2427  0.1174  0.1946  0.0531  0.0915  0.1019  0.1536  0.0452
  28  1.3542E-06    0.295036    0.345101  0.3020 -0.1924  0.4062  0.2685  0.4386  0.3517  0.3615  0.2716  0.2435  0.1173  0.1949  0.0527  0.0911  0.1015  0.1545  0.0445
  29  1.2439E-06    0.293789    0.343917  0.3017 -0.1915  0.4066  0.2678  0.4384  0.3517  0.3617  0.2715  0.2443  0.1172  0.1952  0.0523  0.0907  0.1011  0.1555  0.0437
  30  2.3605E-06    0.292608    0.342997  0.3015 -0.1906  0.4070  0.2671  0.4382  0.3517  0.3618  0.2713  0.2450  0.1171  0.1957  0.0519  0.0903  0.1006  0.1564  0.0430
  31  1.1450E-06    0.291329    0.341859  0.3013 -0.1897  0.4074  0.2664  0.4380  0.3517  0.3618  0.2708  0.2457  0.1170  0.1960  0.0515  0.0899  0.1002  0.1573  0.0424
  32  2.3121E-06    0.290244    0.340831  0.3012 -0.1888  0.4078  0.2657  0.4378  0.3516  0.3618  0.2702  0.2463  0.1169  0.1964  0.0511  0.0895  0.0998  0.1582  0.0418
  33  1.0985E-06    0.288926    0.339616  0.3010 -0.1880  0.4081  0.2648  0.4376  0.3515  0.3617  0.2694  0.2470  0.1168  0.1968  0.0507  0.0891  0.0993  0.1592  0.0411
  34  1.0284E-06    0.287630    0.338259  0.3008 -0.1871  0.4084  0.2641  0.4373  0.3514  0.3614  0.2683  0.2478  0.1167  0.1971  0.0503  0.0886  0.0988  0.1602  0.0405
  35  9.8479E-07    0.286175    0.336964  0.3006 -0.1863  0.4087  0.2633  0.4371  0.3513  0.3611  0.2672  0.2485  0.1166  0.1973  0.0498  0.0882  0.0984  0.1612  0.0400
  36  2.6652E-06    0.285134    0.335984  0.3004 -0.1857  0.4090  0.2625  0.4368  0.3512  0.3607  0.2665  0.2489  0.1165  0.1977  0.0494  0.0879  0.0979  0.1620  0.0397
  37  8.2877E-07    0.283854    0.334616  0.3003 -0.1850  0.4092  0.2618  0.4365  0.3510  0.3602  0.2652  0.2496  0.1164  0.1980  0.0489  0.0874  0.0975  0.1630  0.0392
  38  6.6782E-07    0.282503    0.333096  0.3001 -0.1843  0.4095  0.2611  0.4361  0.3508  0.3596  0.2635  0.2502  0.1163  0.1982  0.0485  0.0869  0.0970  0.1641  0.0388
  39  6.4685E-07    0.281106    0.331597  0.2999 -0.1836  0.4097  0.2604  0.4358  0.3507  0.3589  0.2616  0.2508  0.1162  0.1984  0.0481  0.0865  0.0965  0.1652  0.0383
  40  5.5197E-07    0.279697    0.330033  0.2997 -0.1829  0.4099  0.2598  0.4354  0.3505  0.3581  0.2594  0.2514  0.1162  0.1986  0.0476  0.0860  0.0960  0.1663  0.0378
  41  1.6466E-06    0.278469    0.328665  0.2997 -0.1823  0.4101  0.2591  0.4351  0.3503  0.3573  0.2572  0.2519  0.1161  0.1990  0.0472  0.0856  0.0955  0.1674  0.0374
  42  6.5788E-06    0.277790    0.328054  0.2997 -0.1817  0.4104  0.2584  0.4348  0.3500  0.3566  0.2559  0.2518  0.1160  0.1998  0.0467  0.0854  0.0950  0.1679  0.0373
  43  1.0810E-06    0.276736    0.326566  0.2997 -0.1811  0.4106  0.2578  0.4344  0.3498  0.3558  0.2542  0.2520  0.1159  0.2002  0.0463  0.0850  0.0945  0.1689  0.0371
  44  6.2219E-07    0.275366    0.324911  0.2997 -0.1805  0.4108  0.2573  0.4340  0.3496  0.3549  0.2521  0.2524  0.1159  0.2006  0.0459  0.0845  0.0940  0.1701  0.0367
  45  1.7155E-06    0.274159    0.323486  0.2998 -0.1799  0.4110  0.2566  0.4336  0.3494  0.3540  0.2499  0.2529  0.1158  0.2010  0.0454  0.0840  0.0935  0.1710  0.0363
  46  3.0982E-06    0.273204    0.322362  0.2998 -0.1793  0.4112  0.2559  0.4333  0.3493  0.3531  0.2482  0.2530  0.1157  0.2015  0.0449  0.0837  0.0931  0.1719  0.0361
  47  9.4448E-06    0.272549    0.321422  0.3000 -0.1789  0.4113  0.2552  0.4330  0.3493  0.3523  0.2477  0.2529  0.1157  0.2023  0.0444  0.0834  0.0927  0.1725  0.0361
  48  2.8219E-06    0.271369    0.320241  0.3001 -0.1785  0.4114  0.2545  0.4326  0.3492  0.3515  0.2465  0.2530  0.1157  0.2029  0.0439  0.0830  0.0923  0.1733  0.0359
  49  3.7065E-06    0.270583    0.319196  0.3003 -0.1781  0.4115  0.2539  0.4323  0.3490  0.3507  0.2455  0.2529  0.1156  0.2036  0.0435  0.0827  0.0919  0.1740  0.0358
  50  1.8357E-06    0.269699    0.317945  0.3004 -0.1775  0.4117  0.2534  0.4320  0.3489  0.3499  0.2435  0.2528  0.1155  0.2044  0.0431  0.0824  0.0915  0.1748  0.0356
  51  3.9663E-06    0.269072    0.317208  0.3007 -0.1771  0.4117  0.2527  0.4317  0.3488  0.3492  0.2426  0.2526  0.1155  0.2051  0.0426  0.0821  0.0910  0.1754  0.0356
  52  1.4179E-06    0.268127    0.315945  0.3009 -0.1767  0.4118  0.2522  0.4314  0.3486  0.3484  0.2410  0.2526  0.1154  0.2057  0.0422  0.0818  0.0906  0.1762  0.0354
  53  8.9820E-07    0.266981    0.314443  0.3010 -0.1762  0.4120  0.2515  0.4310  0.3485  0.3476  0.2392  0.2530  0.1154  0.2060  0.0418  0.0814  0.0902  0.1771  0.0352
  54  2.1406E-06    0.266010    0.313279  0.3012 -0.1757  0.4121  0.2509  0.4307  0.3483  0.3469  0.2376  0.2530  0.1153  0.2066  0.0413  0.0811  0.0897  0.1779  0.0350
  55  7.6730E-07    0.264942    0.311820  0.3013 -0.1753  0.4122  0.2502  0.4305  0.3481  0.3460  0.2359  0.2531  0.1153  0.2071  0.0409  0.0808  0.0893  0.1788  0.0348
  56  7.5525E-07    0.263610    0.310235  0.3014 -0.1748  0.4123  0.2496  0.4301  0.3480  0.3450  0.2341  0.2533  0.1152  0.2075  0.0405  0.0804  0.0888  0.1798  0.0345
  57  1.3993E-06    0.262572    0.308804  0.3015 -0.1744  0.4123  0.2489  0.4298  0.3478  0.3441  0.2326  0.2533  0.1152  0.2081  0.0401  0.0800  0.0883  0.1807  0.0343
  58  1.4441E-06    0.261493    0.307407  0.3017 -0.1740  0.4124  0.2482  0.4295  0.3477  0.3431  0.2310  0.2534  0.1151  0.2087  0.0397  0.0797  0.0879  0.1815  0.0341
  59  1.7860E-06    0.260549    0.306236  0.3018 -0.1737  0.4125  0.2475  0.4292  0.3475  0.3422  0.2296  0.2535  0.1151  0.2092  0.0393  0.0793  0.0875  0.1822  0.0339
  60  2.0808E-07    0.259405    0.304760  0.3019 -0.1734  0.4126  0.2469  0.4288  0.3474  0.3412  0.2281  0.2537  0.1150  0.2094  0.0390  0.0790  0.0871  0.1831  0.0337
  61  7.4210E-07    0.257903    0.302944  0.3019 -0.1730  0.4126  0.2462  0.4285  0.3472  0.3402  0.2262  0.2540  0.1150  0.2098  0.0386  0.0785  0.0866  0.1841  0.0334
  62  1.3317E-06    0.256941    0.301653  0.3020 -0.1728  0.4127  0.2456  0.4282  0.3471  0.3392  0.2248  0.2540  0.1150  0.2102  0.0383  0.0782  0.0862  0.1848  0.0333
  63  8.1856E-07    0.255858    0.300302  0.3021 -0.1725  0.4127  0.2449  0.4279  0.3469  0.3382  0.2233  0.2540  0.1150  0.2107  0.0379  0.0779  0.0858  0.1856  0.0331
  64  2.9747E-06    0.255185    0.299415  0.3023 -0.1723  0.4127  0.2443  0.4277  0.3468  0.3374  0.2221  0.2540  0.1149  0.2112  0.0376  0.0777  0.0855  0.1861  0.0330
