Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
   1  1.2544E-02    0.620458    0.229557  0.2522 -0.2341  0.3418  0.1115  0.2891  0.1911  0.2263  0.1765  0.1126  0.0166  0.1783  0.1216  0.1587  0.0602  0.0835  0.1458  0.0801  0.0654  0.0570  0.0495
   2  3.7677E-03    0.440795    0.253593  0.2848 -0.2045  0.3883  0.2063  0.3988  0.2120  0.3158  0.2874  0.2148 -0.0647  0.2043  0.1154  0.1789  0.0504  0.0876  0.1365  0.0826  0.0613  0.0483  0.0348
   3  8.4293E-04    0.339928    0.280203  0.2947 -0.1905  0.4020  0.2192  0.4243  0.2260  0.3382  0.3264  0.2832 -0.1115  0.2147  0.1146  0.1895  0.0423  0.0865  0.1379  0.0828  0.0579  0.0461  0.0276
   4  1.9589E-04    0.295056    0.285601  0.2982 -0.1826  0.4077  0.2207  0.4287  0.2334  0.3441  0.3339  0.3013 -0.1071  0.2203  0.1144  0.1966  0.0380  0.0840  0.1423  0.0823  0.0539  0.0435  0.0247
   5  1.0838E-04    0.270139    0.283451  0.2974 -0.1817  0.4088  0.2211  0.4276  0.2351  0.3424  0.3326  0.3027 -0.0439  0.2224  0.1144  0.2019  0.0360  0.0819  0.1466  0.0808  0.0510  0.0413  0.0237
   6  1.0188E-04    0.252625    0.279055  0.2956 -0.1829  0.4086  0.2212  0.4257  0.2349  0.3388  0.3297  0.2999  0.0207  0.2228  0.1144  0.2063  0.0350  0.0803  0.1503  0.0787  0.0490  0.0397  0.0235
   7  5.0404E-05    0.239839    0.276083  0.2955 -0.1822  0.4091  0.2228  0.4250  0.2355  0.3375  0.3282  0.2982  0.0457  0.2228  0.1144  0.2098  0.0345  0.0791  0.1535  0.0770  0.0476  0.0385  0.0229
   8  2.1991E-05    0.230710    0.274271  0.2961 -0.1809  0.4099  0.2247  0.4248  0.2362  0.3372  0.3275  0.2970  0.0523  0.2228  0.1144  0.2126  0.0341  0.0781  0.1560  0.0758  0.0466  0.0375  0.0220
   9  1.1861E-05    0.224030    0.272929  0.2968 -0.1797  0.4106  0.2265  0.4247  0.2368  0.3373  0.3271  0.2960  0.0525  0.2228  0.1144  0.2147  0.0339  0.0773  0.1581  0.0749  0.0458  0.0368  0.0212
  10  7.4467E-06    0.218357    0.271038  0.2977 -0.1782  0.4115  0.2279  0.4247  0.2377  0.3377  0.3266  0.2947  0.0481  0.2228  0.1144  0.2164  0.0336  0.0765  0.1603  0.0742  0.0451  0.0361  0.0204
