Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
   1  1.2171E-02    0.623844    0.212573  0.2786 -0.1932  0.3621  0.1319  0.3102  0.2269  0.2572  0.1995 -0.0871 -0.0854  0.1863  0.1105  0.1607  0.0616  0.0857  0.1559  0.0864  0.0672  0.0429  0.0428
   2  3.8690E-03    0.434072    0.246920  0.3352 -0.1184  0.4309  0.2577  0.4411  0.2754  0.3647  0.3415 -0.2182 -0.2160  0.2179  0.1032  0.1830  0.0509  0.0907  0.1527  0.0928  0.0657  0.0216  0.0215
   3  7.1905E-04    0.337907    0.273042  0.3695 -0.0626  0.4660  0.3010  0.4866  0.3145  0.4099  0.4095 -0.2894 -0.2831  0.2305  0.1026  0.1930  0.0427  0.0897  0.1561  0.0954  0.0667  0.0118  0.0115
   4  1.8199E-04    0.295018    0.274949  0.3952 -0.0178  0.4909  0.3295  0.5094  0.3443  0.4367  0.4436 -0.3077 -0.2889  0.2371  0.1025  0.1998  0.0386  0.0875  0.1615  0.0951  0.0664  0.0060  0.0056
   5  6.4748E-05    0.274069    0.273256  0.4104  0.0087  0.5055  0.3481  0.5211  0.3616  0.4512  0.4591 -0.2885 -0.2631  0.2401  0.1025  0.2042  0.0366  0.0852  0.1652  0.0937  0.0653  0.0037  0.0036
   6  2.8314E-05    0.262762    0.272078  0.4187  0.0234  0.5136  0.3595  0.5269  0.3713  0.4589  0.4647 -0.2611 -0.2355  0.2409  0.1025  0.2069  0.0356  0.0832  0.1681  0.0923  0.0636  0.0034  0.0034
   7  2.5086E-04    0.249989    0.262719  0.4049  0.0011  0.5027  0.3434  0.5141  0.3567  0.4452  0.4488 -0.2713 -0.1848  0.2402  0.1041  0.2082  0.0341  0.0808  0.1698  0.0900  0.0614  0.0050  0.0066
   8  5.6157E-05    0.240086    0.259974  0.4010 -0.0058  0.4998  0.3403  0.5102  0.3527  0.4412  0.4436 -0.2750 -0.1745  0.2403  0.1032  0.2098  0.0337  0.0793  0.1724  0.0887  0.0601  0.0050  0.0076
   9  2.9197E-05    0.233391    0.258786  0.3990 -0.0095  0.4985  0.3390  0.5079  0.3507  0.4390  0.4407 -0.2625 -0.1724  0.2398  0.1022  0.2111  0.0335  0.0782  0.1743  0.0878  0.0593  0.0054  0.0082
  10  1.2466E-05    0.227663    0.257285  0.3983 -0.0110  0.4981  0.3385  0.5067  0.3499  0.4379  0.4392 -0.2531 -0.1736  0.2395  0.1016  0.2123  0.0332  0.0774  0.1762  0.0870  0.0587  0.0058  0.0084
  11  1.0863E-05    0.222812    0.255982  0.3978 -0.0120  0.4978  0.3382  0.5057  0.3494  0.4371  0.4378 -0.2434 -0.1751  0.2393  0.1010  0.2132  0.0331  0.0766  0.1777  0.0862  0.0582  0.0062  0.0085
  12  1.2944E-05    0.217833    0.254593  0.3974 -0.0129  0.4976  0.3379  0.5049  0.3490  0.4364  0.4370 -0.2343 -0.1765  0.2386  0.1005  0.2140  0.0329  0.0759  0.1798  0.0855  0.0578  0.0067  0.0084
  13  1.1949E-05    0.212906    0.253491  0.3972 -0.0133  0.4975  0.3377  0.5043  0.3488  0.4360  0.4364 -0.2284 -0.1774  0.2379  0.1000  0.2144  0.0327  0.0752  0.1819  0.0849  0.0574  0.0071  0.0083
  14  5.6370E-06    0.209801    0.252714  0.3972 -0.0134  0.4975  0.3377  0.5039  0.3487  0.4357  0.4360 -0.2253 -0.1779  0.2377  0.0997  0.2150  0.0326  0.0747  0.1831  0.0845  0.0570  0.0074  0.0083
  15  2.8788E-06    0.207315    0.251462  0.3973 -0.0133  0.4977  0.3377  0.5036  0.3488  0.4356  0.4359 -0.2238 -0.1782  0.2374  0.0994  0.2156  0.0325  0.0743  0.1841  0.0841  0.0568  0.0076  0.0082
  16  1.5336E-06    0.205428    0.250490  0.3974 -0.0132  0.4978  0.3377  0.5034  0.3488  0.4354  0.4356 -0.2230 -0.1783  0.2374  0.0993  0.2159  0.0324  0.0739  0.1849  0.0837  0.0566  0.0077  0.0082
  17  1.1805E-06    0.204149    0.249991  0.3975 -0.0131  0.4978  0.3378  0.5032  0.3488  0.4354  0.4355 -0.2225 -0.1784  0.2374  0.0991  0.2162  0.0323  0.0737  0.1854  0.0835  0.0564  0.0079  0.0081
  18  7.7527E-07    0.202736    0.249153  0.3975 -0.0130  0.4979  0.3378  0.5031  0.3488  0.4353  0.4354 -0.2223 -0.1784  0.2373  0.0990  0.2163  0.0323  0.0734  0.1861  0.0832  0.0563  0.0079  0.0081
  19  5.0486E-07    0.201404    0.248056  0.3976 -0.0129  0.4980  0.3378  0.5028  0.3488  0.4352  0.4353 -0.2222 -0.1784  0.2372  0.0990  0.2166  0.0322  0.0731  0.1868  0.0829  0.0562  0.0080  0.0081
  20  3.5512E-07    0.200644    0.247529  0.3977 -0.0128  0.4980  0.3379  0.5027  0.3488  0.4351  0.4351 -0.2222 -0.1784  0.2373  0.0990  0.2167  0.0321  0.0729  0.1873  0.0827  0.0561  0.0080  0.0081
  21  3.7816E-07    0.199712    0.246686  0.3977 -0.0127  0.4980  0.3379  0.5026  0.3488  0.4351  0.4350 -0.2222 -0.1784  0.2372  0.0989  0.2169  0.0321  0.0726  0.1878  0.0825  0.0560  0.0079  0.0081
  22  3.0730E-07    0.198944    0.245991  0.3978 -0.0127  0.4981  0.3379  0.5025  0.3488  0.4350  0.4350 -0.2221 -0.1784  0.2371  0.0989  0.2170  0.0320  0.0724  0.1882  0.0823  0.0560  0.0079  0.0080
  23  2.4687E-07    0.198383    0.245337  0.3978 -0.0126  0.4981  0.3379  0.5024  0.3488  0.4350  0.4349 -0.2221 -0.1784  0.2372  0.0989  0.2171  0.0320  0.0723  0.1886  0.0822  0.0558  0.0079  0.0080
  24  2.6494E-07    0.197759    0.244684  0.3978 -0.0126  0.4981  0.3379  0.5023  0.3488  0.4349  0.4348 -0.2221 -0.1784  0.2372  0.0989  0.2172  0.0319  0.0721  0.1889  0.0820  0.0558  0.0079  0.0080
  25  1.7815E-07    0.197192    0.244173  0.3978 -0.0126  0.4981  0.3379  0.5022  0.3488  0.4349  0.4348 -0.2221 -0.1784  0.2370  0.0989  0.2173  0.0319  0.0720  0.1893  0.0819  0.0558  0.0079  0.0080
