Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  9.9640E-03    0.758907    0.077950  0.1965 -0.3094  0.2166  0.1017  0.1396  0.1308  0.2387  0.1305  0.1865  0.1418  0.1518  0.1507
   2  8.5327E-03    0.591819    0.236564  0.2489 -0.2141  0.3344  0.1786  0.2247  0.1949  0.2987  0.1233  0.2185  0.1056  0.1290  0.1249
   3  2.9652E-03    0.490101    0.258080  0.2660 -0.2033  0.3778  0.2018  0.2940  0.2281  0.3350  0.1216  0.2322  0.0852  0.1169  0.1092
   4  2.9232E-03    0.398777    0.260661  0.2711 -0.2006  0.3919  0.2423  0.3776  0.2882  0.3578  0.1207  0.2270  0.0713  0.1141  0.1091
   5  1.6869E-03    0.323655    0.264603  0.2765 -0.1904  0.4021  0.2749  0.4231  0.3261  0.3743  0.1175  0.2256  0.0651  0.1094  0.1080
   6  4.5788E-04    0.276260    0.265075  0.2796 -0.1806  0.4094  0.2740  0.4394  0.3417  0.3902  0.1156  0.2321  0.0521  0.1046  0.1054
   7  1.4786E-04    0.250804    0.259634  0.2817 -0.1734  0.4144  0.2561  0.4432  0.3461  0.4004  0.1153  0.2403  0.0424  0.1003  0.1013
   8  6.5057E-05    0.235958    0.254782  0.2835 -0.1687  0.4177  0.2416  0.4430  0.3465  0.4063  0.1149  0.2475  0.0375  0.0966  0.0972
   9  3.4966E-05    0.226774    0.250908  0.2847 -0.1665  0.4194  0.2360  0.4415  0.3452  0.4097  0.1144  0.2531  0.0355  0.0936  0.0937
  10  1.7750E-05    0.221156    0.248127  0.2855 -0.1655  0.4203  0.2362  0.4397  0.3435  0.4119  0.1143  0.2574  0.0345  0.0912  0.0908
  11  1.0537E-05    0.217484    0.245979  0.2863 -0.1648  0.4209  0.2368  0.4383  0.3422  0.4133  0.1143  0.2608  0.0340  0.0893  0.0883
  12  6.8912E-06    0.214925    0.244262  0.2871 -0.1642  0.4215  0.2374  0.4372  0.3411  0.4143  0.1143  0.2636  0.0336  0.0878  0.0864
  13  4.6527E-06    0.213152    0.242698  0.2878 -0.1637  0.4219  0.2379  0.4363  0.3404  0.4150  0.1143  0.2659  0.0334  0.0865  0.0848
  14  3.1775E-06    0.211914    0.241239  0.2884 -0.1633  0.4223  0.2384  0.4356  0.3397  0.4155  0.1143  0.2678  0.0333  0.0855  0.0836
  15  2.2098E-06    0.210920    0.239996  0.2890 -0.1629  0.4226  0.2388  0.4351  0.3393  0.4159  0.1143  0.2693  0.0332  0.0847  0.0826
  16  1.6020E-06    0.210059    0.238986  0.2895 -0.1626  0.4229  0.2391  0.4346  0.3389  0.4163  0.1143  0.2706  0.0331  0.0840  0.0817
  17  1.1393E-06    0.209388    0.238140  0.2899 -0.1624  0.4231  0.2395  0.4343  0.3386  0.4165  0.1143  0.2716  0.0331  0.0835  0.0810
  18  7.2709E-07    0.208923    0.237565  0.2902 -0.1622  0.4233  0.2397  0.4340  0.3384  0.4167  0.1143  0.2724  0.0330  0.0831  0.0805
  19  4.4275E-07    0.208673    0.237136  0.2905 -0.1620  0.4234  0.2400  0.4338  0.3382  0.4168  0.1143  0.2731  0.0330  0.0828  0.0801
  20  2.3555E-07    0.208516    0.236965  0.2907 -0.1619  0.4235  0.2402  0.4337  0.3382  0.4168  0.1143  0.2735  0.0330  0.0826  0.0799
  21  1.3871E-07    0.208442    0.236902  0.2909 -0.1618  0.4236  0.2404  0.4337  0.3381  0.4168  0.1143  0.2738  0.0329  0.0825  0.0797
  22  1.0691E-07    0.208387    0.236861  0.2910 -0.1617  0.4236  0.2405  0.4336  0.3381  0.4168  0.1143  0.2740  0.0329  0.0824  0.0796
  23  9.6137E-08    0.208320    0.236801  0.2911 -0.1616  0.4237  0.2407  0.4335  0.3380  0.4168  0.1143  0.2742  0.0329  0.0823  0.0795
  24  8.5214E-08    0.208248    0.236725  0.2912 -0.1616  0.4237  0.2408  0.4335  0.3380  0.4168  0.1143  0.2744  0.0329  0.0822  0.0794
  25  6.9712E-08    0.208222    0.236589  0.2912 -0.1615  0.4237  0.2409  0.4334  0.3380  0.4169  0.1143  0.2746  0.0329  0.0821  0.0793
  26  9.9536E-08    0.208046    0.236552  0.2913 -0.1615  0.4238  0.2410  0.4334  0.3379  0.4169  0.1143  0.2747  0.0329  0.0820  0.0791
  27  8.7216E-08    0.207912    0.236485  0.2913 -0.1614  0.4238  0.2411  0.4333  0.3379  0.4169  0.1144  0.2748  0.0329  0.0820  0.0790
  28  8.0418E-08    0.207796    0.236396  0.2913 -0.1614  0.4238  0.2412  0.4333  0.3379  0.4170  0.1144  0.2750  0.0329  0.0819  0.0789
  29  9.6456E-08    0.207621    0.236360  0.2914 -0.1614  0.4238  0.2412  0.4332  0.3378  0.4170  0.1144  0.2751  0.0328  0.0818  0.0788
  30  6.8154E-08    0.207554    0.236218  0.2914 -0.1613  0.4238  0.2413  0.4332  0.3378  0.4171  0.1144  0.2752  0.0328  0.0818  0.0787
  31  6.0949E-08    0.207515    0.236076  0.2914 -0.1613  0.4238  0.2413  0.4331  0.3377  0.4171  0.1144  0.2753  0.0328  0.0817  0.0787
  32  9.7827E-08    0.207294    0.236084  0.2914 -0.1613  0.4238  0.2414  0.4331  0.3377  0.4172  0.1144  0.2754  0.0328  0.0816  0.0786
  33  6.2280E-08    0.207245    0.235957  0.2914 -0.1613  0.4238  0.2414  0.4330  0.3377  0.4173  0.1144  0.2754  0.0328  0.0816  0.0785
  34  7.0466E-08    0.207128    0.235892  0.2914 -0.1612  0.4238  0.2415  0.4330  0.3376  0.4173  0.1144  0.2755  0.0328  0.0815  0.0784
  35  8.1405E-08    0.206978    0.235851  0.2914 -0.1612  0.4238  0.2415  0.4329  0.3376  0.4174  0.1144  0.2756  0.0328  0.0815  0.0784
  36  8.3125E-08    0.206825    0.235831  0.2914 -0.1612  0.4238  0.2415  0.4329  0.3376  0.4175  0.1144  0.2756  0.0328  0.0814  0.0783
  37  9.4875E-08    0.206640    0.235833  0.2914 -0.1612  0.4238  0.2416  0.4329  0.3376  0.4175  0.1144  0.2757  0.0328  0.0814  0.0782
  38  9.6739E-08    0.206444    0.235853  0.2914 -0.1612  0.4237  0.2416  0.4328  0.3375  0.4176  0.1144  0.2757  0.0328  0.0813  0.0782
  39  6.8932E-08    0.206359    0.235785  0.2914 -0.1612  0.4237  0.2416  0.4328  0.3375  0.4177  0.1144  0.2758  0.0328  0.0813  0.0781
  40  6.2499E-08    0.206301    0.235695  0.2914 -0.1611  0.4237  0.2416  0.4328  0.3375  0.4177  0.1144  0.2758  0.0328  0.0812  0.0781
  41  7.3408E-08    0.206169    0.235676  0.2914 -0.1611  0.4237  0.2417  0.4327  0.3375  0.4177  0.1144  0.2759  0.0328  0.0812  0.0780
  42  7.7162E-08    0.206017    0.235676  0.2914 -0.1611  0.4237  0.2417  0.4327  0.3374  0.4178  0.1144  0.2759  0.0328  0.0812  0.0779
  43  8.0238E-08    0.205865    0.235674  0.2914 -0.1611  0.4237  0.2417  0.4327  0.3374  0.4178  0.1144  0.2759  0.0328  0.0811  0.0779
