K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   6   1       0   1.0000 39:22:10 -4.30924142708E+05 -4.30924142708E+05  0.02350  0.07822 -0.15116  0.06375 -0.13252 -0.10659 -0.13559 -0.16126
4   6   1     100   1.9608 39:22:10 -4.30796833537E+05 -4.30796833537E+05  0.02350  0.07822 -0.15116  0.06375 -0.13252 -0.10659 -0.13559 -0.16126
4   6   1     200  26.6010 39:22:10 -4.07157655293E+05 -4.06968488343E+05  0.02350  0.06375  0.07822 -0.15116 -0.13252 -0.16126 -0.10659 -0.13559
4   6   1     400  30.7692 39:22:10 -3.78104608540E+05 -3.76842157181E+05  0.06375  0.02350 -0.15116  0.07822 -0.16126 -0.13252 -0.13559 -0.10659
4   6   1     800  33.1258 39:22:10 -3.70783451883E+05 -3.69566042818E+05  0.02350  0.06375 -0.15116  0.07822 -0.13252 -0.16126 -0.13559 -0.10659
4   6   1    1600  36.1822 39:22:10 -3.64330569830E+05 -3.64084596078E+05  0.06375  0.02350 -0.15116  0.07822 -0.16126 -0.13252 -0.13559 -0.10659
4   6   1    3200  37.8395 39:22:10 -3.65899492141E+05 -3.63722940325E+05  0.32525  0.32906 -0.03182 -0.04767 -0.11468 -0.17059 -0.88753 -0.15894
4   6   1    6400  39.4815 39:22:10 -3.62905223378E+05 -3.60471026748E+05  0.27748  0.29408  0.33096 -0.11219 -0.21848 -0.14432 -0.15733 -0.88936
4   6   3   12800  23.7604 40:22:10 -3.59901718655E+05 -3.55962288716E+05 -0.10137  0.38662  0.35766  0.28406 -0.88936 -0.44881 -0.19472 -0.19334
4   6   4   24000  27.5651 41:22:10 -3.62052404804E+05 -3.53570187225E+05  0.28102  0.28457  0.33822 -0.10602 -0.20943 -0.16197 -0.16232 -0.88936
4   6   4   25600  27.3287 41:22:10 -3.60722920607E+05 -3.53570187225E+05  0.28102  0.33822  0.28457 -0.10602 -0.20943 -0.16232 -0.16197 -0.88936
4   6   6   48000  20.0244 43:22:10 -3.56395584228E+05 -3.52519492502E+05  0.37781  0.28226 -0.10510  0.42302 -0.21737 -0.20921 -0.88936 -0.54669
4   6   6   51200  20.8140 43:22:10 -3.57666683339E+05 -3.52519492502E+05  0.32076  0.28375  0.40085 -0.09625 -0.14324 -0.20850 -0.47348 -0.88936
4   6   8   72000  14.6182 45:22:10 -3.52663273533E+05 -3.50979265702E+05  0.28759  0.38057 -0.10498  0.35021 -0.23237 -0.21542 -0.88936 -0.33388
4   6   9   96000  10.5744 47:22:10 -3.53244926267E+05 -3.50829472214E+05  0.37123  0.28708 -0.10376  0.52488 -0.20741 -0.23163 -0.88936 -0.88116
4   6  10  102400   5.9221 47:22:10 -3.52477542349E+05 -3.50829472214E+05  0.28397  0.39811 -0.10618  0.39543 -0.22746 -0.22901 -0.88936 -0.47348
