K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   7   1       0   1.0000 15:18:10 -4.27281821456E+05 -4.27281821456E+05 -0.02559  0.02382 -0.13581 -0.12178
2   7   1     100   1.0000 15:18:10 -4.26555876474E+05 -4.26555876474E+05 -0.02559  0.02382 -0.13581 -0.12178
2   7   1     200  31.5000 15:18:10 -3.87918666833E+05 -3.87918666833E+05  0.02382 -0.02559 -0.12178 -0.13581
2   7   1     400  17.2500 15:18:10 -3.62334060158E+05 -3.62334060158E+05  0.02382 -0.02559 -0.12178 -0.13581
2   7   1     800  10.8750 15:18:10 -3.87342893140E+05 -3.62334060158E+05  0.02382 -0.02559 -0.12178 -0.13581
2   7   1    1600  34.3750 15:18:10 -4.09336526619E+05 -3.62334060158E+05  0.19802 -0.15401 -0.13709 -0.17609
2   7   2    3200  85.6347 15:18:10 -4.13266742802E+05 -3.62334060158E+05 -0.11540  0.13189 -0.14266 -0.13356
2   7   6    6400  12.1739 16:18:10 -3.68824447649E+05 -3.62334060158E+05  0.19122 -0.15072 -0.16624 -0.14000
2   7   7   12800  13.2109 16:18:10 -3.75492302665E+05 -3.62334060158E+05  0.33931 -0.09109 -0.15069 -0.49946
2   7  11   25600   0.2494 16:18:10 -3.63668738500E+05 -3.62334060158E+05  0.36912  0.04111 -0.14901 -0.88936
2   7 200   33442   0.0000 16:18:10 -3.62334060158E+05 -3.62334060158E+05  0.04111  0.36912 -0.88936 -0.14901
