 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   9   1       0   1.0000 11:01:11 -4.53537614140E+05 -4.53537614140E+05 -0.12385  0.04444  0.04782  0.13448 -0.04331 -0.08052 -0.06352 -0.06891  0.04192  0.03558 -0.11364 -0.09578 -0.10301 -0.13013 -0.12422 -0.11880 -0.11584 -0.09620 -0.14665 -0.17628
10   9   1     100   1.9608 11:01:11 -4.53276495689E+05 -4.53276495689E+05 -0.12385  0.04444  0.04782  0.13448 -0.04331 -0.08052 -0.06352 -0.06891  0.04192  0.03558 -0.11364 -0.09578 -0.10301 -0.13013 -0.12422 -0.11880 -0.11584 -0.09620 -0.14665 -0.17628
10   9   1     200  40.0990 11:01:11 -4.32421270500E+05 -4.32348461430E+05 -0.12385 -0.04331  0.03558 -0.06891  0.04782  0.13448 -0.06352  0.04444  0.04192 -0.08052 -0.11364 -0.12422 -0.17628 -0.09620 -0.10301 -0.13013 -0.11584 -0.09578 -0.14665 -0.11880
10   9   1     400  47.5124 11:01:11 -3.91971444440E+05 -3.91738126536E+05 -0.06891  0.04444  0.13448 -0.04331 -0.06352  0.04192 -0.12385  0.03558 -0.08052  0.04782 -0.09620 -0.09578 -0.13013 -0.12422 -0.11584 -0.14665 -0.11364 -0.17628 -0.11880 -0.10301
10   9   1     800  47.7556 11:01:11 -3.90912178907E+05 -3.86410678366E+05  0.13448 -0.04331 -0.06891 -0.06352  0.03558  0.04782  0.04444 -0.08052  0.04192 -0.12385 -0.13013 -0.12422 -0.09620 -0.11584 -0.17628 -0.10301 -0.09578 -0.11880 -0.14665 -0.11364
10   9   1    1600  47.6280 11:01:11 -3.88596034036E+05 -3.79965273173E+05  0.13448 -0.06891 -0.12385 -0.06352 -0.08052  0.04782  0.04192 -0.04331  0.03558  0.04444 -0.13013 -0.09620 -0.11364 -0.11584 -0.11880 -0.10301 -0.14665 -0.12422 -0.17628 -0.09578
10   9   1    3200  45.3779 11:01:11 -3.82660982634E+05 -3.79839792419E+05 -0.04331 -0.06891  0.13448  0.04782 -0.06352 -0.08052 -0.12385  0.04192  0.03558  0.04444 -0.12422 -0.09620 -0.13013 -0.10301 -0.11584 -0.11880 -0.11364 -0.14665 -0.17628 -0.09578
10   9   1    6400  45.0797 11:01:11 -3.83398744871E+05 -3.75999122003E+05  0.13448 -0.04331  0.03558 -0.06891 -0.06352  0.04192 -0.12385  0.04782 -0.08052  0.04444 -0.13013 -0.12422 -0.17628 -0.09620 -0.11584 -0.14665 -0.11364 -0.10301 -0.11880 -0.09578
10   9   3   12800  29.0323 12:01:11 -3.77864349227E+05 -3.75468164174E+05  0.35970  0.36348  1.00000  1.00000 -0.01495 -0.03466 -0.01274  0.60279  0.56270  0.33460 -0.23782 -0.18292  0.00000  0.00000 -0.83867 -0.78783 -0.93036 -0.90663 -0.88116 -0.18079
10   9   3   25600  29.6084 12:01:11 -3.79850055629E+05 -3.75468164174E+05  0.41812  0.38056  1.00000  0.04701  1.00000  0.02768  1.00000  1.00000  1.00000  1.00000 -0.17323 -0.21293  0.00000 -0.91009  0.00000 -0.90053  0.00000  0.00000  0.00000  0.00000
10   9   3   32000  29.2544 13:01:11 -3.79310554100E+05 -3.75468164174E+05  0.58252  0.36778  0.03265  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  0.01435 -0.88116 -0.15941 -0.90328  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000 -0.83296
10   9   4   51200  26.5106 14:01:11 -3.77389383995E+05 -3.74512634425E+05  0.37231  0.42643  0.02943 -0.03754  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000 -0.23373 -0.17471 -0.93013 -0.56755  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
10   9   4   68000  27.9329 15:01:11 -3.76236475271E+05 -3.72227416701E+05  0.40950  0.38293  0.04561  1.00000  0.03999  1.00000  1.00000  1.00000  1.00000  1.00000 -0.17262 -0.21989 -0.94276  0.00000 -0.89066  0.00000  0.00000  0.00000  0.00000  0.00000
10   9   5  102400  28.5351 17:01:11 -3.75106598653E+05 -3.71164099335E+05  0.40498  0.40021  0.04531  0.03431  1.00000  1.00000  0.04441  1.00000  1.00000  0.47689 -0.20628 -0.21406 -0.91749 -0.75569  0.00000  0.00000 -0.93826  0.00000  0.00000 -0.47348
10   9   5  108000  28.8523 17:01:11 -3.78646165297E+05 -3.71164099335E+05  0.40021  0.40498  1.00000  0.04441  0.04531  0.03431  1.00000  1.00000  1.00000  0.47689 -0.21406 -0.20628  0.00000 -0.93826 -0.91749 -0.75569  0.00000  0.00000  0.00000 -0.47348
