Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  6.9841E-03    0.798158    0.091783  0.1636 -0.3224  0.1915  0.0897  0.1283  0.1701  0.1188  0.1656  0.1237  0.1538  0.1236  0.1333  0.1678  0.1322
   2  5.6137E-03    0.673227    0.248299  0.2373 -0.2360  0.3130  0.1537  0.2001  0.1982  0.1695  0.2075  0.1247  0.1731  0.0950  0.1164  0.1704  0.1130
   3  3.3185E-03    0.575263    0.272998  0.2681 -0.2260  0.3718  0.1594  0.2612  0.2146  0.1900  0.2484  0.1244  0.1938  0.0769  0.1059  0.1532  0.0974
   4  2.9956E-03    0.475408    0.290745  0.2766 -0.2226  0.3905  0.1545  0.3514  0.2448  0.2476  0.2660  0.1243  0.1962  0.0618  0.1065  0.1515  0.0936
   5  1.6981E-03    0.394381    0.312474  0.2758 -0.2219  0.3949  0.1870  0.4026  0.2713  0.2980  0.2694  0.1246  0.1948  0.0549  0.1080  0.1495  0.0988
   6  1.0060E-03    0.346259    0.323717  0.2715 -0.2265  0.3942  0.2905  0.4200  0.2875  0.3151  0.2663  0.1245  0.1964  0.0612  0.1053  0.1461  0.1003
   7  3.3375E-04    0.318662    0.329195  0.2715 -0.2251  0.3941  0.3296  0.4288  0.3016  0.3238  0.2670  0.1234  0.1954  0.0659  0.1026  0.1449  0.1009
   8  1.2323E-04    0.301563    0.333337  0.2742 -0.2196  0.3960  0.3169  0.4350  0.3135  0.3298  0.2681  0.1217  0.1960  0.0678  0.1013  0.1441  0.1012
   9  7.7889E-05    0.288842    0.337708  0.2757 -0.2160  0.3970  0.3073  0.4381  0.3211  0.3327  0.2693  0.1196  0.1982  0.0679  0.1005  0.1434  0.1012
  10  1.3729E-05    0.282815    0.338556  0.2759 -0.2149  0.3968  0.3061  0.4389  0.3255  0.3333  0.2704  0.1191  0.2004  0.0661  0.1000  0.1431  0.1009
