Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.5760E-03    0.821455    0.079250  0.1669 -0.3157  0.1928  0.0802  0.1232  0.1154  0.1123  0.1529  0.1541  0.1053  0.1382  0.1079  0.1177  0.1184  0.1167  0.1418
   2  5.2605E-03    0.693552    0.255422  0.2338 -0.2491  0.3098  0.1302  0.1867  0.1565  0.1512  0.1745  0.1997  0.1235  0.1580  0.0820  0.1024  0.1030  0.0989  0.1326
   3  2.9026E-03    0.594701    0.285044  0.2634 -0.2397  0.3676  0.1320  0.2580  0.1995  0.1744  0.1722  0.2413  0.1242  0.1809  0.0666  0.0956  0.0950  0.0859  0.1105
   4  3.0609E-03    0.489779    0.304100  0.2708 -0.2348  0.3859  0.1259  0.3533  0.2735  0.2405  0.1653  0.2570  0.1242  0.1862  0.0539  0.1002  0.1032  0.0839  0.0915
   5  1.6038E-03    0.404759    0.325005  0.2721 -0.2305  0.3913  0.1350  0.4029  0.3127  0.2967  0.1739  0.2604  0.1242  0.1852  0.0455  0.1021  0.1079  0.0915  0.0831
   6  7.7461E-04    0.355219    0.334621  0.2695 -0.2333  0.3916  0.2197  0.4176  0.3231  0.3131  0.1875  0.2598  0.1243  0.1868  0.0468  0.0997  0.1061  0.0931  0.0834
   7  7.7600E-04    0.321752    0.329423  0.2672 -0.2363  0.3892  0.3113  0.4194  0.3244  0.3149  0.1976  0.2581  0.1241  0.1855  0.0547  0.0958  0.1030  0.0916  0.0872
   8  2.9275E-04    0.297411    0.324197  0.2691 -0.2319  0.3903  0.3078  0.4226  0.3280  0.3180  0.2070  0.2568  0.1226  0.1845  0.0580  0.0933  0.1013  0.0907  0.0928
   9  1.7077E-04    0.278151    0.321817  0.2715 -0.2261  0.3925  0.2791  0.4256  0.3314  0.3209  0.2128  0.2554  0.1200  0.1860  0.0584  0.0920  0.1001  0.0900  0.0982
  10  8.0843E-05    0.265416    0.318540  0.2718 -0.2237  0.3931  0.2675  0.4260  0.3320  0.3211  0.2148  0.2544  0.1192  0.1887  0.0554  0.0910  0.0988  0.0892  0.1034
  11  6.0993E-05    0.255392    0.314904  0.2720 -0.2223  0.3933  0.2596  0.4255  0.3324  0.3207  0.2155  0.2532  0.1185  0.1911  0.0531  0.0899  0.0979  0.0881  0.1081
  12  3.2465E-05    0.248120    0.312149  0.2719 -0.2219  0.3931  0.2578  0.4250  0.3323  0.3201  0.2152  0.2517  0.1181  0.1930  0.0519  0.0892  0.0971  0.0872  0.1117
  13  2.0276E-05    0.242665    0.310336  0.2720 -0.2216  0.3929  0.2569  0.4245  0.3321  0.3197  0.2149  0.2503  0.1180  0.1946  0.0511  0.0885  0.0964  0.0865  0.1146
  14  1.3627E-05    0.238320    0.309114  0.2722 -0.2213  0.3928  0.2562  0.4241  0.3320  0.3194  0.2148  0.2491  0.1178  0.1960  0.0506  0.0880  0.0958  0.0858  0.1169
  15  8.9817E-06    0.235101    0.308183  0.2724 -0.2211  0.3928  0.2553  0.4237  0.3319  0.3192  0.2149  0.2481  0.1176  0.1971  0.0502  0.0875  0.0954  0.0853  0.1188
  16  5.9018E-06    0.232481    0.307549  0.2727 -0.2208  0.3927  0.2545  0.4234  0.3318  0.3191  0.2151  0.2474  0.1175  0.1979  0.0499  0.0871  0.0950  0.0848  0.1204
  17  3.9453E-06    0.230282    0.307133  0.2730 -0.2206  0.3927  0.2537  0.4231  0.3317  0.3189  0.2154  0.2468  0.1174  0.1986  0.0497  0.0867  0.0946  0.0845  0.1217
  18  2.6554E-06    0.228493    0.306793  0.2732 -0.2203  0.3927  0.2529  0.4229  0.3316  0.3188  0.2157  0.2465  0.1172  0.1992  0.0495  0.0863  0.0944  0.0841  0.1228
  19  6.6023E-06    0.226784    0.306175  0.2736 -0.2199  0.3928  0.2509  0.4224  0.3318  0.3186  0.2162  0.2464  0.1171  0.1996  0.0489  0.0859  0.0942  0.0837  0.1241
  20  2.3388E-06    0.225356    0.305804  0.2738 -0.2196  0.3929  0.2499  0.4221  0.3318  0.3184  0.2166  0.2463  0.1170  0.2000  0.0486  0.0855  0.0941  0.0834  0.1251
  21  2.9087E-06    0.224180    0.305433  0.2740 -0.2193  0.3930  0.2484  0.4218  0.3317  0.3186  0.2170  0.2461  0.1169  0.2004  0.0482  0.0852  0.0939  0.0833  0.1260
  22  1.7600E-06    0.223222    0.305115  0.2743 -0.2190  0.3932  0.2475  0.4215  0.3317  0.3187  0.2173  0.2459  0.1167  0.2009  0.0479  0.0849  0.0937  0.0832  0.1268
  23  5.3466E-06    0.222251    0.304393  0.2746 -0.2185  0.3934  0.2457  0.4210  0.3316  0.3187  0.2179  0.2460  0.1166  0.2013  0.0473  0.0845  0.0935  0.0830  0.1278
  24  2.1634E-06    0.221307    0.303856  0.2748 -0.2182  0.3936  0.2449  0.4207  0.3315  0.3187  0.2182  0.2459  0.1165  0.2018  0.0469  0.0841  0.0932  0.0828  0.1287
  25  1.3310E-06    0.220537    0.303359  0.2750 -0.2179  0.3937  0.2444  0.4204  0.3314  0.3186  0.2185  0.2458  0.1164  0.2023  0.0466  0.0838  0.0930  0.0826  0.1295
  26  9.0750E-07    0.219880    0.302862  0.2752 -0.2176  0.3939  0.2440  0.4201  0.3313  0.3185  0.2188  0.2457  0.1163  0.2027  0.0464  0.0835  0.0928  0.0824  0.1302
  27  6.4563E-07    0.219303    0.302360  0.2754 -0.2173  0.3941  0.2436  0.4198  0.3312  0.3184  0.2190  0.2457  0.1162  0.2031  0.0462  0.0833  0.0926  0.0822  0.1308
  28  4.8746E-07    0.218753    0.301883  0.2755 -0.2170  0.3942  0.2432  0.4196  0.3312  0.3182  0.2193  0.2456  0.1161  0.2034  0.0460  0.0830  0.0924  0.0820  0.1315
  29  3.6374E-07    0.218319    0.301436  0.2757 -0.2167  0.3944  0.2428  0.4194  0.3312  0.3181  0.2195  0.2456  0.1160  0.2037  0.0457  0.0828  0.0922  0.0818  0.1320
  30  3.2672E-07    0.217852    0.300933  0.2759 -0.2163  0.3945  0.2424  0.4192  0.3311  0.3180  0.2197  0.2456  0.1159  0.2041  0.0455  0.0826  0.0921  0.0816  0.1325
  31  3.7742E-07    0.217354    0.300364  0.2761 -0.2160  0.3947  0.2417  0.4190  0.3311  0.3179  0.2199  0.2457  0.1158  0.2044  0.0453  0.0824  0.0919  0.0814  0.1331
  32  3.3720E-07    0.216981    0.299712  0.2763 -0.2156  0.3949  0.2412  0.4187  0.3311  0.3178  0.2202  0.2458  0.1157  0.2046  0.0450  0.0822  0.0917  0.0812  0.1337
  33  4.1941E-07    0.216503    0.299064  0.2766 -0.2152  0.3951  0.2404  0.4185  0.3310  0.3177  0.2205  0.2459  0.1156  0.2049  0.0447  0.0820  0.0915  0.0810  0.1343
  34  3.7181E-07    0.216032    0.298473  0.2768 -0.2149  0.3953  0.2398  0.4183  0.3310  0.3176  0.2207  0.2459  0.1156  0.2052  0.0445  0.0818  0.0913  0.0809  0.1348
  35  3.0454E-07    0.215622    0.297863  0.2770 -0.2145  0.3955  0.2394  0.4181  0.3309  0.3175  0.2209  0.2460  0.1155  0.2055  0.0442  0.0816  0.0912  0.0807  0.1354
  36  2.9976E-07    0.215149    0.297269  0.2772 -0.2141  0.3957  0.2390  0.4179  0.3308  0.3174  0.2211  0.2461  0.1154  0.2057  0.0440  0.0814  0.0910  0.0805  0.1359
  37  4.5173E-06    0.214398    0.296213  0.2774 -0.2136  0.3960  0.2376  0.4176  0.3307  0.3171  0.2215  0.2464  0.1153  0.2061  0.0434  0.0812  0.0907  0.0802  0.1368
