Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.4373E-03    0.822702    0.078003  0.1642 -0.3175  0.1898  0.0793  0.1224  0.1168  0.1114  0.1539  0.1520  0.1056  0.1371  0.1081  0.1178  0.1196  0.1168  0.1429
   2  5.2156E-03    0.696354    0.255490  0.2327 -0.2494  0.3080  0.1301  0.1866  0.1594  0.1510  0.1763  0.1954  0.1236  0.1566  0.0824  0.1029  0.1054  0.0993  0.1346
   3  3.0031E-03    0.597341    0.284046  0.2630 -0.2400  0.3678  0.1315  0.2581  0.2074  0.1737  0.1746  0.2358  0.1243  0.1798  0.0670  0.0961  0.0984  0.0864  0.1122
   4  3.1184E-03    0.489409    0.305194  0.2699 -0.2355  0.3864  0.1247  0.3531  0.2774  0.2390  0.1688  0.2519  0.1242  0.1854  0.0541  0.1004  0.1063  0.0843  0.0934
   5  1.5170E-03    0.404835    0.326737  0.2711 -0.2313  0.3918  0.1319  0.4026  0.3123  0.2955  0.1792  0.2574  0.1242  0.1845  0.0455  0.1021  0.1081  0.0919  0.0863
   6  7.4656E-04    0.356017    0.335567  0.2683 -0.2339  0.3922  0.2161  0.4171  0.3208  0.3125  0.1920  0.2565  0.1242  0.1870  0.0466  0.0996  0.1046  0.0939  0.0876
   7  9.1756E-04    0.320868    0.327793  0.2667 -0.2365  0.3902  0.3099  0.4180  0.3238  0.3144  0.2013  0.2561  0.1234  0.1858  0.0539  0.0949  0.1024  0.0921  0.0913
   8  2.9840E-04    0.295837    0.321261  0.2690 -0.2316  0.3916  0.3054  0.4210  0.3280  0.3175  0.2105  0.2551  0.1219  0.1850  0.0566  0.0920  0.1012  0.0910  0.0973
   9  1.7334E-04    0.275946    0.318149  0.2717 -0.2254  0.3940  0.2760  0.4239  0.3316  0.3202  0.2163  0.2538  0.1192  0.1869  0.0566  0.0905  0.1000  0.0902  0.1028
  10  6.3142E-05    0.263606    0.314962  0.2721 -0.2230  0.3948  0.2653  0.4243  0.3326  0.3206  0.2178  0.2525  0.1185  0.1899  0.0537  0.0895  0.0990  0.0894  0.1075
  11  4.0617E-05    0.254480    0.312073  0.2723 -0.2218  0.3950  0.2597  0.4243  0.3330  0.3204  0.2178  0.2508  0.1179  0.1925  0.0522  0.0887  0.0982  0.0886  0.1113
  12  2.5519E-05    0.247839    0.309813  0.2724 -0.2214  0.3949  0.2584  0.4240  0.3329  0.3200  0.2172  0.2492  0.1175  0.1944  0.0513  0.0880  0.0974  0.0879  0.1143
  13  3.4592E-05    0.242363    0.307285  0.2728 -0.2207  0.3950  0.2549  0.4232  0.3328  0.3194  0.2173  0.2485  0.1173  0.1959  0.0499  0.0871  0.0967  0.0870  0.1175
  14  1.6142E-05    0.237875    0.305630  0.2731 -0.2203  0.3950  0.2538  0.4227  0.3327  0.3189  0.2171  0.2477  0.1172  0.1972  0.0491  0.0865  0.0960  0.0863  0.1201
  15  9.9347E-06    0.234595    0.304400  0.2733 -0.2199  0.3951  0.2531  0.4222  0.3325  0.3186  0.2170  0.2468  0.1170  0.1982  0.0487  0.0859  0.0955  0.0856  0.1222
  16  1.7647E-05    0.231550    0.302986  0.2738 -0.2194  0.3953  0.2508  0.4215  0.3327  0.3181  0.2174  0.2464  0.1169  0.1991  0.0479  0.0852  0.0952  0.0849  0.1244
  17  7.2123E-06    0.229038    0.302059  0.2741 -0.2190  0.3954  0.2501  0.4211  0.3326  0.3177  0.2177  0.2459  0.1168  0.1998  0.0475  0.0846  0.0949  0.0843  0.1262
  18  4.4716E-06    0.226985    0.301377  0.2743 -0.2187  0.3955  0.2495  0.4207  0.3325  0.3175  0.2179  0.2455  0.1167  0.2005  0.0472  0.0842  0.0946  0.0838  0.1277
  19  9.7324E-06    0.225045    0.300322  0.2747 -0.2181  0.3958  0.2469  0.4202  0.3324  0.3176  0.2185  0.2453  0.1165  0.2011  0.0464  0.0836  0.0942  0.0835  0.1293
  20  4.5496E-06    0.223417    0.299597  0.2750 -0.2177  0.3960  0.2457  0.4198  0.3322  0.3177  0.2188  0.2451  0.1164  0.2017  0.0459  0.0831  0.0938  0.0832  0.1307
  21  2.7920E-06    0.222137    0.299046  0.2752 -0.2173  0.3962  0.2452  0.4194  0.3321  0.3177  0.2191  0.2448  0.1163  0.2022  0.0456  0.0827  0.0935  0.0830  0.1318
  22  1.8823E-06    0.221086    0.298551  0.2754 -0.2170  0.3963  0.2449  0.4192  0.3320  0.3176  0.2193  0.2446  0.1162  0.2027  0.0453  0.0824  0.0932  0.0828  0.1328
  23  1.4138E-06    0.220160    0.298040  0.2756 -0.2167  0.3965  0.2444  0.4189  0.3319  0.3176  0.2195  0.2444  0.1161  0.2031  0.0451  0.0821  0.0930  0.0826  0.1336
  24  1.0268E-06    0.219257    0.297629  0.2758 -0.2164  0.3967  0.2441  0.4187  0.3318  0.3176  0.2197  0.2442  0.1160  0.2035  0.0448  0.0818  0.0928  0.0824  0.1344
  25  8.2183E-07    0.218448    0.297190  0.2760 -0.2161  0.3968  0.2439  0.4184  0.3318  0.3175  0.2198  0.2440  0.1160  0.2038  0.0446  0.0816  0.0926  0.0822  0.1352
  26  6.6823E-07    0.217714    0.296751  0.2762 -0.2158  0.3970  0.2436  0.4182  0.3317  0.3174  0.2200  0.2439  0.1159  0.2041  0.0444  0.0813  0.0924  0.0820  0.1360
  27  5.5820E-07    0.217017    0.296330  0.2764 -0.2155  0.3971  0.2433  0.4180  0.3317  0.3173  0.2201  0.2439  0.1158  0.2044  0.0442  0.0811  0.0922  0.0818  0.1366
  28  4.6781E-07    0.216334    0.295862  0.2766 -0.2152  0.3973  0.2431  0.4178  0.3316  0.3173  0.2203  0.2438  0.1157  0.2047  0.0440  0.0809  0.0920  0.0816  0.1373
  29  4.2046E-07    0.215720    0.295355  0.2768 -0.2149  0.3974  0.2428  0.4176  0.3316  0.3172  0.2205  0.2438  0.1156  0.2050  0.0438  0.0806  0.0918  0.0814  0.1380
  30  3.7017E-07    0.215096    0.294848  0.2770 -0.2146  0.3976  0.2425  0.4174  0.3315  0.3171  0.2206  0.2438  0.1156  0.2052  0.0436  0.0804  0.0916  0.0812  0.1386
  31  3.1674E-07    0.214635    0.294300  0.2772 -0.2143  0.3978  0.2421  0.4172  0.3315  0.3170  0.2208  0.2438  0.1155  0.2054  0.0433  0.0802  0.0915  0.0810  0.1391
  32  5.5477E-06    0.213870    0.293098  0.2775 -0.2137  0.3980  0.2405  0.4169  0.3315  0.3168  0.2212  0.2441  0.1154  0.2058  0.0428  0.0799  0.0913  0.0807  0.1401
  33  2.1221E-06    0.213084    0.292299  0.2777 -0.2133  0.3982  0.2400  0.4166  0.3314  0.3167  0.2214  0.2442  0.1153  0.2060  0.0425  0.0796  0.0910  0.0805  0.1409
  34  1.2222E-06    0.212544    0.291431  0.2779 -0.2129  0.3984  0.2395  0.4163  0.3313  0.3166  0.2217  0.2443  0.1153  0.2063  0.0422  0.0793  0.0908  0.0803  0.1417
  35  5.0216E-06    0.211624    0.290100  0.2782 -0.2122  0.3988  0.2376  0.4161  0.3312  0.3163  0.2221  0.2445  0.1152  0.2068  0.0415  0.0790  0.0904  0.0799  0.1428
  36  1.6709E-06    0.210965    0.289137  0.2785 -0.2118  0.3991  0.2370  0.4159  0.3312  0.3162  0.2223  0.2446  0.1151  0.2071  0.0412  0.0788  0.0902  0.0796  0.1436
  37  9.9629E-07    0.210389    0.288234  0.2787 -0.2114  0.3993  0.2367  0.4157  0.3311  0.3160  0.2225  0.2445  0.1150  0.2074  0.0409  0.0785  0.0899  0.0793  0.1444
  38  7.7681E-07    0.209625    0.287522  0.2789 -0.2110  0.3995  0.2365  0.4154  0.3310  0.3159  0.2226  0.2445  0.1150  0.2077  0.0407  0.0783  0.0896  0.0791  0.1451
  39  5.9289E-07    0.209047    0.286705  0.2791 -0.2106  0.3997  0.2362  0.4152  0.3309  0.3158  0.2227  0.2445  0.1150  0.2080  0.0405  0.0781  0.0894  0.0788  0.1458
  40  5.7753E-07    0.208511    0.285773  0.2793 -0.2102  0.3999  0.2356  0.4150  0.3309  0.3157  0.2229  0.2445  0.1149  0.2082  0.0402  0.0779  0.0892  0.0786  0.1465
  41  4.6897E-07    0.207971    0.284926  0.2795 -0.2098  0.4001  0.2352  0.4148  0.3309  0.3156  0.2230  0.2445  0.1148  0.2085  0.0400  0.0777  0.0890  0.0784  0.1472
  42  4.2465E-07    0.207456    0.284053  0.2797 -0.2095  0.4003  0.2348  0.4146  0.3308  0.3154  0.2231  0.2445  0.1148  0.2087  0.0398  0.0775  0.0888  0.0782  0.1478
  43  4.3078E-07    0.206823    0.283194  0.2799 -0.2091  0.4005  0.2344  0.4144  0.3308  0.3153  0.2232  0.2444  0.1147  0.2089  0.0395  0.0773  0.0886  0.0779  0.1486
  44  4.2011E-07    0.206122    0.282373  0.2801 -0.2087  0.4007  0.2339  0.4142  0.3308  0.3152  0.2233  0.2444  0.1147  0.2092  0.0393  0.0771  0.0884  0.0777  0.1492
  45  4.2431E-07    0.205647    0.281461  0.2803 -0.2083  0.4008  0.2333  0.4141  0.3308  0.3151  0.2234  0.2444  0.1147  0.2093  0.0391  0.0769  0.0882  0.0775  0.1499
  46  3.8672E-07    0.204925    0.280592  0.2805 -0.2079  0.4010  0.2327  0.4139  0.3307  0.3149  0.2234  0.2443  0.1147  0.2095  0.0389  0.0767  0.0880  0.0773  0.1506
  47  3.7557E-07    0.204171    0.279714  0.2806 -0.2075  0.4012  0.2321  0.4137  0.3307  0.3148  0.2235  0.2443  0.1146  0.2098  0.0386  0.0765  0.0878  0.0770  0.1513
  48  4.3800E-07    0.203422    0.278691  0.2808 -0.2071  0.4014  0.2313  0.4134  0.3307  0.3147  0.2236  0.2443  0.1146  0.2099  0.0384  0.0763  0.0876  0.0768  0.1520
  49  3.5005E-07    0.202762    0.277645  0.2810 -0.2067  0.4016  0.2307  0.4132  0.3306  0.3146  0.2237  0.2443  0.1146  0.2102  0.0381  0.0761  0.0874  0.0766  0.1527
  50  4.4672E-07    0.202039    0.276741  0.2812 -0.2064  0.4017  0.2300  0.4130  0.3306  0.3144  0.2238  0.2443  0.1146  0.2103  0.0379  0.0759  0.0872  0.0763  0.1534
  51  3.1604E-07    0.201430    0.275700  0.2813 -0.2060  0.4019  0.2293  0.4128  0.3305  0.3143  0.2238  0.2443  0.1145  0.2105  0.0377  0.0758  0.0870  0.0761  0.1541
