Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  7.1889E-03    0.796691    0.098313  0.1648 -0.3236  0.1931  0.0901  0.1283  0.1232  0.1662  0.1645  0.1254  0.1528  0.1236  0.1332  0.1348  0.1657
   2  5.4682E-03    0.673937    0.249208  0.2377 -0.2359  0.3121  0.1533  0.1993  0.1747  0.1978  0.2078  0.1246  0.1739  0.0953  0.1166  0.1192  0.1625
   3  3.3563E-03    0.576367    0.273765  0.2687 -0.2256  0.3710  0.1581  0.2590  0.2143  0.2089  0.2475  0.1244  0.1950  0.0774  0.1061  0.1088  0.1409
   4  3.2582E-03    0.474323    0.292527  0.2770 -0.2220  0.3904  0.1540  0.3490  0.2798  0.2315  0.2627  0.1243  0.1980  0.0628  0.1072  0.1149  0.1301
   5  1.4825E-03    0.396260    0.315037  0.2768 -0.2210  0.3952  0.1850  0.4018  0.3149  0.2580  0.2669  0.1246  0.1969  0.0562  0.1088  0.1155  0.1312
   6  1.0021E-03    0.349595    0.323235  0.2731 -0.2252  0.3947  0.2867  0.4202  0.3257  0.2740  0.2642  0.1244  0.1986  0.0620  0.1059  0.1116  0.1333
   7  3.5311E-04    0.321263    0.327729  0.2732 -0.2238  0.3945  0.3287  0.4292  0.3324  0.2877  0.2649  0.1234  0.1979  0.0661  0.1027  0.1098  0.1352
   8  1.3368E-04    0.303319    0.331677  0.2762 -0.2180  0.3965  0.3174  0.4354  0.3381  0.2997  0.2662  0.1217  0.1989  0.0672  0.1011  0.1088  0.1361
   9  8.7301E-05    0.289815    0.335913  0.2780 -0.2139  0.3979  0.3061  0.4387  0.3414  0.3078  0.2678  0.1195  0.2019  0.0664  0.1002  0.1081  0.1362
  10  1.7826E-05    0.283108    0.336992  0.2783 -0.2125  0.3979  0.3043  0.4396  0.3423  0.3128  0.2691  0.1191  0.2046  0.0641  0.0996  0.1073  0.1362
  11  8.6169E-06    0.278957    0.337487  0.2787 -0.2115  0.3978  0.3005  0.4399  0.3429  0.3164  0.2699  0.1188  0.2068  0.0626  0.0991  0.1067  0.1361
  12  7.1937E-06    0.276162    0.337253  0.2791 -0.2108  0.3978  0.2961  0.4400  0.3433  0.3191  0.2705  0.1183  0.2083  0.0620  0.0987  0.1062  0.1360
