K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   6   1       0   1.0000 44:31:15 -1.65989502751E+05 -1.65989502751E+05 -0.00454 -0.01319  0.00707 -0.00049  0.00208 -0.17150 -0.18129 -0.17187 -0.13666 -0.17509
5   6   1     100   1.0000 44:31:15 -1.65541115672E+05 -1.65541115672E+05 -0.00454 -0.01319  0.00707 -0.00049  0.00208 -0.17150 -0.18129 -0.17187 -0.13666 -0.17509
5   6   1     200  27.5862 44:31:15 -1.62760438374E+05 -1.62607759269E+05  0.00707 -0.00454 -0.00049  0.00208 -0.01319 -0.17187 -0.17150 -0.13666 -0.17509 -0.18129
5   6   1     400  33.4988 44:31:15 -1.62078323824E+05 -1.59864731139E+05 -0.00049 -0.00454  0.00208 -0.01319  0.00707 -0.13666 -0.17150 -0.17509 -0.18129 -0.17187
5   6   1     800  39.6015 45:31:15 -1.59031080390E+05 -1.58053708292E+05  0.00707 -0.00049 -0.01319  0.00208 -0.00454 -0.17187 -0.13666 -0.18129 -0.17509 -0.17150
5   6   1    1600  41.6719 45:31:15 -1.60564518452E+05 -1.58053708292E+05  0.00707 -0.00454 -0.01319  0.00208 -0.00049 -0.17187 -0.17150 -0.18129 -0.17509 -0.13666
5   6   2    3200  46.7890 45:31:15 -1.58895660876E+05 -1.57470324752E+05  0.00707 -0.01319  0.00208 -0.00454 -0.00049 -0.17187 -0.18129 -0.17509 -0.17150 -0.13666
5   6   2    5000  42.7833 46:31:15 -1.58209547545E+05 -1.57470324752E+05  0.00881  0.00346  0.01429  0.27918  0.13199 -0.13101 -0.22826 -0.11899 -0.75111 -0.42992
5   6   3    6400  32.1782 47:31:15 -1.57913709739E+05 -1.57011519626E+05  0.00881  0.27918  0.13199  0.00346  0.01429 -0.13101 -0.75111 -0.42992 -0.22826 -0.11899
5   6   3   10000  35.2711 49:31:15 -1.58803130170E+05 -1.56638179373E+05 -0.00443 -0.00373  0.27551  0.33162  0.00629 -0.06334 -0.18660 -0.75111 -0.89436 -0.16066
